		"zone_redfall"											"落红流火之岭"
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_Description"	"在火焰中施法者增加攻击力和攻击速度10秒."
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_attack_power_bonus"	"攻击力 %:"
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_attack_speed_bonus"	"攻击速度:"

		"DOTA_Tooltip_ability_redfall_hell_bandit_ability"				"法力燃烧"
		"DOTA_Tooltip_ability_redfall_hell_bandit_ability_Description"	"根据燃烧的魔法造成额外的魔法伤害"
		"DOTA_Tooltip_ability_redfall_hell_bandit_ability_mana_drain_percent"	"% 最大魔法值吸取:"

		"DOTA_Tooltip_ability_redfall_autumn_monster_ability"			"火焰鞭"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_Description"	"向前发射3个火球"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_impact_damage"	"撞击伤害:"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_burn_damage"	"燃烧伤害:"

		"crimsyth_sorceress_dialogue_1"									"Ohhhhhh hahahaHA!"
		"crimsyth_castle_boss_dialogue_1"								"为什么我会被召唤出来?"
		"crimsyth_sorceress_dialogue_2"									"你有一个游客, honey."	

		"crimsyth_castle_boss_dialogue_2"								"让他们出去. 我们没有时间拜访!"
		"crimsyth_sorceress_dialogue_3"									"Ohh heheHE"
		"crimsyth_sorceress_dialogue_4"									"激活防守流的重生系统!"

		"crimsyth_bombadier"											"Crimsyth 庞巴迪"
		"crimsyth_bombadier_rooted"										"Crimsyth 庞巴迪精英"

		"DOTA_Tooltip_ability_redfall_bombadier_ability"				"扔炸弹"
		"DOTA_Tooltip_ability_redfall_bombadier_ability_damage"			"伤害:"
		"DOTA_Tooltip_ability_redfall_bombadier_ability_num_bombs"		"炸弹数量:"	

		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability"				"扔炸弹"
		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability_damage"			"伤害:"
		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability_num_bombs"		"炸弹数量:"	

		"redfall_crimsyth_hawk_soldier"									"Crimsyth鹰战士"

		"redfall_autumn_monster"										"秋天妖怪"

		"redfall_snarlroot_treant"										"树精"
		"redfall_castle_archer"											"城堡弓箭手"

		"DOTA_Tooltip_ability_redfall_autumn_mage_passive"				"秋天之星落"
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_Description"	"攻击放出流星使目标造成3秒debuff减少魔抗并且造成魔法伤害."
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_damage"		"伤害:"
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_magic_resist_loss"	"魔抗减少量:"

		"DOTA_Tooltip_ability_armor_break_ultra"									"破甲"
		"DOTA_Tooltip_ability_armor_break_ultra_Description"						"攻击降低目标护甲."	
		"DOTA_Tooltip_ability_armor_break_ultra_armor_break"						"护甲降低数量:"

		"redfall_crimsyth_hawk_soldier_elite"							"鹰怪"

		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on"				"护盾锁击"
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_Description"	"锁住目标2秒钟. 如果目标不移动, 鹰骑士会向前冲击造成魔法伤害并且造成眩晕."
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_damage"		"伤害:"
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_stun_duration"	"眩晕持续时间:"

		"DOTA_Tooltip_modifier_autumn_mage_debuff"						"秋天之星落"
		"DOTA_Tooltip_modifier_autumn_mage_debuff_Description"			"减少魔抗."	

		"redfall_crimsyth_shadow"										"Crimsyth暗影"

		"DOTA_Tooltip_ability_redfall_castle_warflayer_passive"			"魔法免疫击破"
		"DOTA_Tooltip_ability_redfall_castle_warflayer_passive_Description"	"攻击会使你的魔免效果失效."	

		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive"				"黑雾"
		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive_Description"	"受到伤害会产生烟雾对敌人造成致盲."
		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive_blind_duration"	"致盲持续时间:"

		"DOTA_Tooltip_modifier_khan_knight_blind"						"黑雾"
		"DOTA_Tooltip_modifier_khan_knight_blind_Description"			"致盲"

		"DOTA_Tooltip_ability_redfall_enclave_viking_passive"			"爆炸斧头"
		"DOTA_Tooltip_ability_redfall_enclave_viking_passive_Description"	"常规攻击会造成爆炸, 造成0.5% 的攻击力伤害并且眩晕目标0.1秒"

		"DOTA_Tooltip_modifier_jailer_bleeding"							"流血"
		"DOTA_Tooltip_modifier_jailer_bleeding_Description"				"每0.5秒受到魔法伤害"	

		"DOTA_Tooltip_redfall_goo_skin"									"粘液皮膚"
		"DOTA_Tooltip_redfall_goo_skin_Description"						"攻击的敌人受到减速."	
		"DOTA_Tooltip_redfall_goo_skin_slow_percentage"					"移动速度降低百分比:"

		"DOTA_Tooltip_modifier_goo_skin_effect"							"粘液皮膚"
		"DOTA_Tooltip_modifier_goo_skin_effect_Description"				"减速"

		"redfall_erakor_the_sadist"										"Erakor悲傷者"

		"DOTA_Tooltip_modifier_sadist_shield"							"伤心之盾"
		"DOTA_Tooltip_modifier_sadist_shield_Description"				"吸收魔法和纯粹伤害"

		"DOTA_Tooltip_modifier_erakor_burning"							"燃烧"

		"DOTA_Tooltip_ability_redfall_erakor_the_sadist_passive"		"統治"
		"DOTA_Tooltip_ability_redfall_erakor_the_sadist_passive_Description"	"链接目标, 减少目标的移动速度和视野范围并且允许施法者将目标拉近. 系绳2000码失效."
		
		"DOTA_Tooltip_ability_sadist_blood_bath"						"血污"
		"DOTA_Tooltip_ability_sadist_blood_bath_Description"			"创建一个仪式循环的血液，在2秒的延迟后放出. 任何在半径范围内爆炸的人都会沉默，并受到魔法伤害."
		"DOTA_Tooltip_ability_sadist_blood_bath_silence_duration"		"沉默持续时间:"
		"DOTA_Tooltip_ability_sadist_blood_bath_damage"					"伤害:"

		"redfall_the_archivist"											"档案工作者"
		"archivist_demon_moloth"										"恶魔莫洛"

		"redfall_castle_garden_overlord"								"花园霸王"

		"redfall_crimson_samurai"										"Crimson 武士"
		"redfall_crimson_warrior"										"Crimson 战士"

		"DOTA_Tooltip_ability_custom_meteor2"							"流星"
		"DOTA_Tooltip_ability_custom_meteor2_Description"				"在目标位置丢弃一块巨石，烧毁敌人."

		"redfall_crimson_shadow_dancer"									"Crimson 影舞者"

		"redfall_crimsyth_khan_knight"									"汗骑士"

		"redfall_crimsyth_crystal_hoarder"								"Crimsyth 水晶堆"
		"redfall_castle_warflayer"										"Warflayer"

		"redfall_castle_loki_the_mad"									"Loki the Mad"

		"DOTA_Tooltip_ability_loki_the_mad_passive"						"疯狂冲击"
		"DOTA_Tooltip_ability_loki_the_mad_passive_Description"			"攻击增加移动速度和攻击速度并治疗2%的最大生命值."

		"DOTA_Tooltip_ability_redfall_moloth_passive"					"精华之壳"
		"DOTA_Tooltip_ability_redfall_moloth_passive_Description"		"莫洛斯免疫所有的伤害，除非他的3个轨道球匹配颜色. 如果所有是藍色，莫洛斯可以採取純粹的傷害。綠色则是物理和紅色则是魔法."
		"DOTA_Tooltip_ability_redfall_moloth_passive_damage_reduce_of_alt_types"	"減少替代損傷類型:"

		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura"					"咬牙"
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_Description"		"附近单位减慢，视力半径减小."
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_vision_reduce"	"视野减少:"
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_movespeed"		"移动速度:"

		"redfall_crimsyth_guard"										"Crimsyth守卫"

		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive"		"缴械"
		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive_Description"	"攻击会使目标缴械"
		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive_duration"	"持续时间:"

		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry"			"战争的呐喊"
		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry_Description"	"增加附近单位的装甲和移动速度"
		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry_warcry_armor"	"护甲:"

		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive"		"恶魔护甲"
		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive_Description"	"永久增加护甲"
		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive_armor"	"护甲:"

		"DOTA_Tooltip_ability_redfall_wild_leap_demon_knight"				"破碎飞跃"
		"DOTA_Tooltip_ability_redfall_wild_leap_demon_knight_Description"	"跳到目标位置，并在着陆点的AOE中造成魔法伤害."

		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai"					"肉堆"
		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai_Description"		"增加魔法抗性"
		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai_magic_resist"	"魔抗:"

		"DOTA_Tooltip_ability_redfall_demon_firestorm"						"火焰风暴"
		"DOTA_Tooltip_ability_redfall_demon_firestorm_Description"			"在目标位置创建恶魔般的绿色地狱之火."
		"DOTA_Tooltip_ability_redfall_demon_firestorm_wave_damage"			"每波伤害:"	
		"DOTA_Tooltip_ability_redfall_demon_firestorm_burn_damage"			"每波 (% 最大的生命值):"

		"DOTA_Tooltip_ability_redfall_demon_follower_finger"				"若风之指"
		"DOTA_Tooltip_ability_redfall_demon_follower_finger_Description"	"迅速的闪电造成魔法伤害."
		"DOTA_Tooltip_ability_redfall_demon_follower_finger_damage"			"伤害:"

		"DOTA_Tooltip_ability_redfall_crimsyth_castle_boss_ai"				"再战"

		"DOTA_Tooltip_ability_crimsyth_final_boss_fire_blast"				"混沌流星"
		"DOTA_Tooltip_ability_crimsyth_final_boss_fire_blast_damage"		"伤害:"

		"DOTA_Tooltip_ability_crimsyth_boss_illusion_ability"				"恶魔反射"

		"DOTA_Tooltip_ability_redfall_crimsyth_boss_passive"				"折磨的Fervor"
		"DOTA_Tooltip_ability_redfall_crimsyth_boss_passive_Description"	"攻击留下堆叠护甲debuff, 并且增加攻击速度."

		"redfall_crimsyth_mage"											"Crimsyth 法师"
		"redfall_crimsyth_mage_elite"									"Crimsyth 精英法师"	

		"redfall_crystal_shifter"										"Crystal移位者"

		"redfall_crimsyth_grunt"										"Crimsyth地面"

		"redfall_lava_lizard"											"熔岩蜥蜴"

		"redfall_castle_tongey_kong"									"Tongey Kong"

		"redfall_castle_demented_shaman"								"Crimsyth 痴呆的萨满"

		"redfall_crimsyth_gunman"										"Crimsyth 枪手"

		"redfall_crimsyth_gunman_elite"								"Crimsyth精英枪手"

		"redfall_enclave_viking"										"英克海盗"

		"DOTA_Tooltip_ability_redfall_goo_skin"						"感伤之肤"
		"DOTA_Tooltip_ability_redfall_goo_skin_Description"			"受到伤害会减慢攻击者的速度."

		"redfall_tortured_soul"											"落红流火的酷刑灵魂"	

		"redfall_crimsyth_berserker"								"Crimsyth 狂战士"

		"redfall_castle_garden_watcher"								"城堡花园看守者"

		"redfall_crimsyth_cultist_elite"							"Crimsyth 邪教精英"

		"DOTA_Tooltip_ability_redfall_the_archivist_passive"			"无限知识"

		"DOTA_Tooltip_ability_redfall_archivist_orb_changer"				"深度看點"
		"DOTA_Tooltip_ability_redfall_archivist_orb_changer_Description"	"改变轨道球的颜色"

		"DOTA_Tooltip_ability_redfall_moloth_bombs"						"莫洛斯炸弹"
		"DOTA_Tooltip_ability_redfall_moloth_bombs_damage"						"伤害:"

		"DOTA_Tooltip_ability_redfall_torture_puppet_ai"				"品牌"
		"DOTA_Tooltip_ability_redfall_torture_puppet_ai_Description"	"攻击造成流血."
		"DOTA_Tooltip_ability_redfall_torture_puppet_ai_bleed_damage"	"流血伤害:"

		"crimsyth_fortune_seeker"										"财富追求者"

		"redfall_crimsyth_torture_puppet"								"Crimsyth 酷刑木偶"

		"redfall_crimsyth_corrupted_corpse"								"Corrupted尸体"

		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel"					"弹片"
		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel_Description"		"一连串子弹在目标位置下降，造成伤害和减缓该地区的敌人."
		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel_shrapnel_damage"	"伤害:"

		"DOTA_Tooltip_ability_redfall_barrel_toss"						"桶抛"
		"DOTA_Tooltip_ability_redfall_barrel_toss_Description"			"在施法者前面滚动一个巴雷尔，与敌人接触时爆炸."
		"DOTA_Tooltip_ability_redfall_barrel_toss_damage"				"伤害:"

		"DOTA_Tooltip_modifier_ash_tree_aura_debuff"					"咬牙"
		"DOTA_Tooltip_modifier_ash_tree_aura_debuff_Description"		"减速"

		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive"			"银盾"
		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive_Description"	"减少纯粹伤害受到量."
		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive_pure_damage_reduce"	"减少纯粹伤害受到量:"

		"DOTA_Tooltip_modifier_silver_shield"							"银盾"
		"DOTA_Tooltip_modifier_silver_shield_Description"				"减少纯粹伤害受到量."

		"redfall_castle_crimson_flood"									"Crimson 洪水"

		"DOTA_Tooltip_raging_shaman_passive"							"野生狂战士"

		"crimsyth_ghost_of_perdition"									"鬼魂的鬼"

		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability"			"灼伤的箭头"
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_Description"	"攻击造成额外的魔法伤害，并在目标上留下燃烧的debuff."
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_magic_damage_on_hit"	"额外的魔法损伤占攻击损伤的百分比:"
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_burn_damage_per_tick"	"第二次烧伤:"

		"redfall_castle_effigy_of_fortunis"								"Fortunis的肖像"

		"DOTA_Tooltip_ability_redfall_fortunis_passive"					"财富的祝福"
		"DOTA_Tooltip_ability_redfall_fortunis_passive_Description"		"50％的机会躲避攻击，50％的魔法抗性增加."

		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant"			"静态残余"
		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant_Description"	"留下与敌人接触时爆炸的雷声残余物."
		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant_static_remnant_damage"	"伤害:"

		"redfall_maze_ghost"											"宝藏鬼"
		"maze_ghost_dialogue"											"只有一扇门可能打开。做出明智的选择!"

		"redfall_ethereal_revenant"										"飘渺的圣约"

		"DOTA_Tooltip_ability_redfall_ethereal_revenant_passive"				"返回链接"
		"DOTA_Tooltip_ability_redfall_ethereal_revenant_passive_Description"	"绑定附近的敌人，减缓他们，减少攻击伤害。"

		"DOTA_Tooltip_modifier_ethereal_revenant_link_boss"					"返回链接"

		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega"		"魔术区"
		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega_Description"	"授予免疫魔法。魔法免疫盾可以在攻击后破坏."	
		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega_stacks"		"充能:"

		"DOTA_Tooltip_ability_mega_steadfast"							"高级坚定"
		"DOTA_Tooltip_ability_mega_steadfast_Description"				"每个伤害的实例不能超过最大生命值的百分之一."
		"DOTA_Tooltip_ability_mega_steadfast_max_damage"				"血量 % 最大:"

		"redfall_crimsyth_castle_grounds_guardian"						"城堡地面监护人"

		"DOTA_Tooltip_ability_redfall_garden_watcher_nuke"				"春分裂口"
		"DOTA_Tooltip_ability_redfall_garden_watcher_nuke_Description"	"与目标交换位置。"

		"DOTA_Tooltip_ability_redfall_garden_watcher_passive"			"纯粹抗性"
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_Description"	"排斥魔法或纯净来源的伤害."
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_pure_resist"	"抗性 %:"

		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability"			"奥术闪耀"
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_Description"	"在随机方向上发出火花，造成伤害和法术吸取."
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_damage"		"伤害:"
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_mana_drain"	"魔法吸取:"

		"DOTA_Tooltip_ability_majinaq_mana_break"						"法力断裂"
		"DOTA_Tooltip_ability_majinaq_mana_break_Description"			"攻击会燃烧法力值，并基于法术力流失造成魔法伤害."
		"DOTA_Tooltip_ability_majinaq_mana_break_mana_per_hit"			"法力燃烧:"

		"redfall_crimsyth_demon_knight"									"Crimsth 恶魔骑士"
		

		"redfall_the_cannibal"											"食人族"

		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai"		"恶魔之壳"
		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai_Description"		"增加魔法抗性."
		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai_magic_resist"	"魔法抗性:"

		"redfall_demonic_follower"										"恶魔追随者"

		"redfall_crimsyth_castle_boss"									"城堡主人Scarloth"
		"crimsyth_sorceress"											"Lady Dahlia"

		"redfall_castle_boss_dialogue_1"											"你已经被告知要离开."
		"redfall_castle_boss_dialogue_2"											"赤字的绯红潮携带着无辜的血. 这是一片苦难和腐烂的土地."
		"redfall_castle_boss_dialogue_3"											"主權是我们的。生活不能再抵抗腐败."
		"redfall_castle_boss_dialogue_4"											"来！体验真正力量的快感!"
		"redfall_castle_boss_dialogue_5"											"迷惑!"

		"DOTA_Tooltip_modifier_crimsyth_recruiter_armor_loss"						"护甲树"
		"DOTA_Tooltip_modifier_crimsyth_recruiter_armor_loss_Description"			"叠加的护甲丢失"

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_normal"		"Crimsyth恶魔遗物 (普通)"
		"item_redfall_crimsyth_demon_relic_normal_desc"						"激活Crimsyth城堡的门户, 位于在农田的入口附近."

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_elite"		"Crimsyth恶魔遗物(精英)"
		"item_redfall_crimsyth_demon_relic_elite_desc"						"激活Crimsyth城堡的门户, 位于在农田的入口附近.."

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_legend"		"Crimsyth恶魔遗物 (传说)"
		"item_redfall_crimsyth_demon_relic_legend_desc"						"激活Crimsyth城堡的门户, 位于在农田的入口附近.."

		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_normal"			"落红流火灵魂红宝石 (普通)"
		"item_redfall_spirit_ruby_normal_desc"							"使用: 在普通难度激活落红流火的缺口. 在此缺口有 3x 怪物生成量, 2x的怪物伤害和抗性, 增加不朽物品的掉率, 3x 秘銀水晶和 2x 奥术晶体增加量."

		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_elite"			"落红流火灵魂红宝石 (精英)"
		"item_redfall_spirit_ruby_elite_desc"							"使用: 在精英难度激活落红流火的缺口. 在此缺口有 3x 怪物生成量, 2x的怪物伤害和抗性, 增加不朽物品的掉率, 3x 秘銀水晶和 2x 奥术晶体增加量."
		
		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_legend"			"落红流火灵魂红宝石 (传说)"
		"item_redfall_spirit_ruby_legend_desc"							"使用: 在传说难度激活落红流火的缺口. 在此缺口有 3x 怪物生成量, 2x的怪物伤害和抗性, 增加不朽物品的掉率, 3x 秘銀水晶和 2x 奥术晶体增加量."
		
		"redfall_equinox"		"疯狂生长"
		
		"redfall_ancient_tree"          "亵渎者的世界树"
		"redfall_ancient_tree_summon"   "落红幼树"
		
		"DOTA_Tooltip_ancient_tree_passive"                   "撕裂之种"
		"DOTA_Tooltip_ancient_tree_passive_Description"       "世界树释放出一个叶状子弹，对被击中的敌人产生可以叠加的debuff，该debuff会降低敌人的护甲，移动速度和视野。"
		"DOTA_Tooltip_ability_ancient_tree_passive_vision_loss"       "视野降低:"
		"DOTA_Tooltip_ability_ancient_tree_passive_armor_loss"        "护甲降低:"
		"DOTA_Tooltip_ability_ancient_tree_passive_movespeed_loss"    "移动速度降低:"
		
		"DOTA_Tooltip_modifier_ancient_tree_vision"                   "撕裂之种"
		"DOTA_Tooltip_modifier_ancient_tree_vision_Description"       "降低视野，护甲和移动速度"
		
		"DOTA_Tooltip_ability_ancient_tree_summon"                         "树林之魂"
		"DOTA_Tooltip_ability_ancient_tree_summon_Description"             "召唤落红幼树大军为世界树而战。每个落红幼树的存在将减少世界树受到伤害5%。"
		"DOTA_Tooltip_ability_ancient_tree_groud_slam"                     "丛林震荡"
		"DOTA_Tooltip_ability_ancient_tree_ground_slam_Description"        "世界树重击地面，对范围内的敌人造成伤害和眩晕。"
		"DOTA_Tooltip_ability_ancient_tree_ground_slam_damage"             "伤害:"
		
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed"              "落红流火的吸血种子"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_Description"  "对敌人施加一个debuff，周期性的治疗世界树和他的精英军队，治疗量为他们最大生命值的百分比。"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_heal_percent" "治疗%:"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_heal_percent_boss" "世界树治疗%:"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_damage_per_tick"   "每秒伤害:"
		
		"DOTA_Tooltip_modifier_summon_leech_seed_debuff"                    "落红流火的吸血种子"
		"DOTA_Tooltip_modifier_summon_leech_seed_debuff_Description"        "受到持续伤害并且治疗世界树。"		
