		"zone_redfall"											"Осенний Хребет"
		"DOTA_Tooltip_modifier_demon_farmer_mark_effect_Description"		"Можно наносить урон Демону"

		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_normal" "Ключ заброшенной верфи"
		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_elite" "Ключ заброшенной верфи"
		"DOTA_Tooltip_ability_item_redfall_hidden_shipyard_key_legend" "Ключ заброшенной верфи"

		"item_redfall_hidden_shipyard_key_normal_desc"				"Открывает проход в заброшенную верфь на карте Осенний Хребет."
		"item_redfall_hidden_shipyard_key_elite_desc"				"Открывает проход в заброшенную верфь на карте Осенний Хребет."
		"item_redfall_hidden_shipyard_key_legend_desc"				"Открывает проход в заброшенную верфь на карте Осенний Хребет."

		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai"				"Death Pact"
		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai_Description"	"Увеличивает урон."
		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai_attack_damage_bonus"	"ДОП. УРОН %:"

		"DOTA_Tooltip_ability_redfall_wild_leap"						"Wild Leap"
		"DOTA_Tooltip_ability_redfall_wild_leap_Description"			"Выбирает цель и прыгает к ней, оглушая всех в небольшой области в точке приземления."

		"DOTA_Tooltip_ability_redfall_void_task_shield"					"Task Armor"
		"DOTA_Tooltip_ability_redfall_void_task_shield_Description"		"Любой входящий урон снижен на 99.9%, пока все заряды щита не будут израсходованы."	

		"redfall_shipyard_conductor"									"Проводник Верфи"
		"redfall_shipyard_demon_brute"									"Демон - Громила"
		"redfall_shipyard_void"											"Демон пустоты"
		"redfall_demon_rat"												"Дворовая крыса"

		"shipyard_skeleton_archer_boss"									"Элитный Каменный Скорпион"
		"shipyard_skeleton_archer"										"Костяной Скорпион"
		"redfall_shipyard_demon_wolf"									"Волк - Демон"
		"redfall_shipyard_blood_wolf"									"Волк - Кровавый демон"
		"redfall_shipyard_crimsyth_blood_hunter"						"Охотник за кровью"

		"DOTA_Tooltip_ability_redfall_massive_arrow"					"Crimson Power Shot"
		"DOTA_Tooltip_ability_redfall_massive_arrow_Description"		"Выпускает мощную красную стрелу."

		"DOTA_Tooltip_ability_redfall_tyrant_quake"						"Split Earth"
		"DOTA_Tooltip_ability_redfall_tyrant_quake_Description"			"Оглушает и наносит урон юнитам в области."

		"DOTA_Tooltip_ability_redfall_enforcer_puff"					"Combat Ready"
		"DOTA_Tooltip_ability_redfall_enforcer_puff_Description"		"Увеличивает скорость атаки на 4 секунды."
		"DOTA_Tooltip_ability_redfall_enforcer_puff_attackspeed"		"ДОП. СКОРОСТЬ АТАКИ:"

		"DOTA_Tooltip_ability_redfall_farmlands_bandit_ai"				"Quickfoot"
		"DOTA_Tooltip_ability_redfall_farmlands_bandit_ai_Description"	"С 25% шансом при атаке наделит цель 100% уклонением и доп. скоростью передвижения."

		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai"				"Bane Blood"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_Description"	"С каждой атакой снижает броню цели, одновременно увеличивая свои урон и скорость атаки."
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_armor_reduce_per_hit"	"СНИЖЕНИЕ БРОНИ ЗА УДАР:"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_attack_speed_per_hit"	"ДОП. СКОРОСТЬ АТАКИ ЗА УДАР:"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_attack_damage_per_hit"	"ДОП. УРОН ЗА УДАР:"

		"DOTA_Tooltip_ability_shipyard_plasma_field"					"Energy Conductor"
		"DOTA_Tooltip_ability_shipyard_plasma_field_Description"		"Наносит урон расширяющимся кругом. Круг наносит меньше урона в центре."
		"DOTA_Tooltip_ability_shipyard_plasma_field_damage_min"			"УРОН В ЦЕНТРЕ:"
		"DOTA_Tooltip_ability_shipyard_plasma_field_damage_max"			"УРОН НА ГРАНИЦЕ:"

		"shipyard_pirate_archer"										"Пират - Лучник"

		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger" "Skulldigger"
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_Description" "Каждые 2.2 секунды получает заряд. Пока есть заряды, выпускает поток энергии в атакующих, теряя заряд."
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_property_two"	"МАКС. ЗАРЯДОВ:"
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_property_four"	"ВРЕМЯ ОГЛУШЕНИЯ:"

		"redfall_shipyard_soul_collector"								"Собиратель Душ"

		"shipyard_ghost_fish"											"Рыба - Призрак"

		"redfall_shipyard_haunt_knight"									"Призрачный рыцарь верфи"

		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive"	"Soul Spiller"
		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive_Description"	"Постоянно испускает черепа, наносящие урон. Когда череп попадает по цели, Сборщик Душ получает щит, полностью поглощающий урон."
		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive_max_stacks"	"МАКС. ЗАРЯДОВ ЩИТА:"

		"shipyard_boss_dialogue_1"										"Что-ж, очень странно."
		"shipyard_boss_dialogue_1a"										"Очень странно."
		"shipyard_boss_dialogue_2"										"Сперва мои громилы сильно задерживаются."
		"shipyard_boss_dialogue_3"										"Они никогда не опаздывали."
		"shipyard_boss_dialogue_4_1"									"А теперь еще какая-то вонючая свинья стоит перед входом в мою комнату."
		"shipyard_boss_dialogue_4_2"									"А теперь еще какая-то пара мерзких обезьян стоит перед входом в мою комнату."
		"shipyard_boss_dialogue_4_3"									"А теперь еще три барана стоят перед входом в мою комнату."
		"shipyard_boss_dialogue_4_4"									"А теперь еще группа гнилых крыс стоит перед входом в мою комнату."

		"shipyard_boss_dialogue_5"										"Ну что, друзья, давайте узнаем, сколько наши гости продержатся в игре ЖИЗНИ и СМЕРТИ!"
		"shipyard_boss_dialogue_6"										"Поехали!"

		"shipyard_boss_dialogue_7"										"Еще! Давай еще раз!"
		"shipyard_boss_dialogue_8"										"Повышаем ставки, господа!"

		"shipyard_boss_dialogue_9"										"Покончим с этим!"

		"redfall_shipyard_boss"											"Тиран Таделус"

		"DOTA_Tooltip_ability_shipyard_boss_ai"							"Пожиратель плоти"
		"DOTA_Tooltip_ability_shipyard_boss_ai_Description"				"Любой входящий урон не нанесёт более 1% от макс. здоровья."
		"DOTA_Tooltip_ability_shipyard_boss_chemical_rage"			"Chemical Rage"
		"DOTA_Tooltip_ability_shipyard_boss_chemical_rage_Description"	"Таделус впадает в ярость, что ускоряет его атаки и бег."
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray"					"Acid Spray"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_Description"		"Распыляет в указанной области облако кислоты, которое наносит врагам периодический физический урон и значительно снижает их броню."
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_radius"	"РАДИУС:"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_duration" "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_damage"		"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_armor_reduction" "СНИЖЕНИЕ БРОНИ:"

		"redfall_dialogue_farmer_2_shredder_1"							"Мой комбайн вернулся!"
		"redfall_dialogue_farmer_2_shredder_1a"							"У меня есть секретная лаборатория, где я прячусь от армии Кримсита. Здесь я исследую новые технологии по добыче."
		"redfall_dialogue_farmer_2_shredder_2"							"Встань на пьедестал, чтобы очутиться внутри одной из моих машин по сборке. Ты можешь получить обновление, срубив 100 деревьев и встав на белый пьедестал!"

		"redfall_dialogue_farmer_2_shredder_upgrade_1"					"Это обновление 'Whirling Death'. Оно позволяет тебе добывать древесину быстрее, к тому же можно срубать несколько деревьев разом."
		"redfall_dialogue_farmer_2_shredder_upgrade_2"					"Это обновление 'Ускорение'. Увеличивает скорость передвижения комбайна!"
		"redfall_dialogue_farmer_2_shredder_upgrade_3"					"Это специальные ботинки сборщика. Для тебя, а не комбайна!"

		"DOTA_Tooltip_ability_redfall_dismount_shredder_ability"		"Выбраться (Самоуничтожение)"
		"DOTA_Tooltip_ability_redfall_dismount_shredder_ability_Description"	"Покинуть комбайн"

		"DOTA_Tooltip_modifier_shredder_lumber"							"Древесина"	

		"DOTA_Tooltip_ability_redfall_harvester_harvest"				"Срубить дерево"
		"DOTA_Tooltip_ability_redfall_harvester_harvest_Description"	"Сруби одно дерево."

		"DOTA_Tooltip_ability_redfall_whirling_death_shredder_ability"	"Whirling Death"
		"DOTA_Tooltip_ability_redfall_whirling_death_shredder_ability_Description"	"Срубает несколько деревьев в небольшом радиусе."

		"redfall_quest_8_title"											"Сборка урожая"
		"redfall_quest_8_objective_1"									"Ознакомься с комбайном."
		"redfall_quest_8_objective_2"									"Добывай древесину, чтобы получить бонусы для комбайна."
		"redfall_quest_8_reward"										"Специальные ботинки"
		"redfall_quest_8_reward_Description"							"Immortal ботинки"

		"redfall_farmlands_friendly_harvester"							"Сборщик"

		"DOTA_Tooltip_ability_redfall_farmland_spawner_ability"			"Периодически сеет злобные семена тыквы"
		"DOTA_Tooltip_ability_redfall_farmland_spawner_ability"			"Периодически сеет злобные семена тыквы"

		"DOTA_Tooltip_ability_farmland_shredder_blade"					""
		"DOTA_Tooltip_ability_farmland_shredder_blade"					""

		"DOTA_Tooltip_ability_redfall_armored_crab_beast_ability"				"Canyon Burrow"
		"DOTA_Tooltip_ability_redfall_armored_crab_beast_ability_Description"	"Подкапывается за спину выбранному юниту."

		"DOTA_Tooltip_ability_redfall_shredder_whirling_death"			"Whirling Death"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_Description"	"Быстро вращающиеся лезвоя срубают несколько деревьев поблизости. Дополнительно наносят урон ближайшим врагам."
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_whirling_damage"	"УРОН:"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_stat_loss_pct"	"УМЕНЬШЕНИЕ ОСНОВНОГО АТРИБУТА, %:"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_duration"			"ДЛИТЕЛЬНОСТЬ УМЕНЬШЕНИЯ ОСНОВНОГО АТРИБУТА:"

		"DOTA_Tooltip_ability_crimsyth_mage_ability"					"Ruby Pulse"
		"DOTA_Tooltip_ability_crimsyth_mage_ability_Description"		"Периодически выпускает красные волны, которые наносят урон и замедляют скорости поворота и передвижения."
		"DOTA_Tooltip_ability_crimsyth_mage_ability_damage"				"УРОН:"

		"DOTA_Tooltip_modifier_crimsyth_mage_slow"						"Ruby Pulse"
		"DOTA_Tooltip_modifier_crimsyth_mage_slow_Description"			"Скорости поворота и передвижения снижены."

		"DOTA_Tooltip_ability_creature_black_king_bar"					"Magic Shield"
		"DOTA_Tooltip_ability_creature_black_king_bar_Description"		"Наделяется щитом, дающим 100% иммунитет к магии."
		"DOTA_Tooltip_ability_creature_black_king_bar_duration"			"Длительность:"

		"DOTA_Tooltip_modifier_black_King_bar_immunity"					"Magic Shield"
		"DOTA_Tooltip_modifier_black_King_bar_immunity_Description"		"Иммунитет к магии"

		"redfall_shipyard_crimsyth_knight"								"Рыцарь Кримсит"
		
		//Crimsyth Castle

		"redfall_crimsyth_castle_intro"									"Мрачный променад"
		"redfall_crimsyth_castle"										"Замок Кримсит"

		"DOTA_Tooltip_ability_redfall_dragonkin_enflame"				"Enflame"
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_Description"	"Воин загорается пламенем ярости, увеличивая свой урон и скорость атаки на 10 секунд."
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_attack_power_bonus"	"ДОП. УРОН %:"
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_attack_speed_bonus"	"ДОП. СКОРОСТЬ АТАКИ:"

		"DOTA_Tooltip_ability_redfall_hell_bandit_ability"				"Mana Burn"
		"DOTA_Tooltip_ability_redfall_hell_bandit_ability_Description"	"с каждой атакой отнимает ману цели и наносит магический урон в зависимости от количества отнятой маны"
		"DOTA_Tooltip_ability_redfall_hell_bandit_ability_mana_drain_percent"	"СЖИГАЕТ МАНЫ, %:"

		"DOTA_Tooltip_ability_redfall_autumn_monster_ability"			"Fire Lash"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_Description"	"Выпускает три огненных шара в сторону цели"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_impact_damage"	"УРОН ПРИ ПОПАДАНИИ:"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_burn_damage"	"УРОН ОТ ОЖОГА:"

		"crimsyth_sorceress_dialogue_1"									"Оххххх хахахаХА!"
		"crimsyth_castle_boss_dialogue_1"								"Зачем ты отвлекаешь меня?"
		"crimsyth_sorceress_dialogue_2"									"У нас гости, радость моя."	

		"crimsyth_castle_boss_dialogue_2"								"Прогони их прочь. У нас нет времени на гостей!"
		"crimsyth_sorceress_dialogue_3"									"Охх хехеХЕ"
		"crimsyth_sorceress_dialogue_4"									"Активирую систему защиты!"

		"DOTA_Tooltip_ability_castle_sorceress_light_strike_array"		"Light Strike Array"
		"DOTA_Tooltip_ability_castle_sorceress_light_strike_array_Description"	"Создаёт в указанной точке столб огня, который с некоторой задержкой оглушает задетых юнитов."	

		"DOTA_Tooltip_ability_redfall_sorceress_fire_spray"				"Fire Spray"
		"DOTA_Tooltip_ability_redfall_sorceress_fire_spray_Description"	"Выпускает огненные шары в ближайших врагов."
		"DOTA_Tooltip_ability_redfall_sorceress_fire_spray_burn_dps"	"ЕЖЕСЕКУНДНЫЙ УРОН ОТ ОГНЯ:"
		
		"DOTA_Tooltip_ability_redfall_bloodhunter_summon_wolves"		"Summon Wolf Companions"
		"DOTA_Tooltip_ability_redfall_bloodhunter_summon_wolves_Description"	"Призывает 2 ужасных волка."

		"DOTA_Tooltip_ability_redfall_skeleton_boss_arrow"				"Fireball Arrow"
		"DOTA_Tooltip_ability_redfall_skeleton_boss_arrow_Description"	"Выпускает в сторону врага огненный шар, который при попадании нанесёт огромный урон."

		"crimsyth_bombadier"											"Бомбардир Кримсит"
		"crimsyth_bombadier_rooted"										"Элитный бомбардир Кримсит"

		"DOTA_Tooltip_ability_redfall_bombadier_ability"				"Bomb Toss"
		"DOTA_Tooltip_ability_redfall_bombadier_ability_damage"			"УРОН:"
		"DOTA_Tooltip_ability_redfall_bombadier_ability_num_bombs"		"КОЛИЧЕСТВО БОМБ:"	

		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability"				"Bomb Toss"
		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability_damage"			"УРОН:"
		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability_num_bombs"		"КОЛИЧЕСТВО БОМБ:"	

		"redfall_crimsyth_hawk_soldier"									"Жестокий солдат Кримсит"

		"redfall_autumn_monster"										"Осенний Монстр"

		"redfall_snarlroot_treant"										"Трент Гнарлрут"
		"redfall_castle_archer"											"Стрелок замка"

		"DOTA_Tooltip_ability_redfall_autumn_mage_passive"				"Autumn Starfall"
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_Description"	"С каждой атакой на врага падает звезда, которая наносит магический урон и на 3 секунды снижает магическое сопротивление цели."
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_damage"		"УРОН:"
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_magic_resist_loss"	"СНИЖЕНИЕ СОПРОТИВЛЕНИЯ МАГИИ:"

		"DOTA_Tooltip_ability_armor_break_ultra"									"Armor Break Ultra"
		"DOTA_Tooltip_ability_armor_break_ultra_Description"						"С каждой успешной атакой снижается броня цели."	
		"DOTA_Tooltip_ability_armor_break_ultra_armor_break"						"СНИЖЕНИЕ БРОНИ:"

		"redfall_crimsyth_hawk_soldier_elite"							"Элитный жестокий солдат Кримсит"

		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on"				"Shield Lock"
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_Description"	"Связывает себя с целью на 2 секунды. Если цель не разрывает связь, убегая как можно дальше, то рыцарь совершает рывок к цели, нанося магический урон и оглушая её."
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_damage"		"УРОН:"
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_modifier_autumn_mage_debuff"						"Autumn Starfall"
		"DOTA_Tooltip_modifier_autumn_mage_debuff_Description"			"Сопротивление магии снижено."	

		"redfall_crimsyth_shadow"										"Тень Кримсит"

		"DOTA_Tooltip_ability_redfall_castle_warflayer_passive"			"Magic Immunity Break"
		"DOTA_Tooltip_ability_redfall_castle_warflayer_passive_Description"	"Атаки снимают иммунитет к магии."	

		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive"				"Black Smoke"
		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive_Description"	"При получении урона выпускается облако черного дыма, которое ослепляет врагов в радиусе действия."
		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive_blind_duration"	"ДЛИТЕЛЬНОСТЬ ОСЛЕПЛЕНИЯ:"

		"DOTA_Tooltip_modifier_khan_knight_blind"						"Black Smoke"
		"DOTA_Tooltip_modifier_khan_knight_blind_Description"			"Ослеплён"

		"DOTA_Tooltip_ability_redfall_enclave_viking_passive"			"Explosive Axe"
		"DOTA_Tooltip_ability_redfall_enclave_viking_passive_Description"	"С обычными атаками происходит взрыв, который наносит 0.5% от общего урона в небольшой области и оглушит задетых врагов на 0.1 секунды"

		"DOTA_Tooltip_modifier_jailer_bleeding"							"Bleeding"
		"DOTA_Tooltip_modifier_jailer_bleeding_Description"				"Получает урон каждые 0.5s"	

		"DOTA_Tooltip_redfall_goo_skin"									"Slime Skin"
		"DOTA_Tooltip_redfall_goo_skin_Description"						"Замедляет атакующих этого юнита врагов."	
		"DOTA_Tooltip_redfall_goo_skin_slow_percentage"					"ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ, %:"

		"DOTA_Tooltip_modifier_goo_skin_effect"							"Slime Skin"
		"DOTA_Tooltip_modifier_goo_skin_effect_Description"				"Замедлен"

		"redfall_erakor_the_sadist"										"Садист Эракор"

		"DOTA_Tooltip_modifier_sadist_shield"							"Sadist Shield"
		"DOTA_Tooltip_modifier_sadist_shield_Description"				"Поглощение магического и чистого урона"

		"DOTA_Tooltip_modifier_erakor_burning"							"Burning"

		"DOTA_Tooltip_ability_redfall_erakor_the_sadist_passive"		"Domination"
		"DOTA_Tooltip_ability_redfall_erakor_the_sadist_passive_Description"	"Связывает себя с целью, снижая её скорость атаки и радиус обзора. Дополнительно позволяет Садисту Эракору быстро сократить дистанцию. Связь разорвётся на расстоянии более 2000."
		
		"DOTA_Tooltip_ability_sadist_blood_bath"						"Blood Bath"
		"DOTA_Tooltip_ability_sadist_blood_bath_Description"			"Создаёт ритуальный круг крови, который через две секунды взорвётся. Все враги, оказавшиеся в круге в момент взрыва будут обезмолвлены и получат магический урон."
		"DOTA_Tooltip_ability_sadist_blood_bath_silence_duration"		"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
		"DOTA_Tooltip_ability_sadist_blood_bath_damage"					"УРОН:"

		"redfall_the_archivist"											"Архивист"
		"archivist_demon_moloth"										"Демон Молот"

		"redfall_castle_garden_overlord"								"Владыка сада"

		"redfall_crimson_samurai"										"Малиновый самурай"
		"redfall_crimson_warrior"										"Малиновый воин"

		"DOTA_Tooltip_ability_custom_meteor2"							"Meteor"
		"DOTA_Tooltip_ability_custom_meteor2_Description"				"Бросает большой камень в указанную точку, который поджигает врагов."

		"redfall_crimson_shadow_dancer"									"Малиновый танцор тени"

		"redfall_crimsyth_khan_knight"									"Рыцарь Хан"

		"redfall_crimsyth_crystal_hoarder"								"Кристалл - накопитель Кримсит"
		"redfall_castle_warflayer"										"Живодёр"

		"redfall_castle_loki_the_mad"									"Бешеный Локи"

		"DOTA_Tooltip_ability_loki_the_mad_passive"						"Maddening Strife"
		"DOTA_Tooltip_ability_loki_the_mad_passive_Description"			"С успешной атакой увеличивает свою скорость передвижения и скорость атаки, дополнительно исцеляется 2% от максимального запаса здоровья."

		"DOTA_Tooltip_ability_redfall_moloth_passive"					"Essence Shell"
		"DOTA_Tooltip_ability_redfall_moloth_passive_Description"		"Молот невосприимчив к любому урону, пока три кружащие рядом сферы не будут одного цвета. Если все сферы синего цвета - демон может получать только чистый урон, зелёного - физический, а красный цвет позволит наносить по Молоту магический урон."
		"DOTA_Tooltip_ability_redfall_moloth_passive_damage_reduce_of_alt_types"	"СОПРОТИВЛЕНИЕ ДРУГИМ ТИПАМ УРОНА:"

		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura"					"Gnarl Grip"
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_Description"		"Ближайшие вражеские герои замедлены, а их радиус обзора снижен."
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_vision_reduce"	"СНИЖЕНИЕ ОБЗОРА:"
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_movespeed"		"СНИЖЕНИЕ СКОРОСТИ:"

		"redfall_crimsyth_guard"										"Crimsyth Guard"

		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive"		"Weapon Break"
		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive_Description"	"Успешная атака обезоруживает цель."
		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive_duration"	"ДЛИТЕЛЬНОСТЬ ОБЕЗОРУЖИВАНИЯ:"

		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry"			"Warcry"
		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry_Description"	"Увеличивает броню и скорость передвижения ближайших союзников."
		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry_warcry_armor"	"ДОП. БРОНЯ:"

		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive"		"Demon Armor"
		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive_Description"	"Пассивно увеличивает значение брони"
		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive_armor"	"ДОП. БРОНЯ:"

		"DOTA_Tooltip_ability_redfall_wild_leap_demon_knight"				"Crushing Leap"
		"DOTA_Tooltip_ability_redfall_wild_leap_demon_knight_Description"	"Прыгает в сторону цели и наносит магический урон в небольшой области."

		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai"					"Flesh Heap"
		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai_Description"		"Увеличивает сопротивление магии"
		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai_magic_resist"	"ДОП. СОПРОТИВЛЕНИЕ МАГИИ:"

		"DOTA_Tooltip_ability_castle_sorceress_blink_ability"				"Sparkle Dash"
		"DOTA_Tooltip_ability_castle_sorceress_blink_ability_Description"	"Мгновенно перемещается в случайном направлении."

		"DOTA_Tooltip_ability_redfall_demon_firestorm"						"Firestorm"
		"DOTA_Tooltip_ability_redfall_demon_firestorm_Description"			"Создаёт волны демонического адского пламени в желаемой области."
		"DOTA_Tooltip_ability_redfall_demon_firestorm_wave_damage"			"УРОН ВОЛНЫ:"	
		"DOTA_Tooltip_ability_redfall_demon_firestorm_burn_damage"			"УРОН СО ВРЕМЕНЕМ (% ОТ МАКС. ЗДОРОВЬЯ):"

		"DOTA_Tooltip_ability_redfall_demon_follower_finger"				"Finger of Pain"
		"DOTA_Tooltip_ability_redfall_demon_follower_finger_Description"	"Быстрый магический удар."
		"DOTA_Tooltip_ability_redfall_demon_follower_finger_damage"			"УРОН:"

		"DOTA_Tooltip_ability_redfall_crimsyth_castle_boss_ai"				"Corruptor"

		"DOTA_Tooltip_ability_crimsyth_final_boss_fire_blast"				"Chaos Meteor"
		"DOTA_Tooltip_ability_crimsyth_final_boss_fire_blast_damage"		"УРОН:"

		"DOTA_Tooltip_ability_crimsyth_boss_illusion_ability"				"Demonic Reflection"

		"DOTA_Tooltip_ability_redfall_crimsyth_boss_passive"				"Tormented Fervor"
		"DOTA_Tooltip_ability_redfall_crimsyth_boss_passive_Description"	"С каждой успешной атакой снижает броню цели, увеличивает свою скорость атаки."

		"redfall_crimsyth_mage"											"Маг Кримсит"
		"redfall_crimsyth_mage_elite"									"Элитный маг Кримсит"	

		"redfall_crystal_shifter"										"Кристальный призрак"

		"redfall_crimsyth_grunt"										"Брюзга Кримсит"

		"redfall_lava_lizard"											"Лавовая ящерица"

		"redfall_castle_tongey_kong"									"Тонги Конг"

		"redfall_castle_demented_shaman"								"Безумный шаман Кримсит"

		"redfall_crimsyth_gunman"										"Стрелок Кримсит"

		"redfall_crimsyth_gunman_elite"								"Элитный стрелок Кримсит"

		"redfall_enclave_viking"										"Боевой Викинг"

		"DOTA_Tooltip_ability_redfall_goo_skin"						"Goo Skin"
		"DOTA_Tooltip_ability_redfall_goo_skin_Description"			"Замедляет атакующего."

		"redfall_tortured_soul"											"Измученная Осенняя Душа"	

		"redfall_crimsyth_berserker"								"Берсеркер Кримсит"

		"redfall_castle_garden_watcher"								"Дворцовый садовник"

		"redfall_crimsyth_cultist_elite"							"Элитный культист Кримсит"

		"DOTA_Tooltip_ability_redfall_the_archivist_passive"			"Boundless Knowledge"

		"DOTA_Tooltip_ability_redfall_archivist_orb_changer"				"Aspect Depth"
		"DOTA_Tooltip_ability_redfall_archivist_orb_changer_Description"	"Меняет цвет парящих сфер"

		"DOTA_Tooltip_ability_redfall_moloth_bombs"						"Moloth Bombs"
		"DOTA_Tooltip_ability_redfall_moloth_bombs_damage"						"УРОН:"

		"DOTA_Tooltip_ability_redfall_torture_puppet_ai"				"Rend"
		"DOTA_Tooltip_ability_redfall_torture_puppet_ai_Description"	"Атаки оставляют кровоточащие раны."
		"DOTA_Tooltip_ability_redfall_torture_puppet_ai_bleed_damage"	"УРОН КРОВОТЕЧЕНИЯ:"

		"crimsyth_fortune_seeker"										"Охотник за удачей"

		"redfall_crimsyth_torture_puppet"								"Пыточная марионетка Кримсит"

		"redfall_crimsyth_corrupted_corpse"								"Сгнивший труп"

		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel"					"Shrapnel"
		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel_Description"		"Каскад пуль, падающих с неба в выбранной области. Наносят урон и замедляют врагов, попавших под ливень."
		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel_shrapnel_damage"	"УРОН:"

		"DOTA_Tooltip_ability_redfall_barrel_toss"						"Barrel Toss"
		"DOTA_Tooltip_ability_redfall_barrel_toss_Description"			"Кидает впереди себя бочку, которая взрывается на низкой скорости или когда попадает по врагу."
		"DOTA_Tooltip_ability_redfall_barrel_toss_damage"				"УРОН:"

		"DOTA_Tooltip_modifier_ash_tree_aura_debuff"					"Gnarl Grip"
		"DOTA_Tooltip_modifier_ash_tree_aura_debuff_Description"		"Замедлен"

		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive"			"Silver Shield"
		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive_Description"	"Снижает получаемый ЧИСТЫЙ урон."
		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive_pure_damage_reduce"	"СНИЖЕНИЕ ВХОДЯЩЕГО ЧИСТОГО УРОНА:"

		"DOTA_Tooltip_modifier_silver_shield"							"Silver Shield"
		"DOTA_Tooltip_modifier_silver_shield_Description"				"Снижение получаемого чистого урона."

