		"zone_redfall"											"Redfall Ridge"
		"DOTA_Tooltip_ability_redfall_skeleton_archer_ai_attack_damage_bonus"	"ATTACK DAMAGE BONUS %:"

		"DOTA_Tooltip_ability_redfall_wild_leap"						"Wild Leap"
		"DOTA_Tooltip_ability_redfall_wild_leap_Description"			"Target a unit and jump toward them, creating a stunning quake at the landing point."

		"DOTA_Tooltip_ability_redfall_void_task_shield"					"Task Armor"
		"DOTA_Tooltip_ability_redfall_void_task_shield_Description"		"Damage taken is reduced by 99.9% until charges are expired."	

		"redfall_shipyard_conductor"									"Shipyard Conductor"
		"redfall_shipyard_demon_brute"									"Demon Brute"
		"redfall_shipyard_void"											"Demon Void"
		"redfall_demon_rat"												"Yard Rat"

		"shipyard_skeleton_archer_boss"									"Elite Bone Scorpion"
		"shipyard_skeleton_archer"										"Bone Scorpion"
		"redfall_shipyard_demon_wolf"									"Demon Wolf"
		"redfall_shipyard_blood_wolf"									"Blood Wolf"
		"redfall_shipyard_crimsyth_blood_hunter"						"Blood Hunter"

		"DOTA_Tooltip_ability_redfall_massive_arrow"					"Crimson Power Shot"
		"DOTA_Tooltip_ability_redfall_massive_arrow_Description"		"Fires a powerful red arrow after winding up the bow."

		"DOTA_Tooltip_ability_redfall_tyrant_quake"						"Split Earth"
		"DOTA_Tooltip_ability_redfall_tyrant_quake_Description"			"Stun and damage units in an area."

		"DOTA_Tooltip_ability_redfall_enforcer_puff"					"Combat Ready"
		"DOTA_Tooltip_ability_redfall_enforcer_puff_Description"		"Increases cast speed for 4 seconds."
		"DOTA_Tooltip_ability_redfall_enforcer_puff_attackspeed"		"ATTACK SPEED:"

		"DOTA_Tooltip_ability_redfall_farmlands_bandit_ai"				"Quickfoot"
		"DOTA_Tooltip_ability_redfall_farmlands_bandit_ai_Description"	"Attacks have a 25% chance to apply a buff that grants 100% evasion and bonus movespeed."

		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai"				"Bane Blood"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_Description"	"Attacks leave a stacking armor debuff on the target, while increasing the attack speed and attack damage of the owner."
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_armor_reduce_per_hit"	"ARMOR REDUCTION PER HIT:"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_attack_speed_per_hit"	"ATTACK SPEED PER HIT:"
		"DOTA_Tooltip_ability_redfall_crimsyth_recriter_ai_attack_damage_per_hit"	"ATTACK DAMAGE PER HIT:"

		"DOTA_Tooltip_ability_shipyard_plasma_field"					"Energy Conductor"
		"DOTA_Tooltip_ability_shipyard_plasma_field_Description"		"Deals damage in an expanding circle. Deals much less damage closer to the center."
		"DOTA_Tooltip_ability_shipyard_plasma_field_damage_min"			"DAMAGE AT CENTER:"
		"DOTA_Tooltip_ability_shipyard_plasma_field_damage_max"			"DAMAGE AT EDGE:"

		"shipyard_pirate_archer"										"Shipyard Pirate Archer"

		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger" "Skulldigger"
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_Description" "Builds charges every 2.2 seconds. Each time damage is taken with a charge active, launch a wraithfire blast at the attacker."
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_property_two"	"MAX STACKS:"
		"DOTA_Tooltip_ability_redfall_shipyard_gatekeeper_skulldigger_property_four"	"STUN DURATION:"

		"redfall_shipyard_soul_collector"								"Soul Collector"

		"shipyard_ghost_fish"											"Ghost Fish"
		
		"shipyard_zombie_warrior"										"Shipyard Zombie"

		"redfall_shipyard_haunt_knight"									"Shipyard Haunt Knight"

		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive"	"Soul Spiller"
		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive_Description"	"Continuously emits skulls that deal damage. Each time a skull hits a target, the Soul Collector gains a shield that absorbs 1 instance of damage per stack."
		"DOTA_Tooltip_ability_redfall_shipyard_soul_collector_passive_max_stacks"	"MAX SHIELD STACKS:"

		"shipyard_boss_dialogue_1"										"Well this is strange."
		"shipyard_boss_dialogue_1a"										"Well this is odd."
		"shipyard_boss_dialogue_2"										"First, my tax collectors are late."
		"shipyard_boss_dialogue_3"										"They're never late."
		"shipyard_boss_dialogue_4_1"									"And now I've got a stinkin' pig standing at the entrance to my chamber."
		"shipyard_boss_dialogue_4_2"									"And now I've got a pair of filthy apes standing at the entrance to my chamber."
		"shipyard_boss_dialogue_4_3"									"And now I've got a trio of try-hard monkeys standing at the entrance to my chamber."
		"shipyard_boss_dialogue_4_4"									"And now I've got a group of deadbeat rats standing at the entrance to my chamber."

		"shipyard_boss_dialogue_5"										"And so we will play a high stakes game of LIFE and DEATH!"
		"shipyard_boss_dialogue_6"										"Let's begin, friends!"

		"shipyard_boss_dialogue_7"										"Round and round it goes"
		"shipyard_boss_dialogue_8"										"Let's raise the stakes folks!"

		"shipyard_boss_dialogue_9"										"Finish it!"

		"redfall_shipyard_boss"											"Tyrant Thadelus"

		"DOTA_Tooltip_ability_shipyard_boss_ai"							"Meat Eater"
		"DOTA_Tooltip_ability_shipyard_boss_ai_Description"				"Instances of damage cannot exceed 1% of max health."
		"DOTA_Tooltip_ability_shipyard_boss_chemical_rage"			"Chemical Rage"
		"DOTA_Tooltip_ability_shipyard_boss_chemical_rage_Description"	"Thadelus becomes furious, which gives him decreased attack time and faster movement."
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray"					"Acid Spray"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_Description"		"Sprays high-pressure acid across a target area. Enemy units who step across the contaminated terrain take physical damage per second and have their armor significantly reduced."
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_duration" "DURATION:"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_damage"		"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_shipyard_boss_acid_spray_armor_reduction" "ARMOR REDUCTION:"

		"redfall_dialogue_farmer_2_shredder_1"							"My harvester has returned to me!"
		"redfall_dialogue_farmer_2_shredder_1a"							"I have a secret lab in the back that I hide from the Crimsyth. It's where I research new harvesting technologies."
		"redfall_dialogue_farmer_2_shredder_2"							"Step on the pedestal to enter one of my harvesting machines. You can gain upgrades for 100 lumber by standing on the white pedestals!"

		"redfall_dialogue_farmer_2_shredder_upgrade_1"					"That's the Whirling Death upgrade. It lets you harvest lumber faster by giving you an AOE chopping technique."
		"redfall_dialogue_farmer_2_shredder_upgrade_2"					"That's the Turbo Boost upgrade. It increases your shredders base movement speed!."
		"redfall_dialogue_farmer_2_shredder_upgrade_3"					"Those are special harvester boots. They are for you - not the harvester!"

		"DOTA_Tooltip_ability_redfall_dismount_shredder_ability"		"Dismount (Self Destruct)"
		"DOTA_Tooltip_ability_redfall_dismount_shredder_ability_Description"	"Leaves the Harvester"

		"DOTA_Tooltip_modifier_shredder_lumber"							"Lumber"	

		"DOTA_Tooltip_ability_redfall_harvester_harvest"				"Harvest Tree"
		"DOTA_Tooltip_ability_redfall_harvester_harvest_Description"	"Collects a single tree."

		"DOTA_Tooltip_ability_redfall_whirling_death_shredder_ability"	"Whirling Death"
		"DOTA_Tooltip_ability_redfall_whirling_death_shredder_ability_Description"	"Harvests trees in an AOE radius."

		"redfall_quest_8_title"											"Harvesting Duty"
		"redfall_quest_8_objective_1"									"Meet up with the reactivated shredder."
		"redfall_quest_8_objective_2"									"Harvest lumber and earn all of the shredder upgrades."
		"redfall_quest_8_reward"										"Harvester Boots"
		"redfall_quest_8_reward_Description"							"Immortal Foot Gear"

		"redfall_farmlands_friendly_harvester"							"Harvester"

		"DOTA_Tooltip_ability_redfall_farmland_spawner_ability"			"Pumpkin Seeds"
		"DOTA_Tooltip_ability_redfall_farmland_spawner_ability"			"Spawning Pumpkin minions"

		"DOTA_Tooltip_ability_farmland_shredder_blade"					"Harvester"
		"DOTA_Tooltip_ability_farmland_shredder_blade"					""

		"DOTA_Tooltip_ability_redfall_armored_crab_beast_ability"				"Canyon Burrow"
		"DOTA_Tooltip_ability_redfall_armored_crab_beast_ability_Description"	"Target a unit and burrow behind them."

		"DOTA_Tooltip_ability_redfall_shredder_whirling_death"			"Whirling Death"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_Description"	"A quick spiralling blade chops all trees and enemies nearby."
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_whirling_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_stat_loss_pct"	"PRIMARY ATTRIBUTE LOSS %:"
		"DOTA_Tooltip_ability_redfall_shredder_whirling_death_duration"			"ATTRIBUTE LOSS DURATION:"

		"DOTA_Tooltip_ability_crimsyth_mage_ability"					"Ruby Pulse"
		"DOTA_Tooltip_ability_crimsyth_mage_ability_Description"		"Periodically emits waves of crimson magic that deal damage and slow turn rate and movespeed."
		"DOTA_Tooltip_ability_crimsyth_mage_ability_damage"				"DAMAGE:"

		"DOTA_Tooltip_modifier_crimsyth_mage_slow"						"Ruby Pulse"
		"DOTA_Tooltip_modifier_crimsyth_mage_slow_Description"			"Movespeed and turn rate reduced."

		"DOTA_Tooltip_ability_creature_black_king_bar"					"Magic Shield"
		"DOTA_Tooltip_ability_creature_black_king_bar_Description"		"Applies a 100% magic immunity shield."
		"DOTA_Tooltip_ability_creature_black_king_bar_duration"			"Duration:"

		"DOTA_Tooltip_modifier_black_King_bar_immunity"					"Magic Shield"
		"DOTA_Tooltip_modifier_black_King_bar_immunity_Description"		"Magic Immunity"

		"redfall_shipyard_crimsyth_knight"								"Crimsyth Knight"
		
		"redfall_shipyard_cargo_watcher"								"Cargo Watcher"
		
		//Crimsyth Castle

		"redfall_crimsyth_castle_intro"									"The Blighted Promenade"
		"redfall_crimsyth_castle"										"Crimsyth Castle"

		"DOTA_Tooltip_ability_redfall_dragonkin_enflame"				"Enflame"
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_Description"	"The caster ignites in flame increasing attack damage and attack speed for 10 seconds."
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_attack_power_bonus"	"ATTACK POWER %:"
		"DOTA_Tooltip_ability_redfall_dragonkin_enflame_attack_speed_bonus"	"ATTACK SPEED:"

		"DOTA_Tooltip_ability_redfall_hell_bandit_ability"				"Mana Burn"
		"DOTA_Tooltip_ability_redfall_hell_bandit_ability_Description"	"Attacks drain mana and deal magic damage based on mana drained"
		"DOTA_Tooltip_ability_redfall_hell_bandit_ability_mana_drain_percent"	"% OF MAX MANA DRAINED:"

		"DOTA_Tooltip_ability_redfall_autumn_monster_ability"			"Fire Lash"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_Description"	"Launches 3 fireballs towards the target location"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_impact_damage"	"IMPACT DAMAGE:"
		"DOTA_Tooltip_ability_redfall_autumn_monster_ability_burn_damage"	"BURN DAMAGE:"

		"crimsyth_sorceress_dialogue_1"									"Ohhhhhh hahahaHA!"
		"crimsyth_castle_boss_dialogue_1"								"Why have I been summoned?"
		"crimsyth_sorceress_dialogue_2"									"You have guests, honey."	

		"crimsyth_castle_boss_dialogue_2"								"Keep them out. We have no time for visitors!"
		"crimsyth_sorceress_dialogue_3"									"Ohh heheHE"
		"crimsyth_sorceress_dialogue_4"									"Activating the defensive wave spawning systems!"

		"DOTA_Tooltip_ability_castle_sorceress_light_strike_array"		"Light Strike Array"
		"DOTA_Tooltip_ability_castle_sorceress_light_strike_array_Description"	"A column of fire damages and stuns in an area after a short delay."	

		"DOTA_Tooltip_ability_redfall_sorceress_fire_spray"				"Fire Spray"
		"DOTA_Tooltip_ability_redfall_sorceress_fire_spray_Description"	"Shoots fireballs at nearby enemies."
		"DOTA_Tooltip_ability_redfall_sorceress_fire_spray_burn_dps"	"BURN DPS:"
		
		"DOTA_Tooltip_ability_redfall_bloodhunter_summon_wolves"		"Summon Wolf Companions"
		"DOTA_Tooltip_ability_redfall_bloodhunter_summon_wolves_Description"	"Summons 2 vicious wolves."

		"DOTA_Tooltip_ability_redfall_skeleton_boss_arrow"				"Fireball Arrow"
		"DOTA_Tooltip_ability_redfall_skeleton_boss_arrow_Description"	"Launches a fireball from the Skeleton's bow that deals massive impact damage."

		"crimsyth_bombadier"											"Crimsyth Bombardier"
		"crimsyth_bombadier_rooted"										"Crimsyth Bombardier Elite"

		"DOTA_Tooltip_ability_redfall_bombadier_ability"				"Bomb Toss"
		"DOTA_Tooltip_ability_redfall_bombadier_ability_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_bombadier_ability_num_bombs"		"BOMB COUNT:"	

		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability"				"Bomb Toss"
		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_bombadier_rooted_ability_num_bombs"		"BOMB COUNT:"	

		"redfall_crimsyth_hawk_soldier"									"Crimsyth Hawk Soldier"

		"redfall_autumn_monster"										"Autumn Monster"
		
		"redfall_castle_dweller"										"Castle Dweller"

		"redfall_snarlroot_treant"										"Gnarlroot Treant"
		"redfall_castle_archer"											"Castle Archer"

		"DOTA_Tooltip_ability_redfall_autumn_mage_passive"				"Autumn Starfall"
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_Description"	"Attacks drop a star on the target that deals magic damage and applies a 3 second debuff that reduces magic resistance."
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_autumn_mage_passive_magic_resist_loss"	"MAGIC RESIST REDUCTION:"

		"DOTA_Tooltip_ability_armor_break_ultra"									"Armor Break Ultra"
		"DOTA_Tooltip_ability_armor_break_ultra_Description"						"Successful attacks decrease the target's armor."	
		"DOTA_Tooltip_ability_armor_break_ultra_armor_break"						"ARMOR REDUCTION:"

		"redfall_crimsyth_hawk_soldier_elite"							"Hawk Soldier Elite"

		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on"				"Shield Lock"
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_Description"	"Locks onto the target for 2 seconds. If the target does not break the bind by running away, the Hawk Knight charges towards the target and deals magic damage and stuns."
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_hawk_knight_lock_on_stun_duration"	"STUN DURATION:"

		"DOTA_Tooltip_modifier_autumn_mage_debuff"						"Autumn Starfall"
		"DOTA_Tooltip_modifier_autumn_mage_debuff_Description"			"Reduced magic resist."	

		"redfall_crimsyth_shadow"										"Crimsyth Shadow"

		"DOTA_Tooltip_ability_redfall_castle_warflayer_passive"			"Magic Immunity Break"
		"DOTA_Tooltip_ability_redfall_castle_warflayer_passive_Description"	"Attacks break magic immune effects."	

		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive"				"Black Smoke"
		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive_Description"	"Taking damage emits a cloud of smoke that blinds enemies in the radius."
		"DOTA_Tooltip_ability_crimsyth_khan_knight_passive_blind_duration"	"BLIND DURATION:"

		"DOTA_Tooltip_modifier_khan_knight_blind"						"Black Smoke"
		"DOTA_Tooltip_modifier_khan_knight_blind_Description"			"Blinded"

		"DOTA_Tooltip_ability_redfall_enclave_viking_passive"			"Explosive Axe"
		"DOTA_Tooltip_ability_redfall_enclave_viking_passive_Description"	"Regular attacks explode, dealing 0.5% of attack damage and stunning for 0.1 seconds in an AOE"

		"DOTA_Tooltip_modifier_jailer_bleeding"							"Bleeding"
		"DOTA_Tooltip_modifier_jailer_bleeding_Description"				"Taking magic damage every 0.5s"	

		"DOTA_Tooltip_redfall_goo_skin"									"Slime Skin"
		"DOTA_Tooltip_redfall_goo_skin_Description"						"Slows enemies who damage this unit."	
		"DOTA_Tooltip_redfall_goo_skin_slow_percentage"					"MOVE SLOW PERCENTAGE:"

		"DOTA_Tooltip_modifier_goo_skin_effect"							"Slime Skin"
		"DOTA_Tooltip_modifier_goo_skin_effect_Description"				"Slowed"

		"redfall_erakor_the_sadist"										"Erakor the Sadist"

		"DOTA_Tooltip_modifier_sadist_shield"							"Sadist Shield"
		"DOTA_Tooltip_modifier_sadist_shield_Description"				"Absorbing Magic and Pure damage"

		"DOTA_Tooltip_modifier_erakor_burning"							"Burning"

		"DOTA_Tooltip_ability_redfall_erakor_the_sadist_passive"		"Domination"
		"DOTA_Tooltip_ability_redfall_erakor_the_sadist_passive_Description"	"Links up with the target, reducing their movespeed and vision radius and allowing the Sadist to pull himself closer. Tether breaks at 2000 distance."
		
		"DOTA_Tooltip_ability_sadist_blood_bath"						"Blood Bath"
		"DOTA_Tooltip_ability_sadist_blood_bath_Description"			"Creates a ritualistic circle of blood that pops after a 2 second delay. Anyone within the radius as it explodes is silenced and takes magic damage."
		"DOTA_Tooltip_ability_sadist_blood_bath_silence_duration"		"SILENCE DURATION:"
		"DOTA_Tooltip_ability_sadist_blood_bath_damage"					"DAMAGE:"

		"redfall_the_archivist"											"The Archivist"
		"archivist_demon_moloth"										"Demon Moloth"

		"redfall_castle_garden_overlord"								"Garden Overlord"

		"redfall_crimson_samurai"										"Crimson Samurai"
		"redfall_crimson_warrior"										"Crimson Warrior"

		"DOTA_Tooltip_ability_custom_meteor2"							"Meteor"
		"DOTA_Tooltip_ability_custom_meteor2_Description"				"Drops a massive boulder at the target location that burns enemies."

		"redfall_crimson_shadow_dancer"									"Crimson Shadow Dancer"

		"redfall_crimsyth_khan_knight"									"Khan Knight"

		"redfall_crimsyth_crystal_hoarder"								"Crimsyth Crystal Hoarder"
		"redfall_castle_warflayer"										"Warflayer"

		"redfall_castle_loki_the_mad"									"Loki the Mad"

		"DOTA_Tooltip_ability_loki_the_mad_passive"						"Maddening Strife"
		"DOTA_Tooltip_ability_loki_the_mad_passive_Description"			"Attacking increases movespeed and attack speed and heals for 2% of max HP."

		"DOTA_Tooltip_ability_redfall_moloth_passive"					"Essence Shell"
		"DOTA_Tooltip_ability_redfall_moloth_passive_Description"		"Moloth is immune to all damage unless his 3 orbiting spheres match color. If all blue, Moloth can take pure damage. Green, physical and red magical."
		"DOTA_Tooltip_ability_redfall_moloth_passive_damage_reduce_of_alt_types"	"REDUCTION OF ALTERNATE DAMAGE TYPES:"

		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura"					"Gnarl Grip"
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_Description"		"Nearby heroes are slowed and have their vision radius reduced."
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_vision_reduce"	"VISION REDUCE:"
		"DOTA_Tooltip_ability_redfall_gnarl_tree_aura_movespeed"		"MOVESPEED:"

		"redfall_crimsyth_guard"										"Crimsyth Guard"

		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive"		"Weapon Break"
		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive_Description"	"Attacks disarm the target"
		"DOTA_Tooltip_ability_redfall_crimsyth_guardian_passive_duration"	"DISARM DURATION:"

		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry"			"Warcry"
		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry_Description"	"Increases the armor and movespeed of nearby units"
		"DOTA_Tooltip_ability_crimsyth_guardian_sven_warcry_warcry_armor"	"ARMOR:"

		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive"		"Demon Armor"
		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive_Description"	"Passively increases armor"
		"DOTA_Tooltip_ability_redfall_crimsyth_demon_knight_passive_armor"	"ARMOR:"

		"DOTA_Tooltip_ability_redfall_wild_leap_demon_knight"				"Crushing Leap"
		"DOTA_Tooltip_ability_redfall_wild_leap_demon_knight_Description"	"Jumps toward the target location and deal magic damage in an AOE at the landing point."

		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai"					"Flesh Heap"
		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai_Description"		"Increases magic resistance"
		"DOTA_Tooltip_ability_redfall_crimsyth_cannibal_ai_magic_resist"	"MAGIC RESIST:"

		"DOTA_Tooltip_ability_castle_sorceress_blink_ability"				"Sparkle Dash"
		"DOTA_Tooltip_ability_castle_sorceress_blink_ability_Description"	"Quickly dodge in a random direction."

		"DOTA_Tooltip_ability_redfall_demon_firestorm"						"Firestorm"
		"DOTA_Tooltip_ability_redfall_demon_firestorm_Description"			"Creates waves of demonic green hellfire at the target location."
		"DOTA_Tooltip_ability_redfall_demon_firestorm_wave_damage"			"WAVE DAMAGE:"	
		"DOTA_Tooltip_ability_redfall_demon_firestorm_burn_damage"			"DOT DAMAGE (% OF MAX HEALTH):"

		"DOTA_Tooltip_ability_redfall_demon_follower_finger"				"Finger of Pain"
		"DOTA_Tooltip_ability_redfall_demon_follower_finger_Description"	"A quick nuke that deals magic damage."
		"DOTA_Tooltip_ability_redfall_demon_follower_finger_damage"			"DAMAGE:"

		"DOTA_Tooltip_ability_redfall_crimsyth_castle_boss_ai"				"Corruptor"

		"DOTA_Tooltip_ability_crimsyth_final_boss_fire_blast"				"Chaos Meteor"
		"DOTA_Tooltip_ability_crimsyth_final_boss_fire_blast_damage"		"DAMAGE:"

		"DOTA_Tooltip_ability_crimsyth_boss_illusion_ability"				"Demonic Reflection"

		"DOTA_Tooltip_ability_redfall_crimsyth_boss_passive"				"Tormented Fervor"
		"DOTA_Tooltip_ability_redfall_crimsyth_boss_passive_Description"	"Attacks leave a stacking armor debuff, and the attacker increases his attack speed with each successive strike."

		"redfall_crimsyth_mage"											"Crimsyth Mage"
		"redfall_crimsyth_mage_elite"									"Crimsyth Mage Elite"	

		"redfall_crystal_shifter"										"Crystal Shifter"

		"redfall_crimsyth_grunt"										"Crimsyth Grunt"

		"redfall_lava_lizard"											"Lava Lizard"

		"redfall_castle_tongey_kong"									"Tongey Kong"

		"redfall_castle_demented_shaman"								"Crimsyth Demented Shaman"

		"redfall_crimsyth_gunman"										"Crimsyth Gunman"

		"redfall_crimsyth_gunman_elite"								"Crimsyth Gunman Elite"

		"redfall_enclave_viking"										"Enclave Viking"

		"DOTA_Tooltip_ability_redfall_goo_skin"						"Goo Skin"
		"DOTA_Tooltip_ability_redfall_goo_skin_Description"			"Damaging this unit slows the attacker."

		"redfall_tortured_soul"											"Redfall Tortured Soul"	

		"redfall_crimsyth_berserker"								"Crimsyth Berserker"

		"redfall_castle_garden_watcher"								"Castle Garden Watcher"

		"redfall_crimsyth_cultist_elite"							"Crimsyth Cultist Elite"

		"DOTA_Tooltip_ability_redfall_the_archivist_passive"			"Boundless Knowledge"

		"DOTA_Tooltip_ability_redfall_archivist_orb_changer"				"Aspect Depth"
		"DOTA_Tooltip_ability_redfall_archivist_orb_changer_Description"	"Changes the color of an Orbiting Sphere"

		"DOTA_Tooltip_ability_redfall_moloth_bombs"						"Moloth Bombs"
		"DOTA_Tooltip_ability_redfall_moloth_bombs_damage"						"DAMAGE:"

		"DOTA_Tooltip_ability_redfall_torture_puppet_ai"				"Rend"
		"DOTA_Tooltip_ability_redfall_torture_puppet_ai_Description"	"Attacks leave a bleeding DoT on the target."
		"DOTA_Tooltip_ability_redfall_torture_puppet_ai_bleed_damage"	"BLEED DAMAGE:"

		"crimsyth_fortune_seeker"										"Fortune Seeker"

		"redfall_crimsyth_torture_puppet"								"Crimsyth Torture Puppet"

		"redfall_crimsyth_corrupted_corpse"								"Corrupted Corpse"

		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel"					"Shrapnel"
		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel_Description"		"A cascade of bullets rains at the target location, damaging and slowing enemies within the area."
		"DOTA_Tooltip_ability_crimsyth_gunman_shrapnel_shrapnel_damage"	"DAMAGE:"

		"DOTA_Tooltip_ability_redfall_barrel_toss"						"Barrel Toss"
		"DOTA_Tooltip_ability_redfall_barrel_toss_Description"			"Rolls a barrell ahead of the caster that explodes at low velocity or when it comes into contact with an enemy."
		"DOTA_Tooltip_ability_redfall_barrel_toss_damage"				"DAMAGE:"

		"DOTA_Tooltip_modifier_ash_tree_aura_debuff"					"Gnarl Grip"
		"DOTA_Tooltip_modifier_ash_tree_aura_debuff_Description"		"Slowed"

		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive"			"Silver Shield"
		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive_Description"	"Reduces PURE damage taken."
		"DOTA_Tooltip_ability_redfall_crimson_samurai_passive_pure_damage_reduce"	"PURE DAMAGE REDUCTION:"

		"DOTA_Tooltip_modifier_silver_shield"							"Silver Shield"
		"DOTA_Tooltip_modifier_silver_shield_Description"				"Reducing pure damage taken."

		"redfall_castle_crimson_flood"									"Crimson Flood"

		"DOTA_Tooltip_raging_shaman_passive"							"Wild Berskerker"

		"crimsyth_ghost_of_perdition"									"Ghost of Perdition"

		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability"			"Searing Arrows"
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_Description"	"Attacks deal additional magic damage and leave a burning debuff on the target."
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_magic_damage_on_hit"	"ADDITIONAL MAGIC DAMAGE AS % OF ATTACK DAMAGE:"
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_burn_damage_per_tick"	"BURN DAMAGE PER SECOND:"

		"redfall_castle_effigy_of_fortunis"								"Effigy of Fortunis"

		"DOTA_Tooltip_ability_redfall_fortunis_passive"					"Fortune's Blessing"
		"DOTA_Tooltip_ability_redfall_fortunis_passive_Description"		"50% chance to dodge attacks, and 50% increased magic resistance."

		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant"			"Static Remnant"
		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant_Description"	"Leaves a thunder remnant that explodes on contact with an enemy."
		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant_static_remnant_damage"	"DAMAGE:"

		"redfall_maze_ghost"											"Treasure Ghost"
		"maze_ghost_dialogue"											"Only a single door may open. Choose wisely!"

		"redfall_ethereal_revenant"										"Ethereal Revenant"

		"redfall_lava_behemoth"											"Lava Behemoth"

		"DOTA_Tooltip_ability_redfall_ethereal_revenant_passive"				"Revenant Link"
		"DOTA_Tooltip_ability_redfall_ethereal_revenant_passive_Description"	"Binds Nearby enemies, slowing them and reducing attack damage."

		"DOTA_Tooltip_modifier_ethereal_revenant_link_boss"					"Revenant Link"

		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega"		"Magic Ward"
		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega_Description"	"Grants magic immunity. Magic immune shield can be broken after attacks."	
		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega_stacks"		"CHARGES:"

		"DOTA_Tooltip_ability_mega_steadfast"							"Mega Steadfast"
		"DOTA_Tooltip_ability_mega_steadfast_Description"				"Each instance of damage can not deal more than a % of max health."
		"DOTA_Tooltip_ability_mega_steadfast_max_damage"				"HEALTH % MAX:"
		"DOTA_Tooltip_modifier_mega_steadfast"									"Mega Steadfast"
		"DOTA_Tooltip_modifier_mega_steadfast_Description"						"Each instance of damage can not deal more than a % of max health."

		"redfall_crimsyth_castle_grounds_guardian"						"Castle Grounds Guardian"

		"DOTA_Tooltip_ability_redfall_garden_watcher_nuke"				"Equinox Rift"
		"DOTA_Tooltip_ability_redfall_garden_watcher_nuke_Description"	"Swaps positions with the target."

