		"tooltip_warlord_q_abilities"									"石像形态，寒冰护盾和烈火奔腾"
        "DOTA_Tooltip_ability_warlord_rune_q_3_arcana2"                     "[Q3] 灼热之怒"
        "DOTA_Tooltip_ability_warlord_rune_q_3_arcana2_Description"         "当你站在火焰沉溺中时获得额外攻击力和攻击速度。"
        "DOTA_Tooltip_ability_warlord_rune_q_3_arcana2_property_one"        "额外攻击力"
        "DOTA_Tooltip_ability_warlord_rune_q_3_arcana2_suffix"              "%"
        "DOTA_Tooltip_ability_warlord_rune_q_3_arcana2_property_two"        "攻击速度"
        "DOTA_Tooltip_ability_warlord_rune_q_3_arcana2_suffix_two"          ""

        "DOTA_Tooltip_modifier_flame_wreck_q3_atk_power"                    "灼热之怒"
        "DOTA_Tooltip_modifier_flame_wreck_q3_atk_power_Description"        "增加攻击力和攻击速度"

        "DOTA_Tooltip_ability_warlord_rune_q_4_arcana2"                     "[Q4] 龙之盛怒"
        "DOTA_Tooltip_ability_warlord_rune_q_4_arcana2_Description"         "被动增加全属性，并且每10点属性增加 <font color=\"#3289C7\">龙</font> 伤害。"
        "DOTA_Tooltip_ability_warlord_rune_q_4_arcana2_property_one"        "额外全属性"
        "DOTA_Tooltip_ability_warlord_rune_q_4_arcana2_suffix"              ""
        "DOTA_Tooltip_ability_warlord_rune_q_4_arcana2_property_two"        "额外伤害"
"DOTA_Tooltip_ability_warlord_rune_q_4_arcana2_suffix_two" "% 每10点属性。"


		//Glyphs
		
		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_1_1"		"多样性雕文"
		"item_rpc_warlord_glyph_1_1_description" 				"大地冲撞、北极冲刺和火光降落也可以切换督军的元素形态。"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_2_1"		"冰冻之斧雕文"
		"item_rpc_warlord_glyph_2_1_description" 				"攻击敌人将获得一层火焰、寒冰、大地能量。"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_3_1"		"漫步之石雕文"
		"item_rpc_warlord_glyph_3_1_description" 				"移除石像形态下的移动速度降低效果。"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_4_1"		"伏击雕文"
		"item_rpc_warlord_glyph_4_1_description" 				"向某个敌人投掷斧头将使督军移动至该目标，并造成 @glyph_property1x 暴击伤害。冷却时间 @glyph_property2 秒。"

		"DOTA_Tooltip_modifier_beastmaster_glyph_4_1_cooldown"	"伏击冷却中"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_5_1"		"野蛮战斗雕文"
		"item_rpc_warlord_glyph_5_1_description" 				"每杀死一个敌人提高额外攻击力 @glyph_property1%，可叠加至50层。持续时间 @glyph_property2 秒，击杀后刷新持续时间。"

		"DOTA_Tooltip_modifier_warlord_glyph_5_1_effect"		"野蛮战斗"
		"DOTA_Tooltip_modifier_warlord_glyph_5_1_effect_Description"	"杀死敌人后提高额外攻击力。"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_6_1"		"元素雕文"
		"item_rpc_warlord_glyph_6_1_description" 				"提高大地、火焰和寒冰能量的层数上限至25。"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_7_1"		"战斗雕文"
		"item_rpc_warlord_glyph_7_1_description" 				"普通攻击将对目标周围所有敌人造成 @glyph_property1% 攻击伤害的魔法伤害。"

		"DOTA_Tooltip_ability_item_rpc_warlord_glyph_5_a"		"生态雕文"
		"item_rpc_warlord_glyph_5_a_description" 				"受到伤害会增加 @glyph_property1 火焰能量。 每层寒冰能量加深敌人受到的魔法伤害 5%（计算在敌人减伤之后）"

		//Weapons
		"warlord_weapon_01"			"威武巨斧"
		"warlord_weapon_02"			"镂刻大斧"
		"warlord_weapon_03"			"神秘巨斧"
		"warlord_weapon_11"			"地铸之剑"
		"warlord_weapon_12"			"锐利之刃"
		"warlord_weapon_13"			"火焰巨斧"
		"warlord_weapon_14"			"冰铸之斧"
		"warlord_weapon_21"			"大地之斧"
		"warlord_weapon_22"			"烈焰风暴巨斧"
		"warlord_weapon_23"			"钍铸之刃"
		"warlord_weapon_24"			"灵巧银斧"
		"warlord_weapon_25"			"剃刀巨斧"
		
		"DOTA_Tooltip_ability_item_rpc_warlord_immortal_weapon_1"		"开元天斧"
		"item_property_warlord_immortal_weapon"								"元素闪电"
		"property_warlord_immortal_weapon_description"						"元素充能拥有 2x 叠加速率"	

		"DOTA_Tooltip_ability_item_rpc_warlord_immortal_weapon_2"            "蓝宝石遗物"
		"item_property_warlord_immortal_weapon2"                             "三棱镜"
        "property_warlord_immortal_weapon2_description"                      "施放 @Ability2 将同时一连串投掷其他两种元素斧。"

        "DOTA_Tooltip_ability_item_rpc_warlord_immortal_weapon_3"            "红宝石遗物"
        "item_property_warlord_immortal_weapon3"                             "原始起义"
        "property_warlord_immortal_weapon3_description"                      "每 @special_property1 秒获得一层 大地、火焰、寒冰充能。"   
