		"winterblight_village"											"Winterblight Village"
		"DOTA_Tooltip_ability_winterblight_crystal_charge_Description"	"Charge toward the target location"

		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive"	"Night Screen"
		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive_description"	"Damage taken is greatly reduced if the attacker is outside of the AOE Radius. Grants bonus attack damage to nearby enemies."
		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive_damage_reduction"	"% DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive_attack_damage_bonus"	"ENEMY ATTACK DAMAGE BONUS:"

		"DOTA_Tooltip_ability_winterblight_air_spirit_passive"		"Crystal Air"
		"DOTA_Tooltip_ability_winterblight_air_spirit_passive_Description"	"Passively provides bonus attack damage %."
		"DOTA_Tooltip_ability_winterblight_air_spirit_passive_attack_damage"	"% ATTACK DAMAGE:"

		"DOTA_Tooltip_ability_winterblight_cruxal_passive"			"Guard Breaker"
		"DOTA_Tooltip_ability_winterblight_cruxal_passive_Description"	"Each attack adds a stacking armor loss debuff."
		"DOTA_Tooltip_ability_winterblight_cruxal_passive_armor_loss_per_stack"	"ARMOR LOSS PER STACK:"

		"DOTA_Tooltip_modifier_cruxal_armor_loss"				"Guard Break"
		"DOTA_Tooltip_modifier_cruxal_armor_loss_Description"	"Reduced armor"

		"DOTA_Tooltip_ability_cruxal_ice_blast"					"Ice Blast"
		"DOTA_Tooltip_ability_cruxal_ice_blast_Description"		"Launch a ball of ice at the target location. Enemies hit by the ice take damage over time and are unable to heal. While under the effect of the debuff, if an enemy's health falls below the threshold they immediately shatter and die."
		"DOTA_Tooltip_ability_cruxal_ice_blast_dot_damage"		"DOT DAMAGE:"
		"DOTA_Tooltip_ability_cruxal_ice_blast_kill_pct"		"% HEALTH DEATH THRESHOLD:"

		"DOTA_Tooltip_modifier_ice_blast_debuff_datadriven"		"Ice Blast"
		"DOTA_Tooltip_modifier_ice_blast_debuff_datadriven_Description"	"Can't heal. If health falls below the threshold, immediately shatter and die."

		"DOTA_Tooltip_ability_winterblight_essence_drain"		"Essence Drain"
		"DOTA_Tooltip_ability_winterblight_essence_drain_Description" 	"All nearby enemy heroes are linked with a beam of Essence Drain. Essence drain STEALS a buff and applies it to the caster every 0.1 seconds."
		"DOTA_Tooltip_ability_winterblight_essence_drain_radius"	"RADIUS:"

		"DOTA_Tooltip_modifier_essence_drain_effect"			"Essence Drain"
		"DOTA_Tooltip_modifier_essence_drain_effect_Description" "Buffs are being stolen"

		"DOTA_Tooltip_ability_winterblight_bladewielder_passive"	"Bladewielder's Force"
		"DOTA_Tooltip_ability_winterblight_bladewielder_passive_Description"	"Provides bonus attack damage and armor. Upon taking damage, lose the buff for 1.5 seconds."
		"DOTA_Tooltip_ability_winterblight_bladewielder_passive_attack_outgoing"	"% ATTACK DAMAGE INCREASE:"
		"DOTA_Tooltip_ability_winterblight_bladewielder_passive_armor"				"ARMOR:"

		"DOTA_Tooltip_modifier_bladewielder_force"				"Bladewielder's Force"
		"DOTA_Tooltip_modifier_bladewielder_force_Description"	"Increased attack damage and armor"

		"DOTA_Tooltip_ability_megmus_explosion"					"Cosmic Frost"
		"DOTA_Tooltip_ability_megmus_explosion_Description"		"After a short channel, damage and stun and slow nearby enemies."	
		"DOTA_Tooltip_ability_megmus_explosion_stun_duration"   "STUN DURATION:"
		"DOTA_Tooltip_ability_megmus_explosion_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_megmus_explosion_as_slow"			"ATTACKSPEED SLOW:"
		"DOTA_Tooltip_ability_megmus_explosion_ms_slow"			"MOVESPEED SLOW:"

		"DOTA_Tooltip_modifier_megmus_slow"						"Cosmic Frost"
		"DOTA_Tooltip_modifier_megmus_slow_Description"			"Slowed"

		"DOTA_Tooltip_ability_winterblight_rupthold_passive"	"Glutton's Malodor"
		"DOTA_Tooltip_ability_winterblight_rupthold_passive_Description"	"Enemies in the presence of the glutton have reduced health regen and cannot heal."
		"DOTA_Tooltip_ability_winterblight_rupthold_passive_aoe_radius"		"AOE RADIUS:"
		"DOTA_Tooltip_ability_winterblight_rupthold_passive_health_regen_loss_percent"	"% HEALTH REGEN LOSS:"

		"DOTA_Tooltip_modifier_rupthold_effect"					"Glutton's Malodor"
		"DOTA_Tooltip_modifier_rupthold_effect_Description"		"Reduced health regen and cannot heal"	

		"DOTA_Tooltip_ability_winterblight_gargoyle_summon_passive"	"Gargoyle Skin"
		"DOTA_Tooltip_ability_winterblight_gargoyle_summon_passive_Description"	"Reduces pure damage taken"
		"DOTA_Tooltip_ability_winterblight_gargoyle_summon_passive_pure_resist"	"PURE RESIST:"

		"DOTA_Tooltip_ability_winterblight_ghost_aura"			"Nightmare Aura"
		"DOTA_Tooltip_ability_winterblight_ghost_aura_Description"	"Reduces nearby enemies' evasion by 100% and reduces their attack damage. Each time an enemy under the effect of the aura attacks, they gain a stack. If the target reaches 10 stacks, they are temporarily disarmed."
		"DOTA_Tooltip_ability_winterblight_ghost_aura_disarm_duration"	"DISARM DURATION:"
		"DOTA_Tooltip_ability_winterblight_ghost_aura_attack_damage_percent"	"% ATTACK DAMAGE LOSS:"

		"DOTA_Tooltip_modifier_ghost_aura_effect"				"Nightmare Aura"
		"DOTA_Tooltip_modifier_ghost_aura_effect_Description"	"Reduced attack damage. Attacking adds a stack. At 10 stacks receive a disarm effect."

		"DOTA_Tooltip_modifier_ghost_aura_stacks"				"Nightmare Aura Stacks"

		"DOTA_Tooltip_modifier_ghost_aura_disarm"				"Nightmare Disarm"

		"DOTA_Tooltip_ability_winterblight_regression_strike"	"Regression Strike"
		"DOTA_Tooltip_ability_winterblight_regression_strike_Description"	"Attacks deal additional pure damage based on the target's attack power."
		"DOTA_Tooltip_ability_winterblight_regression_strike_attack_power_mult"			"% OF ENEMY'S ATTACK POWER:"

		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive"	"Combat Block"
		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive_Description"	"Greatly reduces damage if the attacker is outside of range."
		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive_damage_block"	"% DAMAGE BLOCK:"
		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive_distance"		"DISTANCE:"

		"DOTA_Tooltip_ability_winterblight_ensnare"					"Ensnare"
		"DOTA_Tooltip_ability_winterblight_ensnare_Description"		"Traps an enemy in a net making them unable to move."
		"DOTA_Tooltip_ability_winterblight_ensnare_duration"		"ROOT DURATION:"

		"DOTA_Tooltip_ability_winterblight_azalea_knife_passive"	"Grand Piercer"
		"DOTA_Tooltip_ability_winterblight_azalea_knife_passive_Description"	"Passively increases post-mitigation damage."
		"DOTA_Tooltip_ability_winterblight_azalea_knife_passive_postmitigation"	"% POST-MITIGATION DAMAGE:"

		"DOTA_Tooltip_ability_buzuki_hex"							"Buzuki's Hex"
		"DOTA_Tooltip_ability_buzuki_hex_Description"				"Transforms an enemy into a critter that can't attack or cast spells."
		"DOTA_Tooltip_ability_buzuki_hex_duration"					"DURATION:"

		"DOTA_Tooltip_ability_torphet_ice_vortex"					"Torphet's Ice Vortex"
		"DOTA_Tooltip_ability_torphet_ice_vortex_Description"		"Creates an icy patch on the ground that slows enemies and reduces their magic resist while they are standing within it."
		"DOTA_Tooltip_ability_torphet_ice_vortex_movement_speed_pct"	"% MOVEMENT SPEED LOSS:"
		"DOTA_Tooltip_ability_torphet_ice_vortex_spell_resist_pct"		"MAGIC RESIST LOSS:"

		"DOTA_Tooltip_ability_torphet_cold_feet"					"Torphet's Cold Feet"
		"DOTA_Tooltip_ability_torphet_cold_feet_Description"		"Place a debuff on an enemy that deals damage over time. If the enemy does not move outside of the leash range before the buff expires, they are frozen in place."
		"DOTA_Tooltip_ability_torphet_cold_feet_damage"				"DOT DAMAGE:"
		"DOTA_Tooltip_ability_torphet_cold_feet_break_distance"		"BREAK DISTANCE:"
		"DOTA_Tooltip_ability_torphet_cold_feet_stun_duration"		"STUN DURATION:"
		"DOTA_Tooltip_ability_torphet_cold_feet_cast_range_tooltip"	"CAST RANGE:"

		"DOTA_Tooltip_ability_winterblight_ice_orb"					"Azertia's Ice Orb"
		"DOTA_Tooltip_ability_winterblight_ice_orb_Description"		"Throws an orb of frost that deals damage and slows while in contact with enemies. It also fires ice lances in random directions that slow and deal pure damage."
		"DOTA_Tooltip_ability_winterblight_ice_orb_as_loss"			"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_winterblight_ice_orb_ms_loss"			"MOVESPEED SLOW:"
		"DOTA_Tooltip_ability_winterblight_ice_orb_damage"			"DAMAGE:"

		"DOTA_Tooltip_modifier_ice_orb_freeze"						"Frozen"

		"DOTA_Tooltip_ability_winterblight_buzuki_passive"			"Frozen Ion Vest"
		"DOTA_Tooltip_ability_winterblight_buzuki_passive_Description"	"Bursts of energy are periodically unleashed from Buzuki's Armor."
		"DOTA_Tooltip_ability_winterblight_buzuki_passive_range"	"RANGE:"
		"DOTA_Tooltip_ability_winterblight_buzuki_passive_damage"	"DAMAGE:"

		"DOTA_Tooltip_ability_winterblight_fencer_opportunity"		"Opportunity"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_Description"	"Attacks create an opportunity debuff on the enemy. Any ally who attacks an enemy with the opportunity debuff receive a massive attack power buff."
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_as_bonus"		"ATTACKSPEED BONUS:"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_attack_power_bonus"	"ATTACK POWER BONUS:"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_ms_bonus"		"MOVESPEED BONUS:"

		"DOTA_Tooltip_modifier_opportunity_debuff"					"Opportunity Debuff"
		"DOTA_Tooltip_modifier_opportunity_debuff_Description"		"Enemies who attack this unit gain the Opportunity buff"

		"DOTA_Tooltip_modifier_opportunity_buff"					"Opportunity Buff"
		"DOTA_Tooltip_modifier_opportunity_buff_Description"		"Increased attack speed and attack power."

		"DOTA_Tooltip_ability_winterblight_pixie_mystery_summon"	"Mystery Link"
		"DOTA_Tooltip_ability_winterblight_pixie_mystery_summon_Description"	"Share damage with allies?"

		"DOTA_Tooltip_ability_winterblight_reality_rift"			"Gravity Rift"
		"DOTA_Tooltip_ability_winterblight_reality_rift_Description"	"Bring yourself and a target to random location on a line between the two. Gain bonus attack damage after cast."
		"DOTA_Tooltip_ability_winterblight_reality_rift_cast_range"		"CAST RANGE:"
		"DOTA_Tooltip_ability_winterblight_reality_rift_bonus_damage"	"BONUS DAMAGE:"

		"DOTA_Tooltip_modifier_reality_rift_datadriven"			"Gravity Rift"
		"DOTA_Tooltip_modifier_reality_rift_datadriven_Description"	"Increased attack damage."	

		"DOTA_Tooltip_ability_winterblight_starseeker_passive"	"Coat of Astra"
		"DOTA_Tooltip_ability_winterblight_starseeker_passive_Description"	"Magic damage heals instead of dealing damage."

		"DOTA_Tooltip_ability_winterblight_star_prophecy"		"Star Prophecy"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_Description"	"Applies a debuff to the target unit. When that unit attacks or casts a spell, they gain additional stacks and the duration is extended. When the debuff timer runs out, stars hit the target based on how many stacks they accumulated."
		"DOTA_Tooltip_ability_winterblight_star_prophecy_damage_per_star"	"DAMAGE PER STAR:"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_stun_per_star"		"STUN DURATION PER STAR:"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_duration_ability"	"ABILITY CAST DURATION EXTENSION:"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_duration_attack"	"ATTACK DURATION EXTENSION:"

		"DOTA_Tooltip_modifier_star_prophecy_debuff"		"Star Prophecy"
		"DOTA_Tooltip_modifier_star_prophecy_debuff_Description"	"Incoming stars based on number of stacks"

		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive"	"Breach"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_Description"	"Enemies gain a stack of Breach every 0.5 seconds. Stacks with others carrying this ability. When the stacks reach 50, throw a bolt that stuns and deals damage."
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_radius"		"STACK ADD RADIUS:"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_damage"		"DAMAGE:"

		"DOTA_Tooltip_modifier_spinesplitter_stack"					"Breach Stack"
		"DOTA_Tooltip_modifier_spinesplitter_stack_Description"		"Marked for a bolt at 50 stacks."	

		"DOTA_Tooltip_ability_winterblight_stargazer_passive"		"Galaxy Storm"
		"DOTA_Tooltip_ability_winterblight_stargazer_passive_Description"	"Drops stars and comets on nearby enemies. Stars hit more frequently the farther away you are from the Stargazer."
		"DOTA_Tooltip_ability_winterblight_stargazer_passive_damage"		"STAR DAMAGE:"
		"DOTA_Tooltip_ability_winterblight_stargazer_passive_comet_damage"	"COMET DAMAGE:"

		"DOTA_Tooltip_modifier_stargazer_aura"						"Galaxy Storm"
		"DOTA_Tooltip_modifier_stargazer_aura_Description"			"Targeted by Stars"

		"DOTA_Tooltip_ability_stargazer_glissade"					"Fabric Slip"
		"DOTA_Tooltip_ability_stargazer_glissade_Description"		"Glide towards the target location."

		"DOTA_Tooltip_ability_charging_taskmaster_shield"			"Magnet Shield"
		"DOTA_Tooltip_ability_charging_taskmaster_shield_Description"	"Every 1.2 seconds add a shield to a nearby ally that reduces damage taken by 99.5%."
		"DOTA_Tooltip_ability_charging_taskmaster_shield_stacks"	"STACKS PER CHARGE:"

		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive"	"Raging Blizzard"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_Description"	"Barrages of ice emenate from the Giga Ice Elemental"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_ice_damage"	"ICE DAMAGE:"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_root_duration"	"ROOT DURATION:"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_ms_loss"		"MOVESPEED LOSS:"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_as_loss"		"ATTACKSPEED LOSS:"

		"DOTA_Tooltip_ability_azalea_boss_passive"					"Crystal Ice Queen"
		"DOTA_Tooltip_ability_azalea_boss_passive_Description"		"Attacks deal damage and slow in an AOE."	
		"DOTA_Tooltip_ability_azalea_boss_passive_damage_attack_power" "DAMAGE AS % OF ATTACK POWER"
		"DOTA_Tooltip_ability_azalea_boss_passive_ms_loss"			"MOVESPEED SLOW:"
		"DOTA_Tooltip_ability_azalea_boss_passive_nova_damage"		"FROST NOVA AREA DAMAGE:"

		"DOTA_Tooltip_modifier_azalea_boss_slow"					"Chilled"

		"DOTA_Tooltip_ability_azalea_boss_multi_strike"				"Spiral Whip"
		"DOTA_Tooltip_ability_azalea_boss_multi_strike_Description"	"Jump into the air and throw multiple attacks at all nearby enemies."

		"DOTA_Tooltip_ability_azalea_ice_orb_passive"				"Ice Orbs"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_Description"	"Launches ice orbs around the caster that also fire ice lances in random directions."
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_as_loss"		"ATTACK SPEED REDUCTION:"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_ms_loss"		"MOVESPEED REDUCTION:"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_damage"		"DAMAGE:"

		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive"	"Chilling Heartbeat"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_Description"	"Periodically launch projectiles at nearby enemies that explode in an icy AOE on impact."
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_ms_loss"		"MOVESPEED SLOW:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_as_loss"		"ATTACKSPEED SLOW:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_atk_power_dmg"	"DAMAGE AS % OF ATTACK POWER:"

		"DOTA_Tooltip_modifier_heartfreezer_rooted"					"Rooted"

		"DOTA_Tooltip_modifier_heartfreezer_slow"					"Chilled"

		"DOTA_Tooltip_ability_heartfreezer_blink"					"Blink"
		"DOTA_Tooltip_ability_heartfreezer_blink_Description"		"Teleport to the target location"

		"DOTA_Tooltip_ability_winterblight_mountain_god_passive"	"Mountain Tremors"
		"DOTA_Tooltip_ability_winterblight_mountain_god_passive_Description"	"Jumps and lands on the ground creating a damaging quake."
		"DOTA_Tooltip_ability_winterblight_mountain_god_passive_damage"		"DAMAGE:"

		"DOTA_Tooltip_ability_winterblight_azheran_passive"			"Iceblood Marrow"
		"DOTA_Tooltip_ability_winterblight_azheran_passive_Description"	"Instances of Physical / Magical / Pure damage deal 2 / 5 / 8 final damage. Taking damage adds a stack, when reaching 8 stacks, create a frost blast with the radius equal to the range of the last enemy who dealt damage."
		"DOTA_Tooltip_ability_winterblight_azheran_passive_as_loss"		"ATTACK SPEED REDUCTION:"	
		"DOTA_Tooltip_ability_winterblight_azheran_passive_ms_loss"		"MOVESPEED REDUCTION:"
		"DOTA_Tooltip_ability_winterblight_azheran_passive_damage"		"NOVA DAMAGE:"

		"DOTA_Tooltip_modifier_iceblood_stack"						"Iceblood Stack"

		"DOTA_Tooltip_ability_orthok_split_attack"					"Binding Zeal"
		"DOTA_Tooltip_ability_orthok_split_attack_Description"		"Attacks additionally launch at all enemies within range."

		"DOTA_Tooltip_ability_grand_stalacorr_passive"			"Gravelfoot"
		"DOTA_Tooltip_ability_grand_stalacorr_passive_Description"	"Dispel an enemy debuff every 0.65 seconds. On dispel, gain a buff that reduces movespeed by 100 and damage taken by 99.5%."

		"DOTA_Tooltip_ability_stalacorr_ice_blast"				"Tremors of Old Earth"
		"DOTA_Tooltip_ability_stalacorr_ice_blast_Description"	"Creates massive quakes in all directions."
		"DOTA_Tooltip_ability_stalacorr_ice_blast_damage"		"DAMAGE:"

		"DOTA_Tooltip_modifier_triboss_powered_up_multiple"	"Power Up!"

		"winterblight_snowball_kid"								"Snowball Kid"
		"winterblight_snowcrab_eggs"							"Snowcrab Eggs"
		"winterblight_snow_crab"								"Snowcrab"
		"winterblight_seal"										"Winterblight Seal"
		"winterblight_mountain_ogre"							"Mountain Ogre"
		"winterblight_ancient_monolith"							"Ancient Monolith"
		"winterblight_ice_champion_raxxus"						"Ice Champion Raxxus"
		"aggressive_monster"									"Vicious Canik"
		"mountain_assassin"										"Winter Assassin"
		"ice_beetle"											"Ice Beetle"
		"winterblight_wolf"										"Winterblight Wolf"
		"winterblight_ice_crystal"								"Ice Crystal"
		"winterblight_living_ice"								"Living Ice"
		"winterblight_mountain_dweller"							"Winterblight Mountain Dweller"
		"frostiok"												"Frostiok"
		"winterblight_icewrack_marauder"						"Icewrack Marauder"
		"winterblight_chilling_colossus"						"Chilled Colossus"
		"winterblight_norgok_the_ice_rider"						"Nor'Gok the Ice Rider"
		"winterblight_snow_shaker"								"Snowshaker"
		"winterblight_frigid_growth"							"Frigid Growth"
		"winterblight_ice_summoner"								"Ice Summoner"
		"winterblight_summon_a"									"Igneous Ice"
		"winterblight_dashing_swordsman"						"Dashing Swordsman"
		"winterblight_mistral_assassin"							"Mistral Assassin"
		"winterblight_frost_orchid"								"Frost Orchid"
		"winterblight_winterbear"								"Winterbear"
		"winterblight_void_spawn"								"Void Spawn"
		"winterblight_ice_satyr"								"Ice Satyr"
		"winterblight_icetaur"									"Icetaur"
		"winterblight_frostbite_spiderling"						"Frostbite Spiderling"
		"winterblight_rider_of_azalea"							"Rider of Azalea"
		"winterblight_azure_sorceress"							"Azure Sorceress"
		"winterblight_frost_avatar"								"Frost Avatar"
		"winterblight_frost_elemental"							"Frost Elemental"
		"winterblight_frost_frigid_hulk"						"Frigid Hulk"
		"winterblight_azalean_priest"							"Azalean Priest"
		"winterblight_azalea_frost_titan"						"Frost Titan"
		"winterblight_dimension_walker"							"Dimension Walker"
		"winterblight_puck"										"Winterblight Puck"
		"frost_whelpling"										"Frost Whelpling"
		"winterblight_frost_creep"								"Cold Biter"
		"winterblight_azalea_zealot"							"Azalea Zealot"
		"winterblight_cold_seer"								"Cold Seer"
		"winterblight_softwalker"								"Softwalker"
		"winterblight_azalea_archer"							"Azalea Archer"
		"winterblight_maiden_of_azalea"							"Maiden of Azalea"
		"winterblight_zefnar"									"Zefnar"
		"winterblight_syphist"									"Syphist"
		"winterblight_source_revenant"							"Source Revenant"
		"winterblight_skater_fiend"								"Skater Fiend"
		"winterblight_source_assembly"							"Source Assembly"
		"winterblight_azalea_highguard"							"Azalea Highguard"
		"winterblight_azalea_mindbreaker"						"Azalea Mindbreaker"
		"azalea_ghost_striker"									"Azalea Ghost Striker"
		"winterblight_azalea_secret_keeper"						"Azalea Secret Keeper"
		"azalea_thorcrux"										"Thorcrux"
		"azalea_spineback"										"Spineback"
		"winterblight_crippling_wraith"							"Crippling Wraith"
		"azalea_armored_knight"									"Armored Knight"
		"winterblight_azalea_chrolonus"							"Chrolonus"
		"winterblight_crystal_malefor"							"Crystal Malefor"
		"winterblight_candy_crush_blue_spirit"					"Crystal Blue Spirit"
		"winterblight_candy_crush_green_spirit"					"Crystal Green Spirit"
		"winterblight_candy_crush_red_spirit"					"Crystal Red Spirit"
		"winterblight_candy_crush_yellow_spirit"				"Crystal Yellow Spirit"
		"winterblight_azalea_spectral_witch"					"Spectral Witch"
		"winterblight_puck_guard"								"Hockey Guard"
		"azalea_air_spirit"										"Azalea Air Spirit"
		"winterblight_azalea_frost_cruxal"						"Frost Cruxal"
		"winterblight_demon_spirit"								"Azalea Demon Spirit"
		"azalea_maze_ghost"										"Hungry Ghost"
		"winterblight_bladewielder"								"Bladewielder"
		"azalea_shrine_megmus"									"Shrine Megmus"
		"rupthold_the_glutton"									"Rupthold the Glutton"
		"rupthold_ghost"										"Chilling Ghost"
		"azalea_grave_summoner"									"Azalea Grave Summoner"
		"winterblight_blue_gargoyle"							"Blue Gargoyle"
		"azalea_dragoon"										"Azalea Dragoon"
		"azalea_knife_scraper"									"Knife Scraper"
		"winterblight_buzuki"									"Buzuki"
		"winterblight_azertia"									"Azertia"
		"winterblight_torphet"									"Torphet"
		"azalea_fencer"											"Azalea Fencer"
		"azalea_mystery_pixie"									"Mystery Pixie"
		"pixie_minion"											"Pixaxl"
		"winterblight_azalea_riftbreaker"						"Riftbreaker"
		"azalea_star_seeker"									"Star Seeker"
		"azalea_spine_splitter"									"Spinesplitter"
		"stargazer_orin"										"Stargazer Orin"
		"winter_snow_spirit"									"Winter Snow Spirit"
		"azalea_boss"											"Ice Queen Azalea"
		"giga_ice_revenant"										"Giga Ice Revenant"
		"winterblight_altar_of_ice_apparition"					"Ice Apparition"
		"winterblight_heartfreezer"								"Heartfreezer"
		"winterblight_mountain_lord"							"Mountain Lord"
		"winterblight_azheran_iceblood"							"Az'heran Iceblood"
		"winterblight_orthok_the_damned"						"Orthok the Damned"
		"winterblight_captain_reynar_ghost"						"Captain Reynar"
		"winterblight_grand_stalacorr"							"Great Winter Stalacorr"

		//WINTERBLIGHT PART 2

		"winterblight_scouring_sherpa"							"Scouring Sherpa"
		"winterblight_skating_zealot"							"Skating Zealot"
		"winterblight_relict"									"Relict"
		"ferocious_polar_bear"									"Polar Mauler"
		"ice_haunter"											"Ice Haunter"
		"winterblight_stone_guardian"							"Stone Guardian"
		"winterblight_merkurio"									"Merkurio"
		"winterblight_cavern_centaur"							"Winter Centaur"
		"azalea_mana_null"										"Mana Null"
		"winterblight_blood_wraith"								"Blood Wraith"
		"winterblight_cavern_ultra_ice"							"Gelid Soultaker"
		"drill_digger"											"Drill Digger"
		"winter_cavern_bat"										"Winter Cavern Bat"
		"cavern_pantheon_knight"								"Pantheon Knight"
		"barbed_husker"											"Barbed Husker"
		"winterblight_cloaked_phantasm"							"Cloaked Phantasm"
		"winterblight_boar"										"Northern Boar"
		"winterblight_fungal_shaman"							"Fungal Shaman"
		"winterblight_cavern_beguiler"							"Beguiler"
		"winterblight_corporeal_revenant"						"Corporeal Revenant"
		"crystarium_heart_slayer"								"Heart Slayer"
		"fungal_minion"											"Fungal Minion"
		"winterblight_skull_hunter"								"Skull Hunter"
		"reclusive_mundunugu"									"Reclusive Mundunugu"
		"winterblight_crystalist"								"Crystalist"
		"winterblight_zect_rider"								"Zect Rider"
		"winterblight_mushroom_pixie"							"Mushroom Pixie"
		"crystarium_brood_spider"								"Crystarium Brood Spider"
		"winterblight_icixel"									"Icixel"
		"winterblight_toki_toki"								"Toki Toki"
		"winterblight_demented_mushroom"						"Demented Mushroom"
		"winterblight_ghost_of_aurora"							"Ghost of Aurora"
		"winterblight_cavern_bovaur"							"Cavern Bovaur"
		"winterblight_icestealer"								"Icestealer"
		"winterblight_cavern_overwhelmer"						"Zero Behemoth"
		"winterblight_servant_of_saturn"						"Servant of Saturn"
		"winterblight_zodiac_oracle"							"Zodiac Oracle"
		"winterblight_cavern_thunderhide"						"Thunderhide"
		"winterblight_aurora_boss_1"								"Osyrus"
		"winterblight_aurora_boss_2"								"Gunnolf"
		"winterblight_aurora_boss_3"								"Sweebern"
		"winterblight_space_shark"								"Space Shark"
		"winterblight_star_eater"								"Star Eater"
		"winter_bone_blister"									"Bone Blister"
		"winterblight_galaxy_knight"							"Galaxy Knight"
		"winterblight_frozen_krow"								"Frozen Krow"
		"winterblight_mind_chatterer"							"Mind Chatterer"
		"winterblight_wintertide_monk"							"Wintertide Monk"
		"winterblight_winters_chieftain"						"Winters Chieftain"

		"DOTA_Tooltip_ability_winterblight_gang_up"				"Gang Up"
		"DOTA_Tooltip_ability_winterblight_gang_up_Description"	"Gain a Gang Up stack for each nearby ally that also has the Gang Up ability."
		"DOTA_Tooltip_ability_winterblight_gang_up_armor"		"ARMOR PER STACK:"
		"DOTA_Tooltip_ability_winterblight_gang_up_attack_damage_percent"	"% ATTACK DAMAGE BONUS PER STACK:"
		"DOTA_Tooltip_ability_winterblight_gang_up_attack_speed"			"ATTACK SPEED PER STACK:"
		"DOTA_Tooltip_ability_winterblight_gang_up_movespeed"				"MOVESPEED PER STACK:"

		"DOTA_Tooltip_modifier_gangup_stack"					"Gang Up"
		"DOTA_Tooltip_modifier_gangup_stack_Description"		"Gaining power for each nearby ally with Gang Up"

		"DOTA_Tooltip_ability_winterblight_damage_sap"			"Damage Sap"
		"DOTA_Tooltip_ability_winterblight_damage_sap_Description"	"Attacking an enemy reduces their base attack damage, and increases the attacker's damage for 8 seconds."
		"DOTA_Tooltip_ability_winterblight_damage_sap_damage_sap"	"DAMAGE SAP:"

		"DOTA_Tooltip_modifier_damage_sap_stack_owner"			"Damage Sap"
		"DOTA_Tooltip_modifier_damage_sap_stack_owner_Description"	"Stolen attack damage"

		"DOTA_Tooltip_modifier_damage_sap_stack_enemy"			"Damage Sap"
		"DOTA_Tooltip_modifier_damage_sap_stack_enemy_Description"	"Reduced attack damage"

		"DOTA_Tooltip_ability_relict_monkey_leap"				"Swindle Jump"
		"DOTA_Tooltip_ability_relict_monkey_leap_Description"	"Jumps toward the target location"
		"DOTA_Tooltip_ability_relict_monkey_leap_cast_range"	"CAST RANGE:"

		"DOTA_Tooltip_ability_winterblight_ice_vortex_aoe"		"Spreading Cold"
		"DOTA_Tooltip_ability_winterblight_ice_vortex_aoe_Description" "Creates several areas of frigid ice that greatly slow enemies who touch them."
