		//Abilities
		
		"Tooltip_sorceress_q"											"Blizzard and Ice Lance"
		"item_rpc_sorceress_glyph_7_2_description" 				"Increases damage of @Ability2 by @glyph_property1%, and costs an additional @glyph_property2% of max mana."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_book"	"Sorceress Glyph Book"
		"DOTA_Tooltip_ability_glyph_book_desc"					"Permanently teaches you how to craft @consumableProperty3 at the Glyph Enchanter."
		
		
		//Weapons
		"sorceress_weapon_01"			"Icecap Staff"
		"sorceress_weapon_02"			"Iceblade Staff"
		"sorceress_weapon_03"			"Mystic Lotus Staff"
		"sorceress_weapon_11"			"Flamethrower Staff"
		"sorceress_weapon_12"			"Infernal Staff"
		"sorceress_weapon_13"			"Glacial Snowstaff"
		"sorceress_weapon_14"			"Arcane Scepter"
		"sorceress_weapon_21"			"Wild Inferno Staff"
		"sorceress_weapon_22"			"Spellbinder's Sapphire Staff"
		"sorceress_weapon_23"			"Ice Staff of the Northern Wind"
		"sorceress_weapon_24"			"Teacher's Soulbind Scepter"
		"sorceress_weapon_25"			"Hightide Staff of the Immortal"
		"DOTA_Tooltip_ability_item_rpc_basic_staff"   "Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_00"	  "Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_01"   "Icecap Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_02"   "Iceblade Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_03"   "Mystic Lotus Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_11"   "Flamethrower Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_12"   "Infernal Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_13"   "Glacial Snowstaff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_14"   "Arcane Scepter"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_21"   "Wild Inferno Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_22"   "Spellbinder's Sapphire Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_23"   "Ice Staff of the Northern Wind"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_24"   "Teacher's Soulbind Scepter"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_25"   "Hightide Staff of the Immortal"
		
		"DOTA_Tooltip_ability_item_rpc_sorceress_immortal_weapon_1"		"Staff of Yulsaria"
		
		"DOTA_Tooltip_ability_item_rpc_sorceress_immortal_weapon_2"            "Ice Queen Staff"
        "item_property_sorceress_immortal_weapon2"                             "Ice Avatar"
        "property_sorceress_immortal_weapon2_description"                      "Casting @Ability1 summons an avatar of Sorceress with a copy of @Ability1 and @Ability3. Summoning the avatar costs half of your max mana."

        "DOTA_Tooltip_ability_item_rpc_sorceress_immortal_weapon_3"            "Fire Queen Staff"
        "item_property_sorceress_immortal_weapon3"                             "Fire Avatar"
        "property_sorceress_immortal_weapon3_description"                      "Casting @Ability4 summons an avatar of Sorceress with a copy of @Ability4 and @Ability3. Summoning the avatar costs half of your max mana."
		
