		//Abilities
		
		"Tooltip_sorceress_q"											"Blizzard и Ice Lance"
		"DOTA_Tooltip_ability_arcane_torrent_mana_drain_per_second" "ЗАТРАТЫ МАНЫ В СЕКУНДУ:"
		"DOTA_Tooltip_ability_arcane_torrent_damage"			"БАЗОВЫЙ УРОН(ARCANE EXPLOSION), % ОТ ТЕКУЩЕЙ МАНЫ:"

		"DOTA_Tooltip_modifier_arcane_torrent_enable"			"Arcane Torrent"

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_6_1"		"(T6) Глиф белых бурь"
		"item_rpc_sorceress_glyph_6_1_description" 				"На прочтение (Q) @Ability1 не тратится время."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_7_1"		"(T7) Глиф огненного хаоса"
		"item_rpc_sorceress_glyph_7_1_description" 				"Усиливает мощь умения (R) @Ability4 в @glyph_property1 раз(а)."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_5_a"		"(Immortal) Глиф заморозки"
		"item_rpc_sorceress_glyph_5_a_description" 				"Множитель урона, наносимого [Q1] по замороженным врагам увеличен до @glyph_property1x."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_1_2"		"(T1-2)Глиф кристаллизации"
		"item_rpc_sorceress_glyph_1_2_description" 				"Элементаль воды с @glyph_property1% шансом заморозит атакуемую цель на @glyph_property2 сек."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_2_2"		"(T2-2)Глиф острого льда"
		"item_rpc_sorceress_glyph_2_2_description" 				"Шанс взрыва ледяного копья увеличен до @glyph_property1%, базовый урон увеличен на @glyph_property2%."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_3_2"		"(T3-2)Глиф просвещенной магии"
		"item_rpc_sorceress_glyph_3_2_description" 				"Бонус регенерации маны и интеллекта от руны [W3] увеличен в @glyph_property1 раз(а)."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_4_2"		"(T4-2)Глиф тайной вибрации"
		"item_rpc_sorceress_glyph_4_2_description" 				"(E) @Ability3 тратит только @glyph_property1 зарядов Flicker. Сброс перезарядки ультимейта происходит гарантированно."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_5_2"		"(T5-2)Глиф смягчения"
		"item_rpc_sorceress_glyph_5_2_description" 				"Sorceress добавляет на @glyph_property1% меньше времени к иммунитету врагов к оглушению."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_6_2"		"(T6-2)Глиф выжигания"
		"item_rpc_sorceress_glyph_6_2_description" 				"Снижение сопротивления к стихии Огня от руны [R3] сильнее на @glyph_property1%."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_7_2"		"(T7-2)Глиф тайного прочтения"
		"item_rpc_sorceress_glyph_7_2_description" 				"Увеличивает урон от (W) @Ability2 на @glyph_property1%, а к его текущей стоимости добавляется @glyph_property2% от макс. маны."

		"DOTA_Tooltip_ability_item_rpc_sorceress_glyph_book"	"Книга Глифов Sorceress"
		"DOTA_Tooltip_ability_glyph_book_desc"					"Навсегда позволяет изучить рецепт создания @consumableProperty3 у Зачарователя Глифов."
		
		
		//Weapons
		"sorceress_weapon_01"			"Icecap Staff"
		"sorceress_weapon_02"			"Iceblade Staff"
		"sorceress_weapon_03"			"Mystic Lotus Staff"
		"sorceress_weapon_11"			"Flamethrower Staff"
		"sorceress_weapon_12"			"Infernal Staff"
		"sorceress_weapon_13"			"Glacial Snowstaff"
		"sorceress_weapon_14"			"Arcane Scepter"
		"sorceress_weapon_21"			"Wild Inferno Staff"
		"sorceress_weapon_22"			"Spellbinder's Sapphire Staff"
		"sorceress_weapon_23"			"Ice Staff of the Northern Wind"
		"sorceress_weapon_24"			"Teacher's Soulbind Scepter"
		"sorceress_weapon_25"			"Hightide Staff of the Immortal"
		"DOTA_Tooltip_ability_item_rpc_basic_staff"   "Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_00"	  "Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_01"   "Icecap Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_02"   "Iceblade Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_03"   "Mystic Lotus Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_11"   "Flamethrower Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_12"   "Infernal Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_13"   "Glacial Snowstaff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_14"   "Arcane Scepter"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_21"   "Wild Inferno Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_22"   "Spellbinder's Sapphire Staff"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_23"   "Ice Staff of the Northern Wind"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_24"   "Teacher's Soulbind Scepter"
		"DOTA_Tooltip_ability_item_rpc_sorceress_weapon_25"   "Hightide Staff of the Immortal"
		
		"DOTA_Tooltip_ability_item_rpc_sorceress_immortal_weapon_1"		"Staff of Yulsaria"
		
		"DOTA_Tooltip_ability_item_rpc_sorceress_immortal_weapon_2"            "Ice Queen Staff"
        "item_property_sorceress_immortal_weapon2"                             "Ice Avatar"
        "property_sorceress_immortal_weapon2_description"                      "С прочтением (Q) @Ability1 призывается копия Sorceress с текущими значениями (Q) @Ability1 и (E) @Ability3. На призыв копии потратится 50% от макс. маны."

        "DOTA_Tooltip_ability_item_rpc_sorceress_immortal_weapon_3"            "Fire Queen Staff"
        "item_property_sorceress_immortal_weapon3"                             "Fire Avatar"
        "property_sorceress_immortal_weapon3_description"                      "С прочтением (R) @Ability4 призывается копия Sorceress с текущими значениями (R) @Ability4 и (E) @Ability3. На призыв копии потратится 50% от макс. маны."
		
