		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
		"item_rpc_solunia_glyph_2_1_description" 				"Recollecting a boomerang that has damaged at least 1 enemy removes @glyph_property1 seconds from the cooldown of Napalm."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_3_1"		"Glyph of Hypernova"
		"item_rpc_solunia_glyph_3_1_description" 				"Increases the stun duration of @Ability1 projectiles by @glyph_property1 second."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_4_1"		"Glyph of Umbra"
		"item_rpc_solunia_glyph_4_1_description" 				"Increases the floating duration between Warp Flares by @glyph_property1 seconds."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_1"		"Glyph of Neutrino"
		"item_rpc_solunia_glyph_5_1_description" 				"After casting @Ability4 gain a shield which blocks <% SOLUNIA_GLYPH_5_1_STACKS_BASE %> instances of damage."
		
		"DOTA_Tooltip_modifier_solunia_glyph_5_1_shield"		"Neutrino"
		"DOTA_Tooltip_modifier_solunia_glyph_5_1_shield_Description"		"Absorbs 1 instance of damage per stack."
		
		"DOTA_Tooltip_modifier_solunia_glyph_5_1_shield_arcana"		"Neutrino"
		"DOTA_Tooltip_modifier_solunia_glyph_5_1_shield_arcana_Description"		"Absorbs 1 instance of damage per stack."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_6_1"		"Glyph of Singularity"
		"item_rpc_solunia_glyph_6_1_description" 				"After using Supernova or Eclipse, gain a buff that allows a cast of @Ability1 with no cooldown or charge consumption."

		"DOTA_Tooltip_modifier_solunia_glyph_6_1_ready"			"Singularity"
		"DOTA_Tooltip_modifier_solunia_glyph_6_1_ready_Description"	"Casting Napalm will not trigger its cooldown."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_7_1"		"Glyph of Light Years"
		"item_rpc_solunia_glyph_7_1_description" 				"Increases the max number of successive Warp Flares by @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_a"		"Glyph of Protostar"
		"item_rpc_solunia_glyph_5_a_description" 				"Taking lethal damage first launches Solunia into the air, then refreshes her Supernova or Eclipse and casts it. @glyph_property1 cooldown."

		"DOTA_Tooltip_modifier_solunia_glyph_5_a_cooldown"		"Protostar Cooldown"
		
		//Weapons
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_00"		"Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_01"		"Crescent Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_02"		"Moon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_03"		"Sun Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_11"		"Mercury Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_12"		"Jupiter Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_13"		"Saturn Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_14"		"Neptune Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_21"		"Periheleon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_22"		"Event Horizon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_23"		"Ellipsis Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_24"		"Extragalactic Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_25"		"Earthbound Meteor Razor"
		
		"DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_1"		"Shooting Star"
		"item_property_solunia_immortal_weapon"							"Nova Rift"
		"property_solunia_immortal_weapon_description"					"While floating during Warp Flares, gain a shield that has magic and attack immunity."

		"DOTA_Tooltip_ability_modifier_solunia_warp_flare_immortal_weapon_effect"	"Nova Rift"
		"DOTA_Tooltip_ability_modifier_solunia_warp_flare_immortal_weapon_effect_Description"	"Immunity to attacks and spells"
		
		"DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_2"            "Alien Husk of Synesthesia"
        "item_property_solunia_immortal_weapon2"                             "Cryoshock"
        "property_solunia_immortal_weapon2_description"                      "When @Ability2 crits, enemies in a 200 radius around the boomerang are frozen for @special_property1 seconds."

        "DOTA_Tooltip_modifier_solunia_cryoshock"							"Cryoshock"
        "DOTA_Tooltip_modifier_solunia_cryoshock_Description"				"Frozen"

        "DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_3"            "Galactic Blades of Orbit"
        "item_property_solunia_immortal_weapon3"                             "Sun and Moon"
        "property_solunia_immortal_weapon3_description"                      "Completing the final phase of @Ability3 immediately triggers @Ability4 if it is not on cooldown."
