		"djanghor_q"	"Marks"
		"item_rpc_djanghor_glyph_5_1_description" 				"Reduces the cooldown of @Ability1 by @glyph_property1 seconds."

		"DOTA_Tooltip_ability_item_rpc_djanghor_glyph_6_1"		"Glyph of Forest Blessing"
		"item_rpc_djanghor_glyph_6_1_description" 				"Every 2 seconds, Djanghor cleanses 1 enemy debuff from himself. Any of Djanghor's animal form spells that make him charge to a location will apply [E3] when cast."

		"DOTA_Tooltip_ability_item_rpc_djanghor_glyph_7_1"		"Glyph of Mauling"
		"item_rpc_djanghor_glyph_7_1_description" 				"Attacks during Bear form have a @glyph_property1% chance to bash the target, dealing @glyph_property2% increased damage and stunning for @glyph_property3 seconds. Additionally, War Stomp now reduces the Armor of affected targets by the same value as Wolf form's Rend for 20 seconds."

		"DOTA_Tooltip_modifier_glyph_7_bash"					"Maul"
		"DOTA_Tooltip_modifier_glyph_7_bash_Description"		"Chance on attack to stun and deal additional damage."

		"DOTA_Tooltip_ability_item_rpc_djanghor_glyph_5_a"		"Glyph of Natural Disaster"
		"item_rpc_djanghor_glyph_5_a_description" 				"All damage with element <font color=\"#DDDDDD\">Normal</font> has its other element converted to <font color=\"#69BC71\">Nature</font>."
		
	
		//Weapons
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_00"		"Staff"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_01"		"Iron Staff"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_02"		"Forest Staff"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_03"		"Primitive Staff"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_11"		"Animal Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_12"		"Landscaper Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_13"		"Shapeshifter Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_14"		"Natural Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_21"		"Versatile Nature Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_22"		"Mountain Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_23"		"Gaia Staff"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_24"		"Pristine Summer Daibo"
		"DOTA_Tooltip_ability_item_rpc_djanghor_weapon_25"		"Uprooted Earth Daibo"
		
		"DOTA_Tooltip_ability_item_rpc_djanghor_immortal_weapon_1"            "Sabretooth Daibo"
        "item_property_djanghor_immortal_weapon"                             "Alpha Wolf"
        "property_djanghor_immortal_weapon_description"                      "Additional @special_property1 attack power for each point of Agility while in wolf form. @Ability2 has primary element nature and hits enemies in a line while in Wolf Form."

        "DOTA_Tooltip_ability_item_rpc_djanghor_immortal_weapon_2"            "Grizzly Ironclaw Daibo"
        "item_property_djanghor_immortal_weapon2"                             "Ironfur Bear"
        "property_djanghor_immortal_weapon2_description"                      "Damage instances that deal less than 100x max health are capped at @special_property1% of max health while in Bear Form."

        "DOTA_Tooltip_ability_item_rpc_djanghor_immortal_weapon_3"            "Avian Staff of Enlightenment"
        "item_property_djanghor_immortal_weapon3"                             "Stormcrow"
        "property_djanghor_immortal_weapon3_description"                      "Mana drain is removed while in Hawk form, and tornado's slow effect is doubled."
