		
		
				//ARENA

		"roshpit_arena"												"Арена Roshpit"
		"DOTA_Tooltip_modifier_challenger_4_shield_effect"				"Shine of Oplexus"
	
		"DOTA_Tooltip_ability_arena_challenger_1_illuminate"				"Holy Illumination"
		"DOTA_Tooltip_ability_arena_challenger_1_illuminate_Description"	"Наносит чистый урон врагам перед Королем. Замедляет передвижение на 30."
	
		"DOTA_Tooltip_modifier_challenger_1_slow"				"Slow"
		"DOTA_Tooltip_modifier_challenger_1_slow_Description"	"Скорость передвижения снижена на 30."
	
		"DOTA_Tooltip_ability_arena_challenger_1_passive"					"Eternal light"
		"DOTA_Tooltip_ability_arena_challenger_1_passive_Description"		"Скорость передвижения увеличена на 50%, скорость атаки на 110 на 5 секунд."
		"DOTA_Tooltip_ability_arena_challenger_1_passive_2"					"Righteous Anger"				
		"DOTA_Tooltip_ability_arena_challenger_1_passive_2_Description"		"Удваивает урон и увеличивает передвижение на 70 единиц."
		"DOTA_Tooltip_modifier_arena_challenger_1_passive_2"				"Урон и скорость бега увеличены."

		//Pit of Trials

		"tooltip_pit_of_trials"												"Яма Испытаний"

		"arena_trial_of_conquest"									"Испытание Победы"
		"arena_trial_of_lies"										"Испытание Лжи"
		"arena_trial_of_descent"									"Испытание Поколений"

		"tooltip_pit_highest_level"										"Пройдено"
		"tooltip_no_lock_out"											"Подземелье открыто"
		"tooltip_lock_out"												"Подземелье уже было открыто сегодня.<br>Проверьте завтра"

		"tooltip_select_pit_level"										"Выберите сложность"
		"tooltip_select_pit_level_title"								"Выбор сложности"	
		"tooltip_dungeon_lockout"										"Подземелье закрыто"
		"tooltip_open_pit"												"Открыть Яму"
		"tooltip_pit_open"												"Яма открыта"

		"tooltip_pit_enemy_damage"										"Урон врагов"
		"tooltip_pit_enemy_resistance"									"Сопротивление врагов"
		"tooltip_pit_enemy_paragon"										"Частота Парагонов"

		"DOTA_Tooltip_ability_arena_master_duelist_passive"					"Battle Haste"
		"DOTA_Tooltip_ability_arena_master_duelist_passive_Description"		"С 30% шансом при атаке, существо получит усиление, дающее максимальную скорость атаки на 1 секунду."

		"DOTA_Tooltip_ability_arena_champion_gladiator_passive"				"Sturdy Armor"
		"DOTA_Tooltip_ability_arena_champion_gladiator_passive_Description"	"С каждым полученным уроном существо увеличивает свою броню на 50."

		"DOTA_Tooltip_ability_arena_gladiator_strike_array"					"Light Strike Array"
		"DOTA_Tooltip_ability_arena_gladiator_strike_array_Description"		"Создаёт в указанной точке столб пламени, который оглушает задетых врагов."

		"DOTA_Tooltip_modifier_champion_gladiator_passive_stacking"			"Sturdy Armor"
		"DOTA_Tooltip_modifier_champion_gladiator_passive_stacking_Description"	"50 брони за заряд"	

		"DOTA_Tooltip_ability_arena_soul_revenant_passive"					"Soul Sparks"
		"DOTA_Tooltip_ability_arena_soul_revenant_passive_Description"		"Наносит урон всем ближайшим противникам в размере 1% их макс. здоровья каждые 0.2 секунды."

		"DOTA_Tooltip_ability_arena_shadow_sniper_passive"					"Overload"
		"DOTA_Tooltip_ability_arena_shadow_sniper_passive_Description"		"Атаки пассивно снижают скорость передвижения и урон цели."
		"DOTA_Tooltip_ability_arena_shadow_sniper_passive_move_slow"		"ЗАМЕДЛЕНИЕ:"
		"DOTA_Tooltip_ability_arena_shadow_sniper_passive_attack_loss"		"СНИЖЕНИЕ УРОНА %:"

		"arena_pit_conquest_mire_keeper"									"Mire Keeper"
		
		"arena_conquest_ruins_guardian"									"Страж руин"

		"DOTA_Tooltip_modifier_arena_shadow_sniper_slow"					"Overload"
		"DOTA_Tooltip_modifier_arena_shadow_sniper_slow_Description"		"Скорость передвижения и урон снижены."

		"DOTA_Tooltip_ability_arena_mire_keeper_passive"					"Inner Surge"
		"DOTA_Tooltip_ability_arena_mire_keeper_passive_Description"		"При получении урона, существо увеличивает свой урон."
		"DOTA_Tooltip_ability_arena_mire_keeper_passive_damage_per_instance"	"УРОН ЗА КАЖДЫЙ ЗАРЯД %"

		"DOTA_Tooltip_modifier_mire_keeper_passive_effect"					"Inner Surge"
		"DOTA_Tooltip_modifier_mire_keeper_passive_effect_Description"		"Увеличивает урон за кжадый заряд"

		"DOTA_Tooltip_ability_arena_mountain_crush"							"Mountain Crush"
		"DOTA_Tooltip_ability_arena_mountain_crush_Description"				"Позволяет прыгнуть к цели, создавая мощное землетрясение по приземлении."	

		"DOTA_Tooltip_ability_arena_cragnataur_shockwave"					"Shockwave"
		"DOTA_Tooltip_ability_arena_cragnataur_shockwave_Description"		"Выпускает шоковую волну, наносящую большой урон."

		"arena_pit_conquest_cragnataur"									"Крагнатавр"

		"arena_pit_conquest_priest_of_karzhun"							"Жрец культа Кар'Зун"

		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield"			"Shield of Kar'zhun"
		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield_Description"	"Наделяет цель магическим щитом, который поглощает магический урон и наносит урон атакующим."
		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield_damage_return"	"ВОЗВРАЩАЕТ УРОНА, % ОТ МАКС.ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield_magic_resist"	"СОПРОТИВЛЕНИЕ МАГИИ:"

		"arena_pit_conquest_helob"												"Хелоб"

		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite"				"Venomous Bite"
		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite_Description"	"Атаки отравляют цель, замедляя скорость атаки, дополнительно некоторое время наносит урон."
		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite_moveslow"			"ЗАМЕДЛЕНИЕ:"
		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite_damage_per_tick"	"УРОН ЗА КАЖДЫЕ 0.2 СЕКУНДЫ:"
		

		"DOTA_Tooltip_modifier_helob_venomous_bite_effect"						"Venomous Bite"
		"DOTA_Tooltip_modifier_helob_venomous_bite_effect_Description"			"Скорость передвижения снижена, цель получает урон ядом."

		"arena_pit_conquest_shrine_of_karzhun"							"Shrine of Kar'zhun"
		"arena_pit_conquest_shrine_of_karzhun_Description"				"Пустая чаша готова наполниться пожертвованиями во имя Кар'Зуна"

		"arena_pit_shrine_of_karzhun_option_1"							"Отдать всё золото"
		"arena_pit_shrine_of_karzhun_option_2"							"Уйти"	

		"DOTA_Tooltip_modifier_kharzun_buff"							"Сила Кар'Зуна"

		"DOTA_Tooltip_ability_arena_conquest_karzhun_gift_passive"		"Force Of Kar'zhun"
		"DOTA_Tooltip_ability_arena_conquest_karzhun_gift_passive_Description"	"Усиливает призрака Кар'Зуна и ослабляет ближайших врагов."

		"DOTA_Tooltip_modifier_karzhun_aura_stackable"					"Force Of Kar'zhun"

		"DOTA_Tooltip_ability_arena_temple_explorer_passive"			"Magic Shield"
		"DOTA_Tooltip_ability_arena_temple_explorer_passive_Description"	"Дарует существу пассивное сопротивление магии"
		"DOTA_Tooltip_ability_arena_temple_explorer_passive_magic_resist"	"СОПРОТИВЛЕНИЕ МАГИИ:"

		"DOTA_Tooltip_ability_arena_conquest_feedback"				"Feedback"
		"DOTA_Tooltip_ability_arena_conquest_feedback_Description"	"Когда ближайшие враги тратят ману, в них ударяет статический разряд, наносящий ЧИСТЫЙ урон в зависимости от потраченной маны. Дополнительно наделяет существо сопротивлением магии."

		"DOTA_Tooltip_ability_arena_conquest_feedback_damage_per_mana"	   "УРОН ЗА КАЖДУЮ ЕД. МАНЫ:"
		"DOTA_Tooltip_ability_arena_conquest_feedback_magic_resist" 		"СОПРОТИВЛЕНИЕ МАГИИ:"

		"DOTA_Tooltip_modifier_fairy_dragon_feedback"						"Feedback"
		"DOTA_Tooltip_modifier_fairy_dragon_feedback_Description"			"Каждый раз, затрачивая ману, герою будет нанесён чистый урон в зависимости от затраченной маны."

		"arena_conquest_skeletal_mage"										"Остатки скелета"
		"arena_conquest_temple_hunter"										"Убийца Испытаний"
		"arena_conquest_temple_repeller"									"Хранитель Тайн"
		"arena_conquest_temple_witch_doctor"								"Безликий Арахнид"

		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare"				"Sapphire Flare"
		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare_Description"	"Всполох синего пламени оглушает ближайших врагов и наносит им урон."
		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare_damage"		"УРОН:"
		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_ability_conquest_bovel_ai"							"Lord of Conquest"
		"DOTA_Tooltip_ability_conquest_bovel_ai_Description"				"Любой урон не может нанести больше 1% макс. здоровья цели."

		"DOTA_Tooltip_ability_arena_challenger_16_warcry"					"Warcry"
		"DOTA_Tooltip_ability_arena_challenger_16_warcry_Description"		"Увеличивает скорость атаки и передвижения на 8 секунд"	
		"DOTA_Tooltip_ability_arena_challenger_16_warcry_movespeed"			"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_arena_challenger_16_warcry_attackspeed"		"ДОП. СКОРОСТЬ АТАКИ:"

		"DOTA_Tooltip_ability_arena_conquest_frost_bolt"					"Frost Bolt"
		"DOTA_Tooltip_ability_arena_conquest_frost_bolt_Description"		"Выпускает в сторону цели поток ледяных игл, замедляющих цели."
		"DOTA_Tooltip_ability_arena_conquest_frost_bolt_slow_duration"		"ДЛИТЕЛЬНОСТЬ ОБМОРОЖЕНИЯ:"	

		"DOTA_Tooltip_modifier_conquest_frost_bolt"						"Frost Bolt"
		"DOTA_Tooltip_modifier_conquest_frost_bolt_Description"			"Скорость атаки и передвижения снижены"

		"pit_conquest_boss"												"Чёрный маг испытаний"

		"DOTA_Tooltip_ability_conquest_black_mage_luminescence"			"Luminescence"
		"DOTA_Tooltip_ability_conquest_black_mage_luminescence_Description"	"Черный маг произносит заклинание, накапливающее свою силу, после чего выпускает волну темной магии в сторону цели."	

		"DOTA_Tooltip_ability_conquest_boss_ai"							"Shadowcaster"
		"DOTA_Tooltip_ability_conquest_boss_ai_Description"				"Невосприимчив к любому физическому и магическому урону."

		"DOTA_Tooltip_modifier_conquest_boss_slow_effect"	"Black Pool"
		"DOTA_Tooltip_modifier_conquest_boss_slow_effect_Description"	"Замедлен"

		"DOTA_Tooltip_ability_conquest_boss_burn_ability"			"Soul Decay"
		"DOTA_Tooltip_ability_conquest_boss_burn_ability_Description"	"Сжигает врагов, ежесекундно нанося 2% макс. здоровья целей чистым уроном."
		
		"DOTA_Tooltip_modifier_conquest_boss_burn_ability"			"Soul Decay"

		"DOTA_Tooltip_modifier_conquest_boss_burn_ability_effect"	"Soul Decay"
		"DOTA_Tooltip_modifier_conquest_boss_burn_ability_effect_Description"	"Герой получает чистый урон в размере 2%% своего макс. здоровья."



		"DOTA_Tooltip_ability_item_rpc_truth_dust"					"Пыль правды"
		"truth_dust_description"									"На 30 секунд позволяет увидеть скрытые объекты или врагов в радиусе 500."
		"DOTA_Tooltip_ability_arena_lies_beetle_passive"				"Plasma Shell"
		"DOTA_Tooltip_ability_arena_lies_beetle_passive_damage"			"УРОН"
		"DOTA_Tooltip_ability_arena_lies_beetle_passive_Description"	"Наносит урон ближайшим врагам, одновременно замедляя их."

		"DOTA_Tooltip_modifier_lies_beetle_effect"						"Plasma Shell"
		"DOTA_Tooltip_modifier_lies_beetle_effect_Description"			"Снижение скорости передвижения"

		"DOTA_Tooltip_ability_grave_watcher_ai"							"Soul Siphon"
		"DOTA_Tooltip_ability_grave_watcher_ai_Description"				"Крадёт душу ближайших врагов, снижая их регенерацию здоровья на 3%, а скорость передвижения на 40%"	

		"DOTA_Tooltip_ability_lies_lich_ai"								"Soul Siphon"
		"DOTA_Tooltip_ability_lies_lich_ai_Description"					"Крадёт душу ближайших врагов, снижая их регенерацию здоровья на 3%, а скорость передвижения на 20%"	
	
		"DOTA_Tooltip_ability_doombringer_searing_chains"				"Searing Chains"
		"DOTA_Tooltip_ability_doombringer_searing_chains_Description"	"Обездвиживает ближайших врагов и наносит им урон."


		"arena_lies_supreme_ogre"										"Высший Огр"

		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive"			"Mystery Infusion"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_Description"	"Наделяет существо повышенной силой."
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_movespeed"	"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_attack_speed"	"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_damage_percent"	"ДОП. УРОН %:"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_armor_bonus"	"ДОП. БРОНЯ"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_health_regen_percent"	"ДОП. РЕГЕН. ЗДОРОВЬЯ %:"

		"DOTA_Tooltip_ability_arena_lies_mana_break"					"Mana Break"
		"DOTA_Tooltip_ability_arena_lies_mana_break_Description"		"Сжигает ману цели и наносит дополнительный урон в зависимости от выжженой маны."
		"DOTA_Tooltip_ability_arena_lies_mana_break_mana_per_hit"		"СЖИГАЕТ МАНЫ:"

		"DOTA_Tooltip_ability_arena_lies_arbiter_passive"				"Deceptive Light"
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_Description"	"Увеличивает броню и урон существа."	
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_damage_percent"	"ДОП. УРОН, %:"
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_armor_bonus"		"ДРП. БРОНЯ:"

		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive"			"Golden Wings"
		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive_Description"	"Увеличивает сопротивление магии. Когда здоровье существа опустится ниже 35%, оно будет наделено иммунитетом к магии."
		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive_magic_resist"	"ДОП. СОПРОТИВЛЕНИЕ МАГИИ %:"
		"DOTA_Tooltip_modifier_arena_lies_treasure_bird_passive_magic_resist"	"Иммунитет к магии"

		"lies_treasure_hoarder"											"Золотой Ястреб"

		"arena_lies_shadow_beast"										"Зверь Теней"

		"lies_trickster_mage"											"Чародей Трикстер"
		"DOTA_Tooltip_ability_arena_lies_trickster_ability"				"Whirling Dodge"
		"DOTA_Tooltip_ability_arena_lies_trickster_ability_Description"	"Позволяет быстро удаляться от ближайших врагов."	

		"arena_lies_supreme_ogre_true"									"Настоящий Высший Огр"

		"DOTA_Tooltip_ability_arena_lies_black_hole"					"Black Hole"
		"DOTA_Tooltip_ability_arena_lies_black_hole_Description"		"Поглощает свет и материю в небольшой области на 4 секунды."

		"arena_lies_castle_enigma"										"Пожиратель Света"

		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability"		"Magic Ward"
		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability_Description"	"Наделяет существо иммунитетом к магии. Существо потеряет иммунитет, если будет ударено несколько раз."	
		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability_stacks"		"ЗАРЯДОВ:"

		"DOTA_Tooltip_modifier_magic_immune_breakable_ability"			"Magic Ward"
		"DOTA_Tooltip_modifier_magic_immune_breakable_ability_Description"	"Невосприимчив к магии."

		"DOTA_Tooltip_ability_arena_lies_plasma_field"					"Plasma Field"
		"DOTA_Tooltip_ability_arena_lies_plasma_field_Description"		"Выпускает кольцо плазмы, поражающее врагов. Чем дальше кольцо распространилось от существа, тем больше оно нанесёт урона."
		"DOTA_Tooltip_ability_arena_lies_plasma_field_damage_max"		"МАКС. УРОН:"

		"arena_lies_test_dummy"											"Experiment Dummy"

		"arena_lies_boss"												"Гигантский охотник"

		"DOTA_Tooltip_ability_arena_lies_boss_ai"						"Evasion"
		"DOTA_Tooltip_ability_arena_lies_boss_ai_Description"			"Позволяет гиганту уклоняться от физических атак"
		"DOTA_Tooltip_ability_arena_lies_boss_ai_evasion"				"ШАНС УКЛОНЕНИЯ %:"		

		"DOTA_Tooltip_ability_arena_lies_boss_magic_immune_ability"		"Magic Ward"
		"DOTA_Tooltip_ability_arena_lies_boss_magic_immune_ability_Description"	"Наделяет себя иммунитетом к магии, который может быть разрушен при получении урона от обычных атак."	

		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability"			"Deception"
		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability_Description"	"Создаёт свою иллюзорную копию, которая может использовать свои способности."
		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability_outgoing_damage"	"ИСХОДЯЩИЙ УРОН ИЛЛЮЗИЙ:"

		"DOTA_Tooltip_ability_arena_descent_impervious"					"Impervious"
		"DOTA_Tooltip_ability_arena_descent_Description"				"Значительно снижает входящий урон"
		"DOTA_Tooltip_ability_arena_descent_damage_block"				"СНИЖЕНИЕ ВХОДЯЩЕГО УРОНА %:"

		"arena_descent_grieving_widow"									"Скорбящая Вдова"
		"arena_descent_sorrow_wraith"									"Скорбящий Призрак"
		"arena_descent_horror_construct"								"Создатель Страхов"
		"arena_descent_death_seeker"									"Несущий смерть"

		"DOTA_Tooltip_ability_arena_descent_grieving_widow_ability"		"Вдова высасывает жизненные силы из своей жертвы"		
		"DOTA_Tooltip_ability_arena_descent_grieving_widow_ability"		"Вдова высасывает жизненные силы из своей жертвы"
		"DOTA_Tooltip_modifier_widow_soul_steal_effect"					"Grave Siphon"
		"DOTA_Tooltip_modifier_widow_soul_steal_effect_Description"		"Наносит урон и снижает скорость передвижения."		

		"arena_descent_zombie"											"Павший Зомби"

		"DOTA_Tooltip_ability_arena_summon_gargoyles"					"Summon Gargoyles"
		"DOTA_Tooltip_ability_arena_summon_gargoyles_Description"		"Призывает 3 гаргульи."

		"DOTA_Tooltip_ability_arena_descent_beetle_passive"				"Slime"
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_Description"	"С каждой атакой покрывает врагов липкой слизью, которая снижает скорости атаки и передвижения."
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_move_slow_per_stack"	"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ ЗА ЗАРЯД:"		
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_attack_slow_per_stack"	"СНИЖЕНИЕ СКОРОСТИ АТАКИ ЗА ЗАРЯД:"

		"DOTA_Tooltip_modifier_descent_beetle_effect"					"Slime"
		"DOTA_Tooltip_modifier_descent_beetle_effect_Description"		"Скорости атаки и передвижения снижены."
		
		"pit_crawler"							"Pit Crawler"
		"master_duelist"						"Master Duelist"
		"arena_pit_soul_revenant"				"Soul Revenant"
		"arena_descent_exiled_spirit"			"Exiled Spirit"
		"arena_descent_passage_keeper"			"Keeper of Descent"
		"arena_descent_boss_zombie"				"Zombie Warboss"
		"arena_descent_terror_striker" 			"Terror Striker"
		"arena_descent_gargoyle"				"Descent Gargoyle"
		"arena_descent_goo_beetle"				"Goo Beetle"
		"arena_descent_zombie_critter"			"Zombie Critter"
		"arena_descent_razor_guard"				"Bonebreaker"
		"arena_descent_doombringer"				"Depth Praetorian"
		"arena_lies_lich"						"Imp of Lie"
		"arena_lies_doombringer"				"Demon of Lie"
		"arena_lies_true_ogre"					"True Ogre"
		"arena_lies_arbiter_of_truth"			"Arbiter of Truth"
		"arena_lies_samurai"					"Flaming Ronin"
		"fire_temple_relic_seeker"				"Relic Seeker"
		"arena_lies_castle_light_absorber"		"Light Absorber"
		"arena_lies_razor_miniboss"				"Golden Current"
		"arena_pit_conquest_mountain_behemoth"	"Mountain Behemoth"
		"arena_pit_conquest_root_overgrowth"	"Root Overgrowth"
		"arena_conquest_gift_of_kharzun"		 "Gift of Kar'zhun"
		"arena_pit_conquest_temple_explorer"	"Temple Explorer"
		"arena_pit_temple_guardian_snakes"		"Guardian's Snake"
		"arena_conquest_temple_shifter"			"Temple Shifter"
		"pit_conquest_woods_titan"				"Titan of Conquest"
		"pit_conquest_forest_soldier"			"Conquest Ambusher"
		"pit_conquest_forest_mage"				"Forest Mage"
		"pit_conquest_lord_of_bovel"			"Lord of Bovel"
		"pit_conquest_dragon"					"Chrysolite Wyrm"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike" 				"Viper Strike"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_Description" 	"Вирм отравляет цель и снижает её скорость."
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_damage"			"УРОН:"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_duration"		"ДЛИТЕЛЬНОСТЬ ЯДА:"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_bonus_movement_speed"	"СНИЖЕНИЕ СКОРОСТИ БЕГА:"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_bonus_attack_speed"		"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		
		//ARENA TOOLTIPS

		"DOTA_Tooltip_ability_arena_descent_nemesis_passive"					"Great Cleave"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_Description"				"Атаки задевают всех врагов в небольшой области"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_cleave_percent"				"УРОН %:"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_cleave_radius"				"РАДИУС:"

		"arena_descent_nightmare"												"Павший Кошмар"

		"DOTA_Tooltip_ability_arena_descent_guard_passive"						"Desolation"
		"DOTA_Tooltip_ability_arena_descent_guard_passive_Description"			"С каждой атакой увеличивает урон существа."
		"DOTA_Tooltip_ability_arena_descent_guard_passive_damage_per_instance"	"ДОП. УРОН ЗА ЗАРЯД %:"

		"DOTA_Tooltip_modifier_descent_guard_passive_effect"					"Desolation"
		"DOTA_Tooltip_modifier_descent_guard_passive_effect_Description"		"Урон увеличен"

		"DOTA_Tooltip_ability_arena_descent_crippling"							"Crippling Aura"
		"DOTA_Tooltip_ability_arena_descent_crippling_Description"				"Снижает силу ближайших героев."
		"DOTA_Tooltip_ability_arena_descent_crippling_health_regen_percent"		"РЕГЕН. ЗДОРОВЬЯ %:"
		"DOTA_Tooltip_ability_arena_descent_crippling_attack_damage"			"УРОН %:"
		"DOTA_Tooltip_ability_arena_descent_crippling_attack_speed"				"СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_arena_descent_crippling_movespeed"				"СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"

		"DOTA_Tooltip_modifier_advanced_creature_crippling_aura_debuff"			"Crippling Aura"
		"DOTA_Tooltip_modifier_advanced_creature_crippling_aura_debuff_Description"	"Снижает регенерацию здоровья, урон, скорости атаки и передвижения."

		"arena_descent_boss"													"Мерзкий зомби"

		"DOTA_Tooltip_modifier_steadfast"													"Steadfast"
		"DOTA_Tooltip_modifier_steadfast_Description"										"Входящий урон не может быть больше, чем %% от макс. здоровья существа."

		"DOTA_Tooltip_ability_descent_boss_ai"								"Abomination"
		"DOTA_Tooltip_ability_descent_boss_ai_Description"					"Призывает Забытых монстров из глубин"


		"DOTA_Tooltip_ability_creature_pure_strike_2"			"Pure Strike"
		"DOTA_Tooltip_ability_creature_pure_strike_2_Description"	"Атаки никогда не промахиваются и дополнительно наносят 3% чистого урона."

		"arena_pit_of_trials_final_boss"						"Pit Lord"

		"DOTA_Tooltip_ability_arena_pit_boss_haste"					"Bloodlust"
		"DOTA_Tooltip_ability_arena_pit_boss_haste_Description"		"Увеличивает скорости атаки и передвижения, сбрасывает время перезарядки Firestorm."

		"DOTA_Tooltip_ability_arena_radiance"								"Shadow Radiance"
		"DOTA_Tooltip_ability_arena_radiance_Description"					"Сжигает врагов, заставляя их промахиваться при атаках."
		"DOTA_Tooltip_ability_arena_radiance_aura_damage"					"УРОН:"
		"DOTA_Tooltip_ability_arena_radiance_blind_pct"						"ШАНС ПРОМАХА %:"

		"DOTA_Tooltip_modifier_modifier_pit_boss_haste"					"Bloodlust"
		"DOTA_Tooltip_modifier_modifier_pit_boss_haste_Description"		"Скорости атаки и передвижения увеличены."


		"arena_pit_conquest_spirit_of_rakash"					"Рак'еш"

		"DOTA_Tooltip_ability_arena_pit_rakash_ai"				"Spirit of Rak'eth"
		"DOTA_Tooltip_ability_arena_pit_rakash_ai_Description"	"Увеличено сопротивление магии"	
		"DOTA_Tooltip_ability_arena_pit_rakash_ai_magic_resist"	"ДОП. СОПРОТИВЛЕНИЕ МАГИИ:"

		"DOTA_Tooltip_ability_arena_descent_tombstone_ability"	"Tombstone"
		"DOTA_Tooltip_ability_arena_descent_tombstone_ability_Description"	"Восстание павших"

		"arena_pit_shadow_sniper"								"Тёмный Снайпер"
		"arena_pit_quizmaster"									"Мастер Викторины"

		"DOTA_Tooltip_ability_arena_quizmaster_blast"				"Inquiry Burst"

		"arena_descent_terror_striker_ultra"					"Gravestriker Ultra"

		"DOTA_Tooltip_ability_arena_pit_grave_chill"			"Descent Grave Chill"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_Description"	"Крадёт скорость передвижения, броню и сопротивление магии цели."
		"DOTA_Tooltip_ability_arena_pit_grave_chill_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_movespeed_steal"	"КРАЖА СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_armor_steal"	"КРАЖА БРОНИ:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_magic_resist_steal"	"КРАЖА СОПРОТИВЛЕНИЯ МАГИИ:"

		"DOTA_Tooltip_modifier_arena_grave_chill_target"		"Descent Grave Chill"
		"DOTA_Tooltip_modifier_arena_grave_chill_target_Description"	"Снижение скорости передвижения, брони и сопротивления магии."
		"lies_golden_skullbone"									"Golden Skullbone"
		
		"DOTA_Tooltip_ability_golden_skullbone_ai"				"Невосприимчивость магии"
		"DOTA_Tooltip_ability_golden_skullbone_ai_Description"				"Юнит полностью невосприимчив к магии."
		
		"arena_descent_tombstone"								"Tombstone"
		
		"arena_pit_conquest_mountain_spider"					"Mountain Spider"
		"DOTA_Tooltip_ability_arena_pit_spider_gale"				"Spider Gale"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_Description" 	"Ядовитый плевок из паучьих желез."
		"DOTA_Tooltip_ability_arena_pit_spider_gale_duration"		"ДЛИТЕЛЬНОСТЬ ЯДА:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_strike_damage"	"УРОН (НАЧАЛЬНЫЙ):"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_tick_damage"	"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_tick_interval"	"ИНТЕРВАЛ ЯДА:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_movement_slow" "ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		
		"arena_pit_conquest_mire_boss"							"Mire Boss"
		"DOTA_Tooltip_ability_arena_conquest_impale"				"Impale"
		"DOTA_Tooltip_ability_arena_conquest_impale_Description" 	"Каменные шипы вырываются из земли и оглушают цели по прямой."
		"DOTA_Tooltip_ability_arena_conquest_impale_duration"		"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		
		
		"DOTA_Tooltip_ability_lies_smoke_cloud_ability"		"Smoke cloud"
		"DOTA_Tooltip_ability_lies_smoke_cloud_ability_Description"		"Юнит надежно закрыт дымовой завесой, имеет магический иммунитет."
		
		"DOTA_Tooltip_ability_arena_pit_temple_wave"					"Fanta Wave"
