		
		
				//ARENA

		"roshpit_arena"												"Roshpit Arena"
		"DOTA_Tooltip_ability_arena_mire_keeper_passive_damage_per_instance"	"DAMAGE PER STACK %"

		"DOTA_Tooltip_modifier_mire_keeper_passive_effect"					"Inner Surge"
		"DOTA_Tooltip_modifier_mire_keeper_passive_effect_Description"		"Increased attack damage"

		"DOTA_Tooltip_ability_arena_mountain_crush"							"Mountain Crush"
		"DOTA_Tooltip_ability_arena_mountain_crush_Description"				"Jumps towards the target unit. Upon landing, create a stunning earthquake."	

		"DOTA_Tooltip_ability_arena_cragnataur_shockwave"					"Shockwave"
		"DOTA_Tooltip_ability_arena_cragnataur_shockwave_Description"		"Damage enemies in a line with a streak of moutain force."

		"arena_pit_conquest_cragnataur"									"Cragnataur"

		"arena_pit_conquest_priest_of_karzhun"							"Priest of Kar'zhun"

		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield"			"Shield of Kar'zhun"
		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield_Description"	"Zaps enemies who damage the shield-bearer, and protect against magical attacks."
		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield_damage_return"	"DAMAGE RETURN % OF MAX HEALTH:"
		"DOTA_Tooltip_ability_arena_priest_of_karzhun_shield_magic_resist"	"MAGIC RESIST:"

		"arena_pit_conquest_helob"												"Helob"

		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite"				"Venomous Bite"
		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite_Description"	"Attacks slow and deal damage over time"
		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite_moveslow"			"MOVE SLOW:"
		"DOTA_Tooltip_ability_arena_conquest_helob_venomous_bite_damage_per_tick"	"DAMAGE PER 0.2 SECONDS:"
		

		"DOTA_Tooltip_modifier_helob_venomous_bite_effect"						"Venomous Bite"
		"DOTA_Tooltip_modifier_helob_venomous_bite_effect_Description"			"Movespeed slowed and taking damage over time."

		"arena_pit_conquest_shrine_of_karzhun"							"Shrine of Kar'zhun"
		"arena_pit_conquest_shrine_of_karzhun_Description"				"An empty tray accepts gifts for the legacy of Kar'zhun"

		"arena_pit_shrine_of_karzhun_option_1"							"Give All Gold"
		"arena_pit_shrine_of_karzhun_option_2"							"Back Away"	

		"DOTA_Tooltip_modifier_kharzun_buff"							"Force Of Kar'zhun"

		"DOTA_Tooltip_ability_arena_conquest_karzhun_gift_passive"		"Force Of Kar'zhun"
		"DOTA_Tooltip_ability_arena_conquest_karzhun_gift_passive_Description"	"Powers up the Gift of Karhzun and weakens subjects nearby."

		"DOTA_Tooltip_modifier_karzhun_aura_stackable"					"Force Of Kar'zhun"

		"DOTA_Tooltip_ability_arena_temple_explorer_passive"			"Magic Shield"
		"DOTA_Tooltip_ability_arena_temple_explorer_passive_Description"	"Provides passive Magic Resistance"
		"DOTA_Tooltip_ability_arena_temple_explorer_passive_magic_resist"	"MAGIC RESIST:"
		
		"DOTA_Tooltip_ability_arena_temple_expolorer_poison_nova"							"Poison Nova"
		"DOTA_Tooltip_ability_arena_temple_expolorer_poison_nova_Description"				"A spreading ring of poison that does damage over time to enemy units around."
		"DOTA_Tooltip_ability_arena_temple_expolorer_poison_nova_damage"					"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_arena_temple_expolorer_poison_nova_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_arena_temple_expolorer_poison_nova_duration"					"DURATION:"

		"DOTA_Tooltip_ability_arena_conquest_feedback"				"Feedback"
		"DOTA_Tooltip_ability_arena_conquest_feedback_Description"	"Whenever nearby enemies' mana are reduced, shock them with pure damage based on the mana lost. Also provides passive magic resistance to the owner."

		"DOTA_Tooltip_ability_arena_conquest_feedback_damage_per_mana"	   "DAMAGE PER MANA:"
		"DOTA_Tooltip_ability_arena_conquest_feedback_magic_resist" 		"MAGIC RESIST:"

		"DOTA_Tooltip_modifier_fairy_dragon_feedback"						"Feedback"
		"DOTA_Tooltip_modifier_fairy_dragon_feedback_Description"			"Whenever your mana is reduced you will get shocked by mana reverb."

		"arena_conquest_skeletal_mage"										"Reverberating Skeleton Cage"
		"arena_conquest_temple_hunter"										"Assassin of Conquest"
		"arena_conquest_temple_repeller"									"Keeper of Mysteries"
		"arena_conquest_temple_witch_doctor"								"Faceless Arachnomancer"
		
		"DOTA_Tooltip_ability_temple_arachnomancer"							"Summon Spiderlings"
		"DOTA_Tooltip_ability_temple_arachnomancer_Description"				"Summons temple spiders to fight for him."

		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare"				"Sapphire Flare"
		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare_Description"	"An explosion of blue fire stuns and damages enemies in the area."
		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_arena_conquest_sapphire_flare_stun_duration"	"STUN DURATION:"

		"DOTA_Tooltip_ability_conquest_bovel_ai"							"Lord of Conquest"
		"DOTA_Tooltip_ability_conquest_bovel_ai_Description"				"Damage instances can not exceed 1% of max health."

		"DOTA_Tooltip_ability_arena_challenger_16_warcry"					"Warcry"
		"DOTA_Tooltip_ability_arena_challenger_16_warcry_Description"		"Increases movespeed and attack speed for 8 seconds"	
		"DOTA_Tooltip_ability_arena_challenger_16_warcry_movespeed"			"MOVESPEED:"
		"DOTA_Tooltip_ability_arena_challenger_16_warcry_attackspeed"		"ATTACK SPEED:"

		"DOTA_Tooltip_ability_arena_conquest_frost_bolt"					"Frost Bolt"
		"DOTA_Tooltip_ability_arena_conquest_frost_bolt_Description"		"Launches a frozen ice shard at the target enemy that slows movespeed and attack speed."
		"DOTA_Tooltip_ability_arena_conquest_frost_bolt_slow_duration"		"COLD DURATION:"	

		"DOTA_Tooltip_modifier_conquest_frost_bolt"						"Frost Bolt"
		"DOTA_Tooltip_modifier_conquest_frost_bolt_Description"			"Attack and Movespeed slowed"

		"pit_conquest_boss"												"Black Mage of Conquest"

		"DOTA_Tooltip_ability_conquest_black_mage_luminescence"			"Luminescence"
		"DOTA_Tooltip_ability_conquest_black_mage_luminescence_Description"	"A magic charge from the Mage's staff unleashes a stampede of spirit horses towards the target"	

		"DOTA_Tooltip_ability_conquest_boss_ai"							"Shadowcaster"
		"DOTA_Tooltip_ability_conquest_boss_ai_Description"				"Immune to ALL Physical and Magical damage."

		"DOTA_Tooltip_modifier_conquest_boss_slow_effect"	"Black Pool"
		"DOTA_Tooltip_modifier_conquest_boss_slow_effect_Description"	"Slowed"

		"DOTA_Tooltip_ability_conquest_boss_burn_ability"			"Soul Decay"
		"DOTA_Tooltip_ability_conquest_boss_burn_ability_Description"	"Burns all nearby enemies for 2% of their max health as pure damage."
		
		"DOTA_Tooltip_modifier_conquest_boss_burn_ability"			"Soul Decay"

		"DOTA_Tooltip_modifier_conquest_boss_burn_ability_effect"	"Soul Decay"
		"DOTA_Tooltip_modifier_conquest_boss_burn_ability_effect_Description"	"Taking 2%% of max health as pure damage each second."



		"DOTA_Tooltip_ability_item_rpc_truth_dust"					"Truth Dust"
		"truth_dust_description"									"Reveals nearby hidden realities for 30 seconds in a 500 radius."

		"arena_lies_spark_beetle"					"Spark Beetle"
		"DOTA_Tooltip_ability_arena_lies_beetle_passive"				"Plasma Shell"
		"DOTA_Tooltip_ability_arena_lies_beetle_passive_damage"			"DAMAGE"
		"DOTA_Tooltip_ability_arena_lies_beetle_passive_Description"	"Zaps all nearby enemies and slows them temporarily."

		"DOTA_Tooltip_modifier_lies_beetle_effect"						"Plasma Shell"
		"DOTA_Tooltip_modifier_lies_beetle_effect_Description"			"Movespeed Reduced"

		"DOTA_Tooltip_ability_grave_watcher_ai"							"Soul Siphon"
		"DOTA_Tooltip_ability_grave_watcher_ai_Description"				"Latches on to nearby enemies and reduces their health regen by 3% and slows their movement speed by 40%"	

		"DOTA_Tooltip_ability_lies_lich_ai"								"Soul Siphon"
		"DOTA_Tooltip_ability_lies_lich_ai_Description"					"Latches on to nearby enemies and reduces their health regen by 3% and slows their movement speed by 20%"	
	
		"DOTA_Tooltip_ability_doombringer_searing_chains"				"Searing Chains"
		"DOTA_Tooltip_ability_doombringer_searing_chains_Description"	"Roots and burns nearby enemies."


		"arena_lies_supreme_ogre"										"Supreme Ogre"

		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive"			"Mystery Infusion"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_Description"	"Increases the power level of the ability owner."
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_movespeed"	"MOVESPEED:"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_attack_speed"	"ATTACK SPEED:"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_damage_percent"	"DAMAGE INCREASE %:"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_armor_bonus"	"ARMOR BONUS"
		"DOTA_Tooltip_ability_arena_lies_supreme_ogre_passive_health_regen_percent"	"HEALTH REGEN %:"

		"DOTA_Tooltip_ability_arena_lies_mana_break"					"Mana Break"
		"DOTA_Tooltip_ability_arena_lies_mana_break_Description"		"Burns mana and deals damage for each mana burned."
		"DOTA_Tooltip_ability_arena_lies_mana_break_mana_per_hit"		"MANA BURN PER HIT:"

		"DOTA_Tooltip_ability_arena_lies_arbiter_passive"				"Deceptive Light"
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_Description"	"Increases armor and attack damage."	
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_damage_percent"	"ATTACK DAMAGE %:"
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_armor_bonus"		"ARMOR BONUS:"

		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive"			"Golden Wings"
		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive_Description"	"Increases magic resistance. When health falls below 35%, gain magic immunity."
		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive_magic_resist"	"MAGIC RESIST %:"
		"DOTA_Tooltip_modifier_arena_lies_treasure_bird_passive_magic_resist"	"Magic Immune"

		"lies_treasure_hoarder"											"The Golden Hawk"

		"arena_lies_shadow_beast"										"Shadow Beast"

		"lies_trickster_mage"											"Arcanist Trickster"
		"DOTA_Tooltip_ability_arena_lies_trickster_ability"				"Whirling Dodge"
		"DOTA_Tooltip_ability_arena_lies_trickster_ability_Description"	"Attempts to dodge nearby enemies with quick movements."	

		"arena_lies_supreme_ogre_true"									"True Supreme Ogre Soldier"

		"DOTA_Tooltip_ability_arena_lies_black_hole"					"Black Hole"
		"DOTA_Tooltip_ability_arena_lies_black_hole_Description"		"Consumes light and matter in a small area for 4 seconds."

		"arena_lies_castle_enigma"										"Light Eater"

		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability"		"Magic Ward"
		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability_Description"	"Grants magic immunity. Magic immune shield can be broken after attacks."	
		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability_stacks"		"CHARGES:"

		"DOTA_Tooltip_modifier_magic_immune_breakable_ability"			"Magic Ward"
		"DOTA_Tooltip_modifier_magic_immune_breakable_ability_Description"	"Magic Immunity. Attacks wear down the shield."

		"DOTA_Tooltip_ability_arena_lies_plasma_field"					"Plasma Field"
		"DOTA_Tooltip_ability_arena_lies_plasma_field_Description"		"A ring of electrity shocks enemies in its path. Closer to the edge of the ring deals more damage."
		"DOTA_Tooltip_ability_arena_lies_plasma_field_damage_max"		"MAX DAMAGE:"

		"arena_lies_test_dummy"											"Experiment Dummy"

		"arena_lies_boss"												"Giant Hunter"

		"DOTA_Tooltip_ability_arena_lies_boss_ai"						"Evasion"
		"DOTA_Tooltip_ability_arena_lies_boss_ai_Description"			"Adds a chance to dodge physical attacks"
		"DOTA_Tooltip_ability_arena_lies_boss_ai_evasion"				"EVASION CHANCE %:"		

		"DOTA_Tooltip_ability_arena_lies_boss_magic_immune_ability"		"Magic Ward"
		"DOTA_Tooltip_ability_arena_lies_boss_magic_immune_ability_Description"	"Applies a magic immunity shield that can only be broken by attacking."	

		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability"			"Deception"
		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability_Description"	"Creates an illusion of the caster with all abilities available."
		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability_outgoing_damage"	"ILLUSION OUTGOING DAMAGE:"

		"DOTA_Tooltip_ability_arena_descent_impervious"					"Impervious"
		"DOTA_Tooltip_ability_arena_descent_Description"				"Greatly reduces incoming damage"
		"DOTA_Tooltip_ability_arena_descent_damage_block"				"DAMAGE REDUCTION %:"

		"arena_descent_grieving_widow"									"Grieving Widow"
		"arena_descent_sorrow_wraith"									"Sorrow Wraith"
		"arena_descent_horror_construct"								"Horror Construct"
		"arena_descent_death_seeker"									"Death Seeker"

		"DOTA_Tooltip_ability_arena_descent_grieving_widow_ability"		"Grave Siphon"		
		"DOTA_Tooltip_ability_arena_descent_grieving_widow_ability"		"Widow drains life from her victims"
		"DOTA_Tooltip_modifier_widow_soul_steal_effect"					"Grave Siphon"
		"DOTA_Tooltip_modifier_widow_soul_steal_effect_Description"		"Taking damage and reduced movement speed."		

		"arena_descent_zombie"											"Descent Zombie"

		"DOTA_Tooltip_ability_arena_summon_gargoyles"					"Summon Gargoyles"
		"DOTA_Tooltip_ability_arena_summon_gargoyles_Description"		"Creates 3 gargoyles with stone form."

		"DOTA_Tooltip_ability_arena_descent_beetle_passive"				"Slime"
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_Description"	"Each time this unit takes damage, the attacker is inflicted with a stacking slow debuff."
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_move_slow_per_stack"	"MOVE SLOW PER STACK:"		
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_attack_slow_per_stack"	"ATTACK SLOW PER STACK:"

		"DOTA_Tooltip_modifier_descent_beetle_effect"					"Slime"
		"DOTA_Tooltip_modifier_descent_beetle_effect_Description"		"Attack and movespeed slowed."
		
		"pit_crawler"							"Pit Crawler"
		"master_duelist"						"Master Duelist"
		"arena_pit_soul_revenant"				"Soul Revenant"
		"arena_descent_exiled_spirit"			"Exiled Spirit"
		"arena_descent_passage_keeper"			"Keeper of Descent"
		"arena_descent_boss_zombie"				"Zombie Warboss"
		"arena_descent_terror_striker" 			"Terror Striker"
		"arena_descent_gargoyle"				"Descent Gargoyle"
		"arena_descent_goo_beetle"				"Goo Beetle"
		"arena_descent_zombie_critter"			"Zombie Critter"
		"arena_descent_razor_guard"				"Bonebreaker"
		"arena_descent_doombringer"				"Depth Praetorian"
		"arena_lies_lich"						"Imp of Lie"
		"arena_lies_doombringer"				"Demon of Lie"
		"arena_lies_true_ogre"					"True Ogre"
		"arena_lies_arbiter_of_truth"			"Arbiter of Truth"
		"arena_lies_samurai"					"Flaming Ronin"
		"fire_temple_relic_seeker"				"Relic Seeker"
		"arena_lies_castle_light_absorber"		"Light Absorber"
		"arena_lies_razor_miniboss"				"Golden Current"
		"arena_pit_conquest_mountain_behemoth"	"Mountain Behemoth"
		"arena_pit_conquest_root_overgrowth"	"Root Overgrowth"
		"arena_conquest_gift_of_kharzun"		 "Gift of Kar'zhun"
		"arena_pit_conquest_temple_explorer"	"Temple Explorer"
		"arena_pit_temple_guardian_snakes"		"Guardian's Snake"
		"arena_conquest_temple_shifter"			"Temple Shifter"
		"pit_conquest_woods_titan"				"Titan of Conquest"
		"pit_conquest_forest_soldier"			"Conquest Ambusher"
		"pit_conquest_forest_mage"				"Forest Mage"
		"pit_conquest_lord_of_bovel"			"Lord of Bovel"
		"pit_conquest_dragon"					"Chrysolite Wyrm"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike" 				"Viper Strike"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_Description" 	"Wyrm poisons the target, dealing damage and decreasing speed."
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_duration"		"DURATION:"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_bonus_movement_speed"	"MOVEMENT SPEED LOSS:"
		"DOTA_Tooltip_ability_pit_conquest_viper_strike_bonus_attack_speed"		"ATTACK SPEED LOSS:"
		
		//ARENA TOOLTIPS
		
		 "champion_gladiator"													"Champion Gladiator"

		"DOTA_Tooltip_ability_arena_descent_nemesis_passive"					"Great Cleave"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_Description"				"Attacks damage all enemies in an area"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_cleave_percent"				"CLEAVE DAMAGE %:"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_cleave_radius"				"CLEAVE RADIUS:"

		"arena_descent_nightmare"												"Descent Nightmare"

		"DOTA_Tooltip_ability_arena_descent_guard_passive"						"Desolation"
		"DOTA_Tooltip_ability_arena_descent_guard_passive_Description"			"Each attack landed increases attack damage."
		"DOTA_Tooltip_ability_arena_descent_guard_passive_damage_per_instance"	"DAMAGE PER STACK %:"

		"DOTA_Tooltip_modifier_descent_guard_passive_effect"					"Desolation"
		"DOTA_Tooltip_modifier_descent_guard_passive_effect_Description"		"Increased attack damage"

		"DOTA_Tooltip_ability_arena_descent_crippling"							"Crippling Aura"
		"DOTA_Tooltip_ability_arena_descent_crippling_Description"				"Reduces the power of nearby enemies."
		"DOTA_Tooltip_ability_arena_descent_crippling_health_regen_percent"		"HEALTH REGEN %:"
		"DOTA_Tooltip_ability_arena_descent_crippling_attack_damage"			"ATTACK DAMAGE %:"
		"DOTA_Tooltip_ability_arena_descent_crippling_attack_speed"				"ATTACK SPEED:"
		"DOTA_Tooltip_ability_arena_descent_crippling_movespeed"				"MOVESPEED:"

		"DOTA_Tooltip_modifier_advanced_creature_crippling_aura_debuff"			"Crippling Aura"
		"DOTA_Tooltip_modifier_advanced_creature_crippling_aura_debuff_Description"	"Reduced health regen, attack damage, attack speed and movespeed."

		"arena_descent_boss"													"Pit Abomination"

		"DOTA_Tooltip_modifier_steadfast"													"Steadfast"
		"DOTA_Tooltip_modifier_steadfast_Description"										"Incoming damage is capped at a %% of max health"

		"DOTA_Tooltip_ability_descent_boss_ai"								"Abomination"
		"DOTA_Tooltip_ability_descent_boss_ai_Description"					"Forsaken monster of the depths"


		"DOTA_Tooltip_ability_creature_pure_strike_2"			"Pure Strike"
		"DOTA_Tooltip_ability_creature_pure_strike_2_Description"	"Attacks cannot miss and deal an additional 25% pure damage."

		"arena_pit_of_trials_final_boss"						"Pit Lord"
		"arena_boss_spectre_summon"								"Captured Soul"

		"DOTA_Tooltip_ability_arena_pit_boss_haste"					"Bloodlust"
		"DOTA_Tooltip_ability_arena_pit_boss_haste_Description"		"Increases attack speed and movespeed, and refreshes Firestorm."

		"DOTA_Tooltip_ability_arena_radiance"								"Shadow Radiance"
		"DOTA_Tooltip_ability_arena_radiance_Description"					"Burns nearby enemies and gives them a chance to miss."
		"DOTA_Tooltip_ability_arena_radiance_aura_damage"					"BURN DAMAGE:"
		"DOTA_Tooltip_ability_arena_radiance_blind_pct"						"MISS CHANCE %:"

		"DOTA_Tooltip_modifier_modifier_pit_boss_haste"					"Bloodlust"
		"DOTA_Tooltip_modifier_modifier_pit_boss_haste_Description"		"Increased movespeed and attack speed."


		"arena_pit_conquest_spirit_of_rakash"					"Rak'eth"

		"DOTA_Tooltip_ability_arena_pit_rakash_ai"				"Spirit of Rak'eth"
		"DOTA_Tooltip_ability_arena_pit_rakash_ai_Description"	"Increased magic resistance"	
		"DOTA_Tooltip_ability_arena_pit_rakash_ai_magic_resist"	"MAGIC RESIST:"

		"DOTA_Tooltip_ability_arena_descent_tombstone_ability"	"Tombstone"
		"DOTA_Tooltip_ability_arena_descent_tombstone_ability_Description"	"Raising the Dead"

		"arena_pit_shadow_sniper"								"Shadow Sniper"
		"arena_pit_quizmaster"									"Quizmaster"

		"DOTA_Tooltip_ability_arena_quizmaster_blast"				"Inquiry Burst"
		"DOTA_Tooltip_ability_arena_quizmaster_blast_Description"	"Blast of sinister energy deals 450000 damage in 1300 radius around Quizmaster, stuns targets on hit."

		"arena_descent_terror_striker_ultra"					"Gravestriker Ultra"

		"DOTA_Tooltip_ability_arena_pit_grave_chill"			"Descent Grave Chill"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_Description"	"Steals movespeed, armor, and magic resist from the target."
		"DOTA_Tooltip_ability_arena_pit_grave_chill_duration"	"DURATION:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_movespeed_steal"	"MOVESPEED STEAL:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_armor_steal"	"ARMOR STEAL:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_magic_resist_steal"	"MAGIC RESIST STEAL:"

		"DOTA_Tooltip_modifier_arena_grave_chill_target"		"Descent Grave Chill"
		"DOTA_Tooltip_modifier_arena_grave_chill_target_Description"	"Reduced movespeed, armor, and magic resist."

		"lies_golden_skullbone"									"Golden Skullbone"
		"DOTA_Tooltip_ability_golden_skullbone_ai"				"Magic Immunity"
		"DOTA_Tooltip_ability_golden_skullbone_ai_Description"				"That unit has permanent immunity to magical damage."
		
		"arena_descent_tombstone"								"Tombstone"
		
		"arena_pit_conquest_spider"								"Mountain Spider"
		
		"arena_pit_conquest_mountain_spider"					"Greater Mountain Spider"
		"DOTA_Tooltip_ability_arena_pit_spider_gale"				"Spider Gale"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_Description" 	"Poisonous spittle released from spider's glands"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_duration"		"DURATION:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_strike_damage"	"INITIAL DAMAGE:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_tick_damage"	"DAMAGE PER TICK:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_tick_interval"	"TICK INTERVAL:"
		"DOTA_Tooltip_ability_arena_pit_spider_gale_movement_slow" "MOVEMENT SLOW:"
		
		"arena_pit_conquest_mire_boss"							"Mire Boss"
		"DOTA_Tooltip_ability_arena_conquest_impale"				"Impale"
		"DOTA_Tooltip_ability_arena_conquest_impale_Description" 	"Rock spikes burst from the earth along a straight path."
		"DOTA_Tooltip_ability_arena_conquest_impale_duration"		"DURATION:"
		
		
		"DOTA_Tooltip_ability_lies_smoke_cloud_ability"		"Smoke cloud"
		"DOTA_Tooltip_ability_lies_smoke_cloud_ability_Description"		"Unit covered by smoke screen, protected from enemy spells."
		
		"DOTA_Tooltip_ability_arena_pit_temple_wave"					"Temple Wave"
		"DOTA_Tooltip_ability_arena_pit_temple_wave_Description"		"Violent wave of dark power. Deals damage and stuns enemies."
		"DOTA_Tooltip_ability_arena_pit_temple_wave_stun_duration"		"STUN DURATION:"
		
		"DOTA_Tooltip_ability_tomb_pudge"				"Slaughterous Temper"
		"DOTA_Tooltip_ability_tomb_pudge_Description"	"Tracks down the victim"
	
		"DOTA_Tooltip_ability_creature_meat_hook"		"Meat Hook"
		"DOTA_Tooltip_ability_creature_meat_hook_Description"		"Launches a bloody hook toward a unit or location. The hook will snag the first unit it encounters, dragging the unit back and dealing damage."
		"DOTA_Tooltip_ability_creature_meat_hook_hook_distance"		"DISTANCE:"
		
		"arena_descent_exiled_spirit_big"							"Corrupted Commander"
		"DOTA_Tooltip_ability_arena_descent_impervious"				"Impervious"
		"DOTA_Tooltip_ability_arena_descent_impervious_Description"	"Exiled legion protects the Commander. Damage taken reduced by 98%."
		
		
		"DOTA_Tooltip_ability_doom_custom"				"Doom"
		"DOTA_Tooltip_ability_doom_custom_Description"	"Target burns in inpure flames, being silenced and disarmed. Damage ticks every 0.5 seconds."
		"DOTA_Tooltip_ability_doom_custom_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_doom_custom_duration"		"DURATION:"
		
		"DOTA_Tooltip_ability_arena_descent_boss_ravage"				"Ravage of Abyss"
		"DOTA_Tooltip_ability_arena_descent_boss_ravage_Description"	"Abomination impales enemies in 2000 range, stunning them, throwing in the air and dealing magical damage."
		"DOTA_Tooltip_ability_arena_descent_boss_ravage_duration"		"STUN DURATION:"
		"DOTA_Tooltip_ability_arena_descent_boss_fist_slam"				"Abomination slams the ground, stunning inflicted targets and dealing damage."
		"DOTA_Tooltip_ability_arena_descent_boss_fist_slam_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_arena_descent_boss_fist_slam_stun_duration"	"STUN DURATION:"
		
		"arena_pit_pit_guardian"		"Soul of Pit"
		"DOTA_Tooltip_ability_arena_pit_pit_guardian_ai"				"Pit Protector"
		"DOTA_Tooltip_ability_arena_pit_pit_guardian_ai_Description"	"Soul of Pit kills the unworthy challengers, guarding the chamber of his master. Dragons' blood flows in his veins."
		
		"DOTA_Tooltip_ability_pit_boss_firestorm"				"Firestorm"
		"DOTA_Tooltip_ability_pit_boss_firestorm_Description" 	"Pit Lord calls down waves of fire that damage enemy units in the target area, burning for additional damage over time."
		"DOTA_Tooltip_ability_pit_boss_firestorm_radius"		"RADIUS:"
		"DOTA_Tooltip_ability_pit_boss_firestorm_wave_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_pit_boss_firestorm_wave_interval"	"INTERVAL:"
		"DOTA_Tooltip_ability_pit_boss_firestorm_burn_damage"	"BURN DAMAGE (HP%):"
		"DOTA_Tooltip_ability_pit_boss_firestorm_burn_duration"	"BURN DURATION:"
		"DOTA_Tooltip_ability_arena_pit_boss_summon_specters"				"Release"
		"DOTA_Tooltip_ability_arena_pit_boss_summon_specters_Description"	"Pit Lord summons 6 captured souls of previous challengers to fight for him."	
		"DOTA_Tooltip_ability_arena_pit_boss_dash"				"Furious Charge"
		"DOTA_Tooltip_ability_arena_pit_boss_dash_Description"	"Pit Lord dashes forward, crushing foes before him. Deals 305000 magical damage."
		"DOTA_Tooltip_ability_arena_pit_final_boss_ai"			"Lord of the Pit"
		"DOTA_Tooltip_ability_arena_pit_final_boss_ai_Description"			"In forsaken dungeons of Arena, the ancient evil awaits for challengers."

		"DOTA_Tooltip_ability_item_rpc_grimloks_soul_vessel"		"Grimlok's Soul Vessel"
		"item_rpc_grimloks_soul_vessel_desc"						"Use anywhere in Sea Fortress to release the Beast Tyrant's ghost."

		"pit_of_trials_secret_soul_ferrier"							"Soul Ferrier Grimlok"
