		
		
				//ARENA

		"roshpit_arena"												"肉山谷竞技场"
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_Description"	"增加护甲和攻击伤害."	
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_damage_percent"	"攻击伤害 %:"
		"DOTA_Tooltip_ability_arena_lies_arbiter_passive_armor_bonus"		"额外护甲:"

		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive"			"黄金翅膀"
		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive_Description"	"增加魔法抗性. 当血量降到低于35%, 增加魔法抗性."
		"DOTA_Tooltip_ability_arena_lies_treasure_bird_passive_magic_resist"	"魔法抗性 %:"
		"DOTA_Tooltip_modifier_arena_lies_treasure_bird_passive_magic_resist"	"魔法免疫"

		"lies_treasure_hoarder"											"黄金的鹰"

		"arena_lies_shadow_beast"										"影兽"

		"lies_trickster_mage"											"奥术师的狡诈"
		"DOTA_Tooltip_ability_arena_lies_trickster_ability"				"旋转闪避"
		"DOTA_Tooltip_ability_arena_lies_trickster_ability_Description"	"试图用快速的动作闪避附近敌人的攻击"	

		"arena_lies_supreme_ogre_true"									"真正的食人魔战士"

		"DOTA_Tooltip_ability_arena_lies_black_hole"					"黑洞"
		"DOTA_Tooltip_ability_arena_lies_black_hole_Description"		"拉取附近物质4秒."

		"arena_lies_castle_enigma"										"Light Eater"

		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability"		"魔法守卫"
		"DOTA_Tooltip_ability_arena_magic_immune_breakable_ability_Description"	"增加魔法抗性. 魔法盾在被15次攻击后破坏."

		"DOTA_Tooltip_modifier_magic_immune_breakable_ability"			"魔法守卫"
		"DOTA_Tooltip_modifier_magic_immune_breakable_ability_Description"	"魔法免疫. 攻击可以打破此盾."

		"DOTA_Tooltip_ability_arena_lies_plasma_field"					"等离子场"
		"DOTA_Tooltip_ability_arena_lies_plasma_field_Description"		"电力震荡在其路径上的敌人. 靠近的敌人造成更多的伤害."
		"DOTA_Tooltip_ability_arena_lies_plasma_field_damage_max"		"最大伤害:"

		"arena_lies_test_dummy"											"试验假人"

		"arena_lies_boss"												"巨人猎人"

		"DOTA_Tooltip_ability_arena_lies_boss_ai"						"闪避"
		"DOTA_Tooltip_ability_arena_lies_boss_ai_Description"			"有几率闪避物理攻击"
		"DOTA_Tooltip_ability_arena_lies_boss_ai_evasion"				"闪避几率 %:"		

		"DOTA_Tooltip_ability_arena_lies_boss_magic_immune_ability"		"魔法守卫"
		"DOTA_Tooltip_ability_arena_lies_boss_magic_immune_ability_Description"	"施加魔法免疫只能通过攻击将次盾打破"	

		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability"			"诱骗"
		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability_Description"	"创造一个可以使用所有技能的分身."
		"DOTA_Tooltip_ability_arena_lies_boss_illusion_ability_outgoing_damage"	"分身造成的伤害伤害:"

		"DOTA_Tooltip_ability_arena_descent_impervious"					"坚定"
		"DOTA_Tooltip_ability_arena_descent_Description"				"大量减少受到的伤害"
		"DOTA_Tooltip_ability_arena_descent_damage_block"				"减伤 %:"

		"arena_descent_grieving_widow"									"悲伤的寡妇"
		"arena_descent_sorrow_wraith"									"悲伤的怨灵"
		"arena_descent_horror_construct"								"恐怖之形"
		"arena_descent_death_seeker"									"死亡探索者"

		"DOTA_Tooltip_ability_arena_descent_grieving_widow_ability"		"墓碑吸取"		
		"DOTA_Tooltip_ability_arena_descent_grieving_widow_ability"		"墓碑吸取"
		"DOTA_Tooltip_modifier_widow_soul_steal_effect"					"墓碑吸取"
		"DOTA_Tooltip_modifier_widow_soul_steal_effect_Description"		"吸取伤害并降低移动速度"		

		"arena_descent_zombie"											"丧尸来袭"

		"DOTA_Tooltip_ability_arena_summon_gargoyles"					"召唤石像"
		"DOTA_Tooltip_ability_arena_summon_gargoyles_Description"		"在墓碑召唤3个怪物."

		"DOTA_Tooltip_ability_arena_descent_beetle_passive"				"粘液"
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_Description"	"每次受到攻击, 使攻击者叠加减速buff."
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_move_slow_per_stack"	"每层减速:"		
		"DOTA_Tooltip_ability_arena_descent_beetle_passive_attack_slow_per_stack"	"每层减少的攻击力A:"

		"DOTA_Tooltip_modifier_descent_beetle_effect"					"粘液"
		"DOTA_Tooltip_modifier_descent_beetle_effect_Description"		"攻击速度和移动速度降低."
		
		//ARENA TOOLTIPS

		"DOTA_Tooltip_ability_arena_descent_nemesis_passive"					"巨力挥舞"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_Description"				"攻击对范围内敌人造成分裂伤害"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_cleave_percent"				"分裂伤害 %:"
		"DOTA_Tooltip_ability_arena_descent_nemesis_passive_cleave_radius"				"分裂范围:"

		"arena_descent_nightmare"												"黑暗来袭"

		"DOTA_Tooltip_ability_arena_descent_guard_passive"						"荒芜"
		"DOTA_Tooltip_ability_arena_descent_guard_passive_Description"			"每次攻击都会增加下一次攻击力"
		"DOTA_Tooltip_ability_arena_descent_guard_passive_damage_per_instance"	"每次的攻击提高的 %:"

		"DOTA_Tooltip_modifier_descent_guard_passive_effect"					"荒芜"
		"DOTA_Tooltip_modifier_descent_guard_passive_effect_Description"		"增加攻击伤害"

		"DOTA_Tooltip_ability_arena_descent_crippling"							"致残光环"
		"DOTA_Tooltip_ability_arena_descent_crippling_Description"				"降低附近敌人的能量."
		"DOTA_Tooltip_ability_arena_descent_crippling_health_regen_percent"		"血量回复 %:"
		"DOTA_Tooltip_ability_arena_descent_crippling_attack_damage"			"攻击力 %:"
		"DOTA_Tooltip_ability_arena_descent_crippling_attack_speed"				"攻击速度:"
		"DOTA_Tooltip_ability_arena_descent_crippling_movespeed"				"移动速度:"

		"DOTA_Tooltip_modifier_advanced_creature_crippling_aura_debuff"			"致残光环"
		"DOTA_Tooltip_modifier_advanced_creature_crippling_aura_debuff_Description"	"降低生命回复速度,攻击力,攻击速度和移动速度."

		"arena_descent_boss"													"深渊憎恨者"

		"DOTA_Tooltip_modifier_steadfast"													"坚定"
		"DOTA_Tooltip_modifier_steadfast_Description"										"受到的伤害不会超过 %% 最大生命值"

		"DOTA_Tooltip_ability_descent_boss_ai"								"厌恶"
		"DOTA_Tooltip_ability_descent_boss_ai_Description"					"深渊被遗忘的怪物"


		"DOTA_Tooltip_ability_creature_pure_strike_2"			"纯粹攻击"
		"DOTA_Tooltip_ability_creature_pure_strike_2_Description"	"攻击不会丢失和造成额外的25%纯粹伤害."

		"arena_pit_of_trials_final_boss"						"深渊领主"

		"DOTA_Tooltip_ability_arena_pit_boss_haste"					"嗜血"
		"DOTA_Tooltip_ability_arena_pit_boss_haste_Description"		"增加攻击速度和移动速度, 并且刷新火焰风暴"

		"DOTA_Tooltip_ability_arena_radiance"								"暗影光辉"
		"DOTA_Tooltip_ability_arena_radiance_Description"					"燃烧附近的敌人并且附近的敌人攻击有几率有丢失"
		"DOTA_Tooltip_ability_arena_radiance_aura_damage"					"燃烧伤害:"
		"DOTA_Tooltip_ability_arena_radiance_blind_pct"						"丢失几率 %:"

		"DOTA_Tooltip_modifier_modifier_pit_boss_haste"					"嗜血"
		"DOTA_Tooltip_modifier_modifier_pit_boss_haste_Description"		"增加移动速度和攻击速度."


		"arena_pit_conquest_spirit_of_rakash"					"Rak'eth"

		"DOTA_Tooltip_ability_arena_pit_rakash_ai"				"Rak'eth的灵魂"
		"DOTA_Tooltip_ability_arena_pit_rakash_ai_Description"	"增加魔法抗性"	
		"DOTA_Tooltip_ability_arena_pit_rakash_ai_magic_resist"	"魔法抗性:"

		"DOTA_Tooltip_ability_arena_descent_tombstone_ability"	"墓碑"
		"DOTA_Tooltip_ability_arena_descent_tombstone_ability_Description"	"死灵复活"

		"arena_pit_shadow_sniper"								"阴影暗杀者"
		"arena_pit_quizmaster"									"测试大师"

		"DOTA_Tooltip_ability_arena_quizmaster_blast"				"Inquiry Burst"

		"arena_descent_terror_striker_ultra"					"墓碑前锋"

		"DOTA_Tooltip_ability_arena_pit_grave_chill"			"寒冰之墓"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_Description"	"降低移动速度, 护甲, 和魔抗."
		"DOTA_Tooltip_ability_arena_pit_grave_chill_duration"	"持续时间:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_movespeed_steal"	"移动速度降低:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_armor_steal"	"护甲降低:"
		"DOTA_Tooltip_ability_arena_pit_grave_chill_magic_resist_steal"	"魔抗降低:"

		"DOTA_Tooltip_modifier_arena_grave_chill_target"		"寒冰之墓"
		"DOTA_Tooltip_modifier_arena_grave_chill_target_Description"	"降低移动速度, 护甲, 和魔抗."

		"DOTA_Tooltip_ability_golden_skullbone_ai"				"魔法免疫"

		"lies_golden_skullbone"									"黄金颅骨"
		"DOTA_Tooltip_ability_golden_skullbone_ai"				"魔法免疫"
		
		"arena_descent_tombstone"								"墓碑"
		"DOTA_Tooltip_ability_arena_descent_impervious"				"坚定"

		"DOTA_Tooltip_ability_item_rpc_grimloks_soul_vessel"				"阴冷残魂灵龛"
		"item_rpc_grimloks_soul_vessel_desc"						"在失落深海要塞的任何一处使用来召唤野兽暴君的鬼魂。"

		"pit_of_trials_secret_soul_ferrier"							"芬里尔的残酷之魂"
