		//Abilities

		"omni_mace_effect"													"Omni Mace Effect"
		"property_omniro_immortal_weapon2_description"                      "Element charges replenish <% OMNIRO_LEGEND_WEAPON_2_RECHARGE_INCREASE %>% faster."

		"DOTA_Tooltip_ability_item_rpc_omniro_immortal_weapon_3"            "Mace of the Drakken"
		"item_property_omniro_immortal_weapon3"                             "Dragon Element"
		"property_omniro_immortal_weapon3_description"                      "Activates Omniro's <font color=\"#3289C7\">Dragon</font> element. Dragon basic mace effect applies a buff that increases elemental damage. The orb effect refreshes the charges on all other elements."

		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_1_1"		"Glyph of Consistency"
		"item_rpc_omniro_glyph_1_1_description" 				"Standard element rotation will skip elements that don't have Orb Charges (unless all elements have no charges)."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_2_1"		"Glyph of Chromatic Pathing"
		"item_rpc_omniro_glyph_2_1_description" 				"Increases the path length for @Ability3 by @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_3_1"		"Glyph of Planar Stalking"
		"item_rpc_omniro_glyph_3_1_description" 				"@Ability4 deals @glyph_property1 additional strikes."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_4_1"		"Glyph of Galvanization"
		"item_rpc_omniro_glyph_4_1_description" 				"Adds @glyph_property1 levels to <font color=\"#DDDDDD\">Normal</font> Element and it recharges @glyph_property2% faster."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_5_1"		"Glyph of Inspiration"
		"item_rpc_omniro_glyph_5_1_description" 				"@glyph_property1 of Omniro's lowest level elements (excluding <font color=\"#DDDDDD\">Normal</font> and <font color=\"#3289C7\">Dragon</font>) have @glyph_property2 extra orb charge."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_6_1"		"Glyph of Sapping"
		"item_rpc_omniro_glyph_6_1_description" 				"Attacking an enemy restores @glyph_property1% of the current element's orb charge."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_7_1"		"Glyph of Elemental Specialization"
		"item_rpc_omniro_glyph_7_1_description" 				"Omniro's highest level element (excluding <font color=\"#3289C7\">Dragon</font>) has @glyph_property1 additional maximum orb charges."

		"DOTA_Tooltip_ability_item_rpc_omniro_glyph_5_a"		"Glyph of Chromaticity"
		"item_rpc_omniro_glyph_5_a_description" 				"Omniro gains bonuses to Elemental damage types matching his four highest-level elements (excluding <font color=\"#3289C7\">Dragon</font>). The highest gains a %<% OMNIRO_GLYPH_5_A_TOP_1_BONUS %> bonus, 2nd highest <% OMNIRO_GLYPH_5_A_TOP_2_BONUS%>%, 3rd highest <% OMNIRO_GLYPH_5_A_TOP_3_BONUS %>, and 4th highest <% OMNIRO_GLYPH_5_A_TOP_4_BONUS %>."
