		//Abilities
		"earth_aspect"														"Элементаль Земли"
    	"DOTA_Tooltip_ability_summon_earth_deity_Description"				"Заклинание призыва для могучего гранитного Earth Deity, который имеет способность Grand Guardian для защиты союзников. 50% от повреждений Conjuror'а получает Earth Deity вместо него."
    	"DOTA_Tooltip_ability_summon_earth_deity_aspect_health"				"ЗДОРОВЬЕ:"
    	"DOTA_Tooltip_ability_summon_earth_deity_aspect_damage"				"УРОН АТАКИ:"
    	"DOTA_Tooltip_ability_summon_earth_deity_aspect_armor"				"БРОНЯ:"
    	"DOTA_Tooltip_ability_summon_earth_deity_aspect_magic_resist"		"МАГИЧЕСКОЕ СОПРОТИВЛЕНИЕ:"

    	"DOTA_Tooltip_ability_earth_deity_sandstorm"						"Sandstorm"
    	"DOTA_Tooltip_ability_earth_deity_sandstorm_Description"			"Элемент: <font color=\"#AF843D\">Земля</font><br>Earth Deity останавливается и образует песчаную бурю. Противники внутри замедлены и могут промахнуться. Earth Deity тратит свою ману на прочтение, и прекратит заклинание если она закончится. Наносит урон каждые 0.25 сек."
    	"DOTA_Tooltip_ability_earth_deity_sandstorm_miss_chance"			"ШАНС ПРОМАХА:"
    	"DOTA_Tooltip_ability_earth_deity_sandstorm_move_slow"				"ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_earth_deity_sandstorm_attack_slow"			"ЗАМЕДЛЕНИЕ АТАКИ:"

    	"DOTA_Tooltip_modifier_enemy_in_earth_deity_sandstorm"				"Sandstorm"
    	"DOTA_Tooltip_modifier_enemy_in_earth_deity_sandstorm_Description"	"Замедлен и промахивается"

    	"DOTA_Tooltip_ability_arcana_earth_shock"							"Earth Shock"
    	"DOTA_Tooltip_ability_arcana_earth_shock_Description"				"Элемент: <font color=\"#AF843D\">Земля</font>/<font color=\"#5CCDF9\">Молния</font><br>Вызывает облако пыли со статическим зарядом в указанную область. Замедляет передвижение врагов на 1000 на 0.9 секунд. Уменьшает урон противников на 10 секунд."
    	"DOTA_Tooltip_ability_arcana_earth_shock_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_arcana_earth_shock_radius"					"РАДИУС:"
    	"DOTA_Tooltip_ability_arcana_earth_shock_attack_reduce"				"УМЕНЬШЕНИЕ УРОНА АТАК:"
    	"DOTA_Tooltip_ability_arcana_earth_shock_movespeed_slow"			"ЗАМЕДЛЕНИЕ:"
    	"DOTA_Tooltip_ability_arcana_earth_shock_slow_duration"				"ВРЕМЯ ЗАМЕДЛЕНИЯ:"
    	"DOTA_Tooltip_ability_arcana_earth_shock_attack_reduce_duration"	"ДЛИТЕЛЬНОСТЬ УМЕНЬШЕНИЯ УРОНА:"

    	"DOTA_Tooltip_modifier_earth_shock_slow"							"Замедление от Earth Shock"

    	"DOTA_Tooltip_modifier_earth_shock_attack_reduce"					"Earth Shock"
    	"DOTA_Tooltip_modifier_earth_shock_attack_reduce_Description"		"Урон атак снижен"

    	"DOTA_Tooltip_ability_earth_deity_grand_guardian"					"Grand Guardian"
    	"DOTA_Tooltip_ability_earth_deity_grand_guardian_Description"		"Сворачивает цель в шар и притягивает к Earth Deity. Цели получают регенерацию ХП, но способности отключаются. Если Conjuror внутри Deity, Earth Shock не отключается, а имеет большую дистанцию применения и не имеет перезарядки. Deity получает иммунитет к заклинаниям, +100000 Брони, и не может двигаться. Earth Deity может выбросить союзника наружу, и это закончит применение Grand Guardian. Если Conjuror получит смертельное ранение, Earth Deity спасет ему жизнь, если способность не на перезарядке."

    	"DOTA_Tooltip_modifier_deity_grand_guardian"						"Grand Guardian"
    	"DOTA_Tooltip_modifier_deity_grand_guardian_Description"			"Иммунитет к заклинаниям и регенерация ХП."

    	"DOTA_Tooltip_ability_earth_deity_bowl"							"Guardian Boulder Roll"
    	"DOTA_Tooltip_ability_earth_deity_bowl_Description"				"Выбрасывает союзника к цели с высокой скоростью. Наносит Earth Shock в области применения. Это заканчивает применение Grand Guardian."

  		"DOTA_Tooltip_ability_conjuror_rune_q_1_arcana3"						"[Q1] Sandstorm"
    	"DOTA_Tooltip_ability_conjuror_rune_q_1_arcana3_Description"			"Earth Deity останавливается и образует песчаную бурю. Противники внутри замедлены и могут промахнуться. Earth Deity тратит свою ману на прочтение, и прекратит заклинание если она закончится. Наносит урон каждые 0.25 сек."
    	"DOTA_Tooltip_ability_conjuror_rune_q_1_arcana3_property_one"			"Урон"
    	"DOTA_Tooltip_ability_conjuror_rune_q_1_arcana3_suffix"					"% от Макс. ХП Earth Deity"	
    	"DOTA_Tooltip_ability_conjuror_rune_q_1_arcana3_property_two"			"Радиус"
    	"DOTA_Tooltip_ability_conjuror_rune_q_1_arcana3_suffix_two"				""	

  		"DOTA_Tooltip_ability_conjuror_rune_q_2_arcana3"						"[Q2] Strength of Gaia"
    	"DOTA_Tooltip_ability_conjuror_rune_q_2_arcana3_Description"			"Увеличивает здоровье Conjuror и всех аспектов, и базовый показатель, и на дополнительный процент от общего показателя."
    	"DOTA_Tooltip_ability_conjuror_rune_q_2_arcana3_property_one"		"Доп. здоровье"
    	"DOTA_Tooltip_ability_conjuror_rune_q_2_arcana3_suffix"				""
    	"DOTA_Tooltip_ability_conjuror_rune_q_2_arcana3_property_two"		"Доп. здоровье (%)"
    	"DOTA_Tooltip_ability_conjuror_rune_q_2_arcana3_suffix_two"			"%"

		"DOTA_Tooltip_ability_conjuror_rune_q_3_arcana3"							"[Q3] Earthen EMP"
    	"DOTA_Tooltip_ability_conjuror_rune_q_3_arcana3_Description"				"Показатель Здоровья увеличивает урон элемента <font color=\"#AF843D\">Земли</font>. Урон атаки добавляется к базе урона Earth Shock."
    	"DOTA_Tooltip_ability_conjuror_rune_q_3_arcana3_property_one"				"Элемент Земли"
    	"DOTA_Tooltip_ability_conjuror_rune_q_3_arcana3_suffix"						"% за 100 очков ХП"
    	"DOTA_Tooltip_ability_conjuror_rune_q_3_arcana3_property_two"				"Урон Атаки добавлен к Earth Shock"
    	"DOTA_Tooltip_ability_conjuror_rune_q_3_arcana3_suffix_two"					"%"

  		"DOTA_Tooltip_ability_conjuror_rune_q_4_arcana3"						"[Q4] Mud Slash"
    	"DOTA_Tooltip_ability_conjuror_rune_q_4_arcana3_Description"			"Противники, поврежденные Earth Shock, наносят сниженный урон."
    	"DOTA_Tooltip_ability_conjuror_rune_q_4_arcana3_property_one"		"Урон противника снижен"
    	"DOTA_Tooltip_ability_conjuror_rune_q_4_arcana3_suffix"				"%"
		
		"shadow_deity"														"Shadow Deity"

    	"DOTA_Tooltip_ability_item_rpc_conjuror_arcana4"				"Dark Wanderer's Footwraps"

       	"item_property_conjuror_arcana4"									"Shadow Deity"
    	"property_conjuror_arcana4_description"								"Заменяет @Ability3 и соответствующие руны на Shadow Deity."


    	"DOTA_Tooltip_ability_summon_shadow_deity"							"Shadow Deity"
    	"DOTA_Tooltip_ability_summon_shadow_deity_Description"				"При помощи темной магии вызывается теневое божество. Shadow Deity имеет способность обращать Conjuror и всех аспектов в невидимость. Пока теневое божество живо, способность заменяется на Dark Horizon, заклинание передвижения."
    	"DOTA_Tooltip_ability_summon_shadow_deity_aspect_health"				"ЗДОРОВЬЕ:"
    	"DOTA_Tooltip_ability_summon_shadow_deity_aspect_damage"				"ПОКАЗАТЕЛЬ АТАКИ:"
    	"DOTA_Tooltip_ability_summon_shadow_deity_aspect_armor"				"БРОНЯ:"
    	"DOTA_Tooltip_ability_summon_shadow_deity_aspect_magic_resist"		"МАГ. СОПРОТИВЛЕНИЕ:"

    	"DOTA_Tooltip_ability_shadow_deity_cloak_of_shadows"				"Cloak of Shadows"
    	"DOTA_Tooltip_ability_shadow_deity_cloak_of_shadows_Description"	"Покрывает призывателя и аспектов тенью, обращая в невидимость."
    	"DOTA_Tooltip_ability_shadow_deity_cloak_of_shadows_radius"			"РАДИУС:"
    	"DOTA_Tooltip_ability_shadow_deity_cloak_of_shadows_duration"		"ДЛИТЕЛЬНОСТЬ:"

    	"DOTA_Tooltip_ability_shadow_deity_black_razor"						"Black Razor"
    	"DOTA_Tooltip_ability_shadow_deity_black_razor_Description"			"Элемент: <font color=\"#7F4F84\">Тень</font><br>Теневые лезвия возникают вокруг Conjuror'a и его аспектов. Их урон атаки повышается, а так же лезвия наноят урон каждые 0.3 секунды."	
    	"DOTA_Tooltip_ability_shadow_deity_black_razor_radius"				"РАДИУС:"
    	"DOTA_Tooltip_ability_shadow_deity_black_razor_duration"			"ДЛИТЕЛЬНОСТЬ:"

    	"DOTA_Tooltip_modifier_black_razor"									"Black Razor"
    	"DOTA_Tooltip_modifier_black_razor_Description"						"Урон атак увеличен, наносится урон ближайшим противникам."

    	"DOTA_Tooltip_ability_shadow_deity_shadow_essence"					"Shadow Essence"
    	"DOTA_Tooltip_ability_shadow_deity_shadow_essence_Description"		"Shadow Deity расщепляет свои собственные атаки и атаки призывателя, позволяя атаковать несколько целей."
    	"DOTA_Tooltip_ability_shadow_deity_shadow_essence_duration"			"Длительность:"

    	"DOTA_Tooltip_modifier_shadow_essence_split_attack"					"Shadow Essence"
    	"DOTA_Tooltip_modifier_shadow_essence_split_attack_Description"		"Атаки расщепляются и поражают несколько целей."	

    	"DOTA_Tooltip_ability_dark_horizon"									"Dark Horizon"
    	"DOTA_Tooltip_ability_dark_horizon_Description"						"Conjuror проходит сквозь ткань реальности, появляясь в точке назначения через 1.2 секунды."
    	"DOTA_Tooltip_ability_dark_horizon_range"							"ДАЛЬНОСТЬ КАСТА:"

  		"DOTA_Tooltip_ability_conjuror_rune_e_1_arcana4"						"[E1] Black Razor"
    	"DOTA_Tooltip_ability_conjuror_rune_e_1_arcana4_Description"			"Теневые лезвия возникают вокруг Conjuror'a и его аспектов. Их урон атаки повышается, а так же лезвия наноят урон каждые 0.3 секунды."
    	"DOTA_Tooltip_ability_conjuror_rune_e_1_arcana4_property_one"			"Урон"
    	"DOTA_Tooltip_ability_conjuror_rune_e_1_arcana4_suffix"					"% от общей атаки каждые 0.3 секунды"	
    	"DOTA_Tooltip_ability_conjuror_rune_e_1_arcana4_property_two"			"Бонус атаки"
    	"DOTA_Tooltip_ability_conjuror_rune_e_1_arcana4_suffix_two"				"%"	

  		"DOTA_Tooltip_ability_conjuror_rune_e_2_arcana4"						"[E2] Echoes of Darkness"
    	"DOTA_Tooltip_ability_conjuror_rune_e_2_arcana4_Description"			"Весь Элементальный урон получает второй элемент или заменяет текущий на <font color=\"#7F4F84\">Тень</font>. Порции урона получают шанс повториться. Шанс больше 100% гарантирует несколько повторений."
    	"DOTA_Tooltip_ability_conjuror_rune_e_2_arcana4_property_one"		"Шанс на повторный урон"
    	"DOTA_Tooltip_ability_conjuror_rune_e_2_arcana4_suffix"				"%"

		"DOTA_Tooltip_ability_conjuror_rune_e_3_arcana4"							"[E3] Prismatic Void"
    	"DOTA_Tooltip_ability_conjuror_rune_e_3_arcana4_Description"				"<font color=\"#7F4F84\">Теневой</font> урон увеличивается Ловкостью. Вся Ловкость от снаряжения дополнительно увеличивается."
    	"DOTA_Tooltip_ability_conjuror_rune_e_3_arcana4_property_one"				"Урон Тени"
    	"DOTA_Tooltip_ability_conjuror_rune_e_3_arcana4_suffix"						"% за 10 очков Ловкости"
    	"DOTA_Tooltip_ability_conjuror_rune_e_3_arcana4_property_two"				"Бонус к Ловкости от значений на снаряжении"
    	"DOTA_Tooltip_ability_conjuror_rune_e_3_arcana4_suffix_two"					"%"

  		"DOTA_Tooltip_ability_conjuror_rune_e_4_arcana4"						"[E4] Shadow Essence"
    	"DOTA_Tooltip_ability_conjuror_rune_e_4_arcana4_Description"			"Shadow Deity расщепляет свои собственные атаки и атаки призывателя, позволяя атаковать несколько целей. Значение выше 100% означает многократное расщепление."
    	"DOTA_Tooltip_ability_conjuror_rune_e_4_arcana4_property_one"		"Шанс на расщепление атаки"
    	"DOTA_Tooltip_ability_conjuror_rune_e_4_arcana4_suffix"				"%"

		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_1_1"		"(T1) Глиф сжигающего пламени"
		"item_rpc_conjuror_glyph_1_1_description" 				"Ваш огненный элементаль увеличивает свою скорость атаки на @glyph_property1 и урон на @glyph_property2%."

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_2_1"		"(T2) Глиф призыва"
		"item_rpc_conjuror_glyph_2_1_description" 				"Увеличивает показатель макс. здоровья всех элементалей на @glyph_property1%"

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_3_1"		"(T3) Глиф настигающей тени"
		"item_rpc_conjuror_glyph_3_1_description" 				"Находясь под действием (R) Call of the elements, умение (E) Shadow Gate перезаряжается @glyph_property1 сек. (Элементаль тьмы должен быть жив по окончании прочтения (R) Call of the elements)"

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_4_1"		"(T4) Глиф длинной тени"
		"item_rpc_conjuror_glyph_4_1_description" 				"Увеличивает дальность атаки вашего элементаля тени на @glyph_property1."

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_5_1"		"(T5) Глиф дрожащей земли"
		"item_rpc_conjuror_glyph_5_1_description" 				"Радиус умения (Q) Earthquake увеличен на @glyph_property1, а длительность свободного создания землетрясения увеличен на @glyph_property2 сек."

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_6_1"		"(T6) Глиф огнемёта"
		"item_rpc_conjuror_glyph_6_1_description" 				"С каждым критическим ударом ваш элементаль огня создаёт огненную воронку, наносящую в @glyph_property1 раз(а) больше урона (от крита)."

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_7_1"		"(T7) Глиф бессмертной земли"
		"item_rpc_conjuror_glyph_7_1_description" 				"Когда элементаль земли погибнет, он будет автоматически мгновенно перепризван."

		"DOTA_Tooltip_ability_item_rpc_conjuror_glyph_5_a"		"(Immortal) Глиф призывания"
		"item_rpc_conjuror_glyph_5_a_description" 				"Весь пост-резистный урон, наносимый героем и его элементалями увеличен на 200%."
		
		//Weapons
		"conjuror_weapon_01"			"Earth Orb"
		"conjuror_weapon_02"			"Shadow Orb"
		"conjuror_weapon_03"			"Mind Orb"
		"conjuror_weapon_11"			"Fire Arcana"
		"conjuror_weapon_12"			"Core Arcana"
		"conjuror_weapon_13"			"Prime Arcana"
		"conjuror_weapon_14"			"Shadow Arcana"
		"conjuror_weapon_21"			"Trinity Essence"
		"conjuror_weapon_22"			"Core of Fire"
		"conjuror_weapon_23"			"Arcana of the Triumvirate"
		"conjuror_weapon_24"			"Essence of Shadow"
		"conjuror_weapon_25"			"Galaxy Essence"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_00"   "Orb"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_01"   "Earth Orb"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_02"   "Shadow Orb"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_03"   "Mind Orb"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_11"   "Fire Arcana"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_12"   "Core Arcana"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_13"   "Prime Arcana"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_14"   "Shadow Arcana"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_21"   "Trinity Essence"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_22"   "Core of Fire"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_23"   "Arcana of the Triumvirate"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_24"   "Essence of Shadow"
		"DOTA_Tooltip_ability_item_rpc_conjuror_weapon_25"   "Galaxy Essence"
		
		"DOTA_Tooltip_ability_item_rpc_conjuror_immortal_weapon_1"		"Enlightened Orb of Azerath"
		
		"DOTA_Tooltip_ability_item_rpc_conjuror_immortal_weapon_2"            "Tricor Orb"
        "item_property_conjuror_immortal_weapon2"                             "Universal Balance"
        "property_conjuror_immortal_weapon2_description"                      "Увеличивает урон (Q) @Ability1 на 0.3% за каждые 10 очков Силы, увеличивает урон (W) @Ability2 на 0.3% за каждые 10 очков Интеллекта. Каждые 10 очков Ловкости увеличивают урон (E) @Ability3 на 0.3%."  


        "DOTA_Tooltip_ability_item_rpc_conjuror_immortal_weapon_3"            "Sphere of Avennia"
        "item_property_conjuror_immortal_weapon3"                             "Elemental Core"
        "property_conjuror_immortal_weapon3_description"                      "Призванные элементали обладают умением Стойкость."     
